dataset,segment,segment_mse,is_segment_gap,relative_mse_pct,top1_reconstruction_mse_share,top2_reconstruction_mse_share,top4_reconstruction_mse_share,top8_reconstruction_mse_share,top16_reconstruction_mse_share,top32_reconstruction_mse_share,top64_reconstruction_mse_share,top128_reconstruction_mse_share
ETTh2,1-96,0.24975197546602718,False,-1.8030651398461828,0.409253213962996,0.3713368780070369,0.4863572380061007,0.45034075892796227,0.6361613150848141,0.7294284055019211,0.7910380477008178,0.8505749975824899
ETTh2,97-192,0.3381191582478204,False,-0.8943395735259374,0.36380613497212766,0.3102302159595269,0.43158529404284857,0.5888985904916673,0.7124215778240668,0.7809610112506497,0.8341311849159346,0.8858091987674195
ETTh2,193-336,0.36967068196232605,True,4.070552006204586,0.3661950188374707,0.307483458319017,0.5385963905741393,0.60394666044021,0.725985224774563,0.7883920035880502,0.8384485246977383,0.8918419282187714
ETTh2,337-720,0.4840433445832338,True,0.46572828219921814,0.255910514585772,0.4235837154242603,0.5588008689151795,0.6508471215241532,0.7540757052480926,0.8107132849099513,0.8684020552911775,0.9114644971391035
ETTm1,1-96,0.2841739448488973,False,-2.716984150449675,0.213134980780056,0.362900600724605,0.5047274038778887,0.6425806781075057,0.7274300780891793,0.7902643230577696,0.858866078925391,0.9027795765156348
ETTm1,97-192,0.35204880659134646,False,-1.7592407397165832,0.1795232775838371,0.29884097690689176,0.4105353510853312,0.4845276484506084,0.7085046177354484,0.8097643944127091,0.8853906242575728,0.920705871317403
ETTm1,193-336,0.40565092430573674,False,-1.2030802338018565,0.1612733926196336,0.26687657208333143,0.35122339538051134,0.5050404999142837,0.6240714805634118,0.8115064599806582,0.8954854329668505,0.9316606324058104
ETTm1,337-720,0.471249272056574,True,3.0300441779770093,0.13404230406971174,0.22580561991304327,0.38936657796015567,0.4884534773321348,0.6694349168486357,0.8217375979749928,0.9112584846576748,0.9423373615796585
Weather,1-96,0.1474625915253355,False,-4.042882233269129,0.8487094636797403,0.8159683357462753,0.7582650187354202,0.5198706902137328,0.6205645925465516,0.7083169630509406,0.7889345340100702,0.8517855971678518
Weather,97-192,0.2326873131307151,False,-1.9057151982052822,0.5888713414492482,0.6211801062890082,0.5155581255331954,0.6577824487578702,0.7441765420394896,0.8143191233105018,0.8662679666974679,0.9060443060361166
Weather,193-336,0.3130928579754752,False,-1.1613035546787165,0.4627557830216403,0.48602921182788117,0.4164118576424666,0.7499840072838837,0.8097382466154402,0.8608762035952257,0.8996721692093069,0.9301361016036062
Weather,337-720,0.38914084452716846,False,-0.05458290083280026,0.3509723809734428,0.3887782221136466,0.6531825881145176,0.787395567714045,0.8441689982867011,0.8873987411994547,0.9191008694817261,0.943488858843316
