epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,train_raw_reconstruction_loss,mse,mae
1,0.6004525521334182,0.5620781358674909,0.7674882965730437,2840.5259220853764,2840.5259220853764,0.5647744536399841,0.38859987258911133
2,0.5621479791952363,0.5272585804580797,0.6977879988386276,2841.366419582502,2841.366419582502,0.567261278629303,0.3909861743450165
3,0.5529431024341719,0.5188215611674262,0.6824308151894427,2840.9456607466896,2840.9456607466896,0.5659909844398499,0.3858335316181183
4,0.5466415586201012,0.5132573427672081,0.6676843157896759,2837.604382886954,2837.604382886954,0.5542662143707275,0.38974297046661377
5,0.5411645408640516,0.5090552528276511,0.6421857417052519,2839.8087575926,2839.8087575926,0.5746079087257385,0.3910747766494751
6,0.533137709113723,0.5037227903908872,0.5882983750908087,2841.6008541026013,2841.6008541026013,0.5812690854072571,0.3989731967449188
7,0.5248171532830448,0.49790630547712883,0.5382169652069714,2836.02714289672,2836.02714289672,0.564124345779419,0.3907269537448883
8,0.5169534538443207,0.49219191232894327,0.49523085947577833,2830.300581262467,2830.300581262467,0.5644910931587219,0.3955233693122864
9,0.5101111671814682,0.4862175186475118,0.47787296856548767,2839.192052313622,2839.192052313622,0.5673564672470093,0.3964598476886749
10,0.5043877439295992,0.481037918874558,0.46699648313488523,2840.3679987048426,2840.3679987048426,0.564291775226593,0.39662885665893555
11,0.4979928360974535,0.47509506091158443,0.45795548659689883,2842.4925071770417,2842.4925071770417,0.5949711203575134,0.4107132852077484
12,0.49177700545348174,0.4692874921763197,0.4497902351068267,2843.5957552862506,2843.5957552862506,0.5901288390159607,0.4101162552833557
13,0.4856220513370866,0.46349396424513334,0.44256173275041244,2837.5108040884033,2837.5108040884033,0.5916330218315125,0.4071020483970642
14,0.4799144320876886,0.4581083100526891,0.43612243583861815,2844.213452061863,2844.213452061863,0.6037285923957825,0.41018179059028625
