dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTm2,ETTm2__h4m_p2_lr1e5,h4m_p2_lr1e5,0.17995057878475304,,,730565,True
ETTm2,ETTm2__h4m_p2_lr2e5,h4m_p2_lr2e5,0.1797849698433845,,,730565,True
ETTm2,ETTm2__h4m_p2_lr5e5,h4m_p2_lr5e5,0.1795501982188037,,,730565,True
ETTm2,ETTm2__h4m_p4_lr1e5,h4m_p4_lr1e5,0.1809535624266284,,,1227717,True
ETTm2,ETTm2__h4m_p4_lr2e5,h4m_p4_lr2e5,0.18120370414228149,,,1227717,True
ETTm2,ETTm2__h4m_p4_lr5e5,h4m_p4_lr5e5,0.1797335455041667,,,1227717,True
ETTm2,ETTm2__h4m_p6_lr1e5,h4m_p6_lr1e5,0.18131287200533458,,,1740229,True
ETTm2,ETTm2__h4m_p6_lr2e5,h4m_p6_lr2e5,0.18094812890206136,,,1740229,True
ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,0.1805358638919498,,,1740229,True
ETTm2,ETTm2__h4m_p4_lr1e5_r48,h4m_p4_lr1e5_r48,0.18174176842490736,,,1040517,True
ETTm2,ETTm2__h4m_p4_lr1e5_r80,h4m_p4_lr1e5_r80,0.18106825132267584,,,1414917,True
ETTm2,ETTm2__h4m_seq960_p4_lr1e5,h4m_seq960_p4_lr1e5,0.18192185749210205,,,1235397,True
Weather,Weather__h4m_seq384_p12,h4m_seq384_p12,0.504493668909362,,,2568341,True
Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,0.491397054869652,,,4141205,True
Weather,Weather__h4m_seq768_p24,h4m_seq768_p24,0.4859816964111468,,,4927637,True
Weather,Weather__h4m_seq960_p30,h4m_seq960_p30,0.4828334314855821,,,6107285,True
Weather,Weather__h4m_seq1152_p36,h4m_seq1152_p36,0.48380194579284375,,,7286933,True
Weather,Weather__h4m_seq512_p16_lr1e5,h4m_seq512_p16_lr1e5,0.5003427683013595,,,3354773,True
Weather,Weather__h4m_seq512_p16_lr2e5,h4m_seq512_p16_lr2e5,0.49829436646763325,,,3354773,True
Weather,Weather__h4m_seq512_p16_lr2e5_r16,h4m_seq512_p16_lr2e5_r16,0.5010779468972784,,,1160773,True
Weather,Weather__h4m_seq512_p16_lr2e5_r64,h4m_seq512_p16_lr2e5_r64,0.49950505158723524,,,2213893,True
Weather,Weather__h4m_seq512_p8_lr2e5_r64,h4m_seq512_p8_lr2e5_r64,0.500065550793125,,,1175557,True
Weather,Weather__h4m_seq512_p32_lr2e5_r64,h4m_seq512_p32_lr2e5_r64,0.5011690143384926,,,4293637,True
Weather,Weather__h4m_anchor_ln0,h4m_anchor_ln0,0.4874578293634667,,,4927253,True
