dataset,horizon,repair_mse,repair_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,repair_wins_mse_vs_r3,repair_wins_mae_vs_r3
ETTh2,96,0.32680147886276245,0.36633071303367615,0.30479592084884644,0.35886070132255554,7.21976788686387,2.0815909024282764,False,False
ETTh2,192,0.3939119279384613,0.4085543751716614,0.3690433204174042,0.4003613591194153,6.738668916410573,2.0464052950230904,False,False
ETTh2,336,0.3929932117462158,0.418881356716156,0.3829101622104645,0.41559359431266785,2.633267677604567,0.7911003558477958,False,False
ETTh2,720,0.42584842443466187,0.44707587361335754,0.41047340631484985,0.43929871916770935,3.74567947235509,1.770356731379219,False,False
ETTm1,96,0.295085608959198,0.3496450185775757,0.2986849546432495,0.35228273272514343,-1.205064275283163,-0.7487492012916097,True,True
ETTm1,192,0.3260450065135956,0.37100785970687866,0.32966214418411255,0.3730504512786865,-1.097225670077795,-0.5475376225404838,True,True
ETTm1,336,0.3558019995689392,0.38998177647590637,0.36072883009910583,0.3924419581890106,-1.3657989378927815,-0.6268905915303158,True,True
ETTm1,720,0.4112277328968048,0.4216635525226593,0.41729286313056946,0.4242476224899292,-1.4534469121430638,-0.6090947433255778,True,True
Weather,96,0.1488749384880066,0.19803059101104736,0.14802636206150055,0.19702932238578796,0.5732603400423253,0.5081825451842548,False,False
Weather,192,0.1922532618045807,0.23979492485523224,0.19240911304950714,0.23990498483181,-0.0809999289827612,-0.04587648591584115,True,True
Weather,336,0.24450425803661346,0.2801787555217743,0.24479345977306366,0.28043317794799805,-0.11814112056682813,-0.09072479514921072,True,True
Weather,720,0.32015663385391235,0.33315563201904297,0.3208470046520233,0.3337559103965759,-0.2151713396419952,-0.1798555048267758,True,True
