dataset,horizon,repair_mse,repair_mae,fixed_mse,fixed_mae,relative_mse_vs_fixed_pct,relative_mae_vs_fixed_pct,repair_wins_mse_vs_fixed,repair_wins_mae_vs_fixed
ETTh2,96,0.32680147886276245,0.36633071303367615,0.3074484169483185,0.36609065532684326,6.2947346115941105,0.06557329539551571,False,False
ETTh2,192,0.3939119279384613,0.4085543751716614,0.37734004855155945,0.4069473147392273,4.39176266884842,0.3949062628571198,False,False
ETTh2,336,0.3929932117462158,0.418881356716156,0.3841150403022766,0.4212876260280609,2.3113313753485354,-0.5711701847479933,False,True
ETTh2,720,0.42584842443466187,0.44707587361335754,0.4074031412601471,0.4438471794128418,4.527526007153826,0.7274337542905851,False,False
ETTm1,96,0.295085608959198,0.3496450185775757,0.29047533869743347,0.3442326486110687,1.5871468753382523,1.5723000094108208,False,False
ETTm1,192,0.3260450065135956,0.37100785970687866,0.3377011716365814,0.3733891248703003,-3.45162116746508,-0.6377435776279694,True,True
ETTm1,336,0.3558019995689392,0.38998177647590637,0.361540287733078,0.3907651901245117,-1.587178070836559,-0.20048194373600836,True,True
ETTm1,720,0.4112277328968048,0.4216635525226593,0.412788063287735,0.42070141434669495,-0.37799794366693007,0.22869858364000795,True,False
Weather,96,0.1488749384880066,0.19803059101104736,0.14708691835403442,0.1950538456439972,1.2156214529346787,1.526114677320023,False,False
Weather,192,0.1922532618045807,0.23979492485523224,0.19520847499370575,0.24188493192195892,-1.5138754550591882,-0.8640501291750535,True,True
Weather,336,0.24450425803661346,0.2801787555217743,0.25078684091567993,0.28711846470832825,-2.5051485381479055,-2.4170194674186907,True,True
Weather,720,0.32015663385391235,0.33315563201904297,0.32312721014022827,0.33546921610832214,-0.9193209959095561,-0.689656152692153,True,True
