dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,1.6133345066794355e-14,6.821964859682339e-08,0.0
ETTh2,192,720,1.4002214406667272e-14,6.361823068345984e-08,0.0
ETTh2,336,720,9.480567034008368e-15,4.697058386682329e-08,0.0
ETTm1,96,720,4.7318994154856714e-14,1.2381616443235544e-07,0.0
ETTm1,192,720,4.454359244735612e-14,1.2033254392918025e-07,0.0
ETTm1,336,720,2.9204977737389004e-14,9.093570696450115e-08,0.0
Weather,96,720,9.818447629635161e-15,5.51845324991973e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
