dataset,horizon,future_local_alignment_loss,future_relation_alignment_loss,future_reconstruction_loss,future_raw_reconstruction_loss,future_normalized_reconstruction_loss,future_alignment_confidence_mean,future_alignment_confidence_min,future_alignment_confidence_max,teacher_student_cosine,prediction_leakage_max_abs
ETTh2,96,0.7221433439038016,0.06998691682449797,0.6639938679608431,1.0931893478740344,0.6639938679608431,0.4567270590500398,0.05000000074505806,0.9907429218292236,0.2948387731713327,0.0
ETTh2,192,0.7453032623637806,0.13378164324570785,0.6859750828959725,1.2798834849487652,0.6859750828959725,0.4392392079938542,0.05000000074505806,0.9910089373588562,0.2733562286435203,0.0
ETTh2,336,0.749260950088501,0.21760268546640874,0.7347955375909805,1.5909562706947327,0.7347955375909805,0.40459060072898867,0.05000000074505806,0.9912298321723938,0.27358123883605,0.0
ETTh2,720,0.7864110014017891,0.2927871442892972,0.6230834266718697,2.128805665408864,0.6230834266718697,0.42383209221503315,0.05000000074505806,0.9904689788818359,0.24118957361754248,0.0
ETTm1,96,0.1644717818333043,0.056486908439546825,0.04729924828021063,0.09688257200436459,0.04729924828021063,0.9525154994593726,0.05000000074505806,0.9998219013214111,0.8344515668021308,0.0
ETTm1,192,0.16598387631807435,0.06665680188099656,0.054859575260891004,0.1319631359989891,0.054859575260891004,0.9474176175138923,0.05000000074505806,0.9997393488883972,0.8328548448809078,0.0
ETTm1,336,0.17019892814145846,0.07415431881831451,0.06369859474414791,0.19826455783649263,0.06369859474414791,0.9441724148663607,0.05000000074505806,0.9996823072433472,0.828290961005471,0.0
ETTm1,720,0.1804444868774975,0.08487371565664516,0.07359143163570586,0.3196419371839832,0.07359143163570586,0.9402323940221001,0.05000000074505806,0.9997455477714539,0.8175280444762286,0.0
Weather,96,0.6449863776201155,0.24535650232943093,0.38125210209954075,384.1598328651815,0.38125210209954075,0.7590749278301145,0.05000000074505806,0.99764084815979,0.36300854557534545,0.0
Weather,192,0.6841458060123302,0.4229815239891594,0.4248860598898228,485.179491672067,0.4248860598898228,0.7531986449971612,0.05000000074505806,0.9978616237640381,0.3295981678881763,0.0
Weather,336,0.7229654278606177,0.5169250812381506,0.47025628536939623,593.5751727212221,0.47025628536939623,0.7483423188328743,0.05000000074505806,0.9980944991111755,0.2968172135297209,0.0
Weather,720,0.7558654844760895,0.5959656052775197,0.5371412628076293,1119.865871241921,0.5371412628076293,0.7516457616508782,0.05000000074505806,0.9981832504272461,0.26729423148775255,0.0
