system,dataset,horizon,logged_epochs,epoch_cycle_median_seconds,epoch_cycle_mean_seconds,timing_source,timing_boundary
QDF,ETTh2,192,7,2.567201376,2.654390063,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ETTh2,336,14,2.518032312,2.455854995,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ETTh2,720,8,2.315543652,2.321802765,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Weather,96,9,11.191904783,11.544274463,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Weather,192,20,11.380990624,11.423546278,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Weather,336,23,12.288252354,12.384189347,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Weather,720,27,13.320553541,13.602736985,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ECL,96,17,21.812578201,21.842400649,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ECL,192,15,24.254282951,24.209985892,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ECL,336,20,27.961086154,28.026221812,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,ECL,720,24,43.097346425,42.299563398,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Solar,96,11,25.138575315,25.663165483,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Solar,192,9,28.248159647,28.170069509,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Solar,336,10,31.431418300,31.357610154,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
QDF,Solar,720,18,37.954282761,38.095974856,stdout_train_plus_validation_seconds,train_plus_scheduled_validation_no_test
