system,dataset,model_count,main_i_mse,main_i_mae,total_parameters,total_parameters_million,one_epoch_cycle_seconds,timing_checkpoint_count
ISCF-BSCA,ETTm1,1,0.329,0.36275,791381,0.791381,102.631844521,1
ISCF-BSCA,ETTm2,1,0.2475,0.304,1740229,1.740229,98.544289589,1
ISCF-BSCA,ETTh1,1,0.39025,0.41525,2045193,2.045193,22.444698691,1
ISCF-BSCA,ETTh2,1,0.30625,0.36424999999999996,2570133,2.570133,10.999066472,1
ISCF-BSCA,Weather,1,0.2135,0.24475,3944597,3.944597,61.042504072,1
ISCF-BSCA,ECL,1,0.151,0.24375000000000002,5509957,5.509957,282.613571882,1
ISCF-BSCA,Solar,1,0.1875,0.208,3879749,3.879749,353.513690233,1
TimeAlign,ETTm1,4,0.34075,0.36824999999999997,2810496,2.810496,78.149475455,4
TimeAlign,ETTm2,4,0.2445,0.304,4842112,4.842112,64.307660698,4
TimeAlign,ETTh1,4,0.41800000000000004,0.4305,2116224,2.116224,16.201197506,4
TimeAlign,ETTh2,4,0.34650000000000003,0.3865,4177792,4.177792,15.887550473000001,4
TimeAlign,Weather,4,0.21775,0.247,17585280,17.58528,125.382620573,4
TimeAlign,ECL,4,0.15625,0.2455,39242368,39.242368,233.91256797300002,4
TimeAlign,Solar,4,0.196,0.21675,4414080,4.41408,198.66242814,4
QDF,ETTm1,4,0.35279493778944016,0.37971217930316925,5295296,5.295296,39.336262226,4
QDF,ETTm2,4,0.2569936513900757,0.3149268627166748,5295296,5.295296,40.798309683,4
QDF,ETTh1,4,0.4388669282197952,0.44216542690992355,5293280,5.29328,9.614846469,4
QDF,ETTh2,4,0.35252801328897476,0.3935731500387192,5293280,5.29328,9.70069015,4
QDF,Weather,4,0.23661354556679726,0.2714819610118866,5304704,5.304704,48.181701302,4
QDF,ECL,4,0.16665516793727875,0.25994789227843285,5508320,5.50832,117.125293731,4
QDF,Solar,4,0.20812367647886276,0.25817425176501274,5371520,5.37152,122.77243602300001,4
