dataset,segment,fixed_h720_mse,r3_h720_mse,phase2_h720_mse,r3_vs_fixed_mse_pct,phase2_vs_r3_mse_pct,r3_improves_fixed,phase2_improves_r3
ETTh2,1-96,0.25433786764430505,0.24975198095974824,0.2657807373907417,-1.803068778955963,6.417869587819913,True,False
ETTh2,97-192,0.34117036157598096,0.33811920912315446,0.3563999542966485,-0.8943193185750986,5.40659763782767,True,False
ETTh2,193-336,0.35521161059538525,0.369670653094848,0.37904385125471485,4.070543323521236,2.5355537642480774,False,False
ETTh2,337-720,0.48179948050528765,0.4840433363181849,0.49997295811772346,0.46572400006410497,3.2909495089231466,False,False
ETTm1,1-96,0.2921105024870485,0.28417393770844984,0.28212753679448116,-2.7169734436202075,-0.7201226581405207,True,True
ETTm1,97-192,0.3583531646678845,0.35204880125820637,0.34986420969168347,-1.759259867432994,-0.6205365729737622,True,True
ETTm1,193-336,0.4105906304385927,0.40565087646245956,0.3995811291452911,-1.2030849244797581,-1.4962983366634486,True,True
ETTm1,337-720,0.45739017411445576,0.4712492312149455,0.46309721438835066,3.030029476982521,-1.729873766706802,False,True
Weather,1-96,0.15367554132050523,0.14746256669362387,0.14823271081938097,-4.04291702732551,0.5222641535578276,True,False
Weather,97-192,0.23720779968425632,0.23268731667970619,0.2315259096212685,-1.9057058876509436,-0.4991277887468004,True,True
Weather,193-336,0.316771627507276,0.3130928242786063,0.31189232340289486,-1.1613424022911323,-0.3834328935763742,True,True
Weather,337-720,0.38935331006844837,0.38914083728256327,0.38795550672026974,-0.054570689497346336,-0.3046019458073035,True,True
