dataset,profile,seed,status,patch_num,d_model,d_ff,active_forward_parameters,trained_epochs,best_epoch,reused_selection_run,run_dir
Weather,r2b_p12_d64_ff128_medium,2021,ok,12,64,128,419216,17,12,1,analysis/stage_c_dap_r2a_patch_screen_20260712/raw/SC0DAP_R2A_r2a_p12_d64_ff128/Weather/h720_full/seed2021
Weather,r2b_p12_d64_ff128_medium,2022,ok,12,64,128,419216,18,13,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p12_d64_ff128_medium/Weather/h720_full/seed2022
Weather,r2b_p12_d64_ff128_medium,2023,ok,12,64,128,419216,20,18,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p12_d64_ff128_medium/Weather/h720_full/seed2023
ETTm1,r2b_p24_d32_ff64_narrow,2021,ok,24,32,64,391408,8,3,1,analysis/stage_c_dap_r2b_width_screen_20260712/raw/SC0DAP_R2B_r2b_p24_d32_ff64_narrow/ETTm1/h720_full/seed2021
ETTm1,r2b_p24_d32_ff64_narrow,2022,ok,24,32,64,391408,8,3,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p24_d32_ff64_narrow/ETTm1/h720_full/seed2022
ETTm1,r2b_p24_d32_ff64_narrow,2023,ok,24,32,64,391408,8,3,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p24_d32_ff64_narrow/ETTm1/h720_full/seed2023
ETTh2,r2b_p12_d64_ff128_medium,2021,ok,12,64,128,419216,7,2,1,analysis/stage_c_dap_r2a_patch_screen_20260712/raw/SC0DAP_R2A_r2a_p12_d64_ff128/ETTh2/h720_full/seed2021
ETTh2,r2b_p12_d64_ff128_medium,2022,ok,12,64,128,419216,6,1,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p12_d64_ff128_medium/ETTh2/h720_full/seed2022
ETTh2,r2b_p12_d64_ff128_medium,2023,ok,12,64,128,419216,7,2,0,analysis/stage_c_dap_r2c_stability_20260712/raw/SC0DAP_R2C_r2b_p12_d64_ff128_medium/ETTh2/h720_full/seed2023
