dataset,profile,target_horizon,seed_count,mean_mse,sample_std_mse,mse_cv,min_mse,max_mse
Weather,r2b_p12_d64_ff128_medium,48,3,0.3461749156316121,0.0025920383150224414,0.007487654933902845,0.343946635723114,0.3490195870399475
Weather,r2b_p12_d64_ff128_medium,96,3,0.4016868571440379,0.0015767017327750323,0.003925201197732129,0.40028417110443115,0.40339335799217224
Weather,r2b_p12_d64_ff128_medium,144,3,0.4293259382247925,0.0012556705021843793,0.002924748752373116,0.4280175566673279,0.43052124977111816
Weather,r2b_p12_d64_ff128_medium,192,3,0.4538041353225708,0.000949348169924435,0.0020919777851949807,0.4527079463005066,0.4543584883213043
Weather,r2b_p12_d64_ff128_medium,288,3,0.4948234756787618,0.0011432407731517226,0.002310401242753308,0.49362364411354065,0.49590015411376953
Weather,r2b_p12_d64_ff128_medium,336,3,0.5119555989901224,0.001082072809626983,0.00211360674980695,0.5108427405357361,0.5130040049552917
Weather,r2b_p12_d64_ff128_medium,512,3,0.5575892130533854,0.0013549635733379512,0.002430039071089818,0.5562351942062378,0.5589451193809509
Weather,r2b_p12_d64_ff128_medium,720,3,0.5886273582776388,0.001483063507024592,0.002519528673223974,0.5869705677032471,0.5898309350013733
ETTm1,r2b_p24_d32_ff64_narrow,48,3,0.34708499908447266,0.0048758085961118905,0.014047880516222565,0.34375083446502686,0.3526809513568878
ETTm1,r2b_p24_d32_ff64_narrow,96,3,0.41323956847190857,0.004059302261082045,0.009823120946749295,0.4088730216026306,0.41689860820770264
ETTm1,r2b_p24_d32_ff64_narrow,144,3,0.4826294283072154,0.004245616154486447,0.00879684475390904,0.47796526551246643,0.4862689673900604
ETTm1,r2b_p24_d32_ff64_narrow,192,3,0.5346109668413798,0.003576873200559052,0.006690609475694347,0.5305365324020386,0.5372340679168701
ETTm1,r2b_p24_d32_ff64_narrow,288,3,0.6353145043055216,0.0032947488611814735,0.005186012343261464,0.6315166354179382,0.637407124042511
ETTm1,r2b_p24_d32_ff64_narrow,336,3,0.680475135644277,0.00339042269128152,0.004982434351655556,0.6766023635864258,0.6829077005386353
ETTm1,r2b_p24_d32_ff64_narrow,512,3,0.8206039468447367,0.003100826113112087,0.003778712160762715,0.8170732855796814,0.8228849768638611
ETTm1,r2b_p24_d32_ff64_narrow,720,3,0.9576143423716227,0.0031182995978980155,0.0032563209007242426,0.9540848135948181,0.9599960446357727
ETTh2,r2b_p12_d64_ff128_medium,48,3,0.2081917723019918,0.010133552211032532,0.04867412433731217,0.2005539983510971,0.21968771517276764
ETTh2,r2b_p12_d64_ff128_medium,96,3,0.26121529936790466,0.008779839326919845,0.03361150494693657,0.254726380109787,0.2712055742740631
ETTh2,r2b_p12_d64_ff128_medium,144,3,0.3005971312522888,0.007464909854688803,0.02483360311387524,0.2954612672328949,0.3091602325439453
ETTh2,r2b_p12_d64_ff128_medium,192,3,0.3342348337173462,0.0068523785996453725,0.020501688957531735,0.329248309135437,0.34204843640327454
ETTh2,r2b_p12_d64_ff128_medium,288,3,0.398458997408549,0.005669376786815784,0.014228256417065778,0.39410650730133057,0.40487006306648254
ETTh2,r2b_p12_d64_ff128_medium,336,3,0.4306566119194031,0.005127100243358502,0.011905309477329082,0.4267033040523529,0.4364497661590576
ETTh2,r2b_p12_d64_ff128_medium,512,3,0.5340392589569092,0.003913716079262609,0.0073285175455207515,0.529988169670105,0.5377993583679199
ETTh2,r2b_p12_d64_ff128_medium,720,3,0.6496686339378357,0.0041839644714811025,0.006440151567916776,0.6463289260864258,0.6543617844581604
