dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ECL,H1,ECL__h1_conservative,h1_conservative_anchor,0.1681572409553303,0.2665575028647913,True,0,0,0,1.0881427095231295,1.0881427095231295,1.1160716792208656,1.0872368153085172,1.1006197575393826,False,False
ECL,H1,ECL__h1_timealign,h1_timealign_source_prior,0.15119075315822594,0.24550925931300457,True,3,1,4,0.9905924779302127,0.9905924779302127,1.0034638817890278,1.0013850758484184,1.0019509787991758,True,False
ECL,H2,ECL__h2_dropout3,h2_dropout3,0.15139412714262557,0.2460923213026749,True,3,1,4,0.9928685757856149,0.9928685757856149,1.0048136895224873,1.0037632736254967,1.004253175237037,True,False
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,0.1516248331337199,0.24563531864087007,True,3,2,5,0.9920405217867889,0.9920405217867889,1.0063449017463806,1.0018992476150932,1.0034156264638465,True,False
ECL,H2,ECL__h2_lookback336,h2_lookback336,0.1536725462160986,0.2451827612057383,True,2,2,4,0.9968694554762784,0.9968694554762784,1.0199357204671755,1.0000533528298077,1.0082999304985891,True,False
ECL,H3A,ECL__h3a_budget45,h3a_budget45,0.1506688540584791,0.2451696807094894,True,3,1,4,0.9886636161755377,0.9886636161755377,1.0,1.0,1.0,True,True
ETTh1,H1,ETTh1__h1_current,h1_conservative_anchor,0.4109108912616274,0.4347261575611111,True,2,0,2,1.0232020751815094,1.0232020751815094,1.038767747856129,1.03425728182761,1.0363923658595564,False,False
ETTh1,H1,ETTh1__h1_timealign,h1_timealign_source_prior,0.3955753267365972,0.42032690047191884,True,3,2,5,0.9872728793528817,0.9872728793528817,1.0,1.0,1.0,True,True
ETTh1,H2,ETTh1__h2_capacity128,h2_capacity128,0.4160957087352896,0.4371649147230072,True,2,0,2,1.0327743870190655,1.0327743870190655,1.051874777347669,1.0400593305643384,1.0460880761720188,False,False
ETTh1,H2,ETTh1__h2_lookback336,h2_lookback336,0.40587482218919013,0.4222706264926174,True,3,2,5,1.0019848987023559,1.0019848987023559,1.0260367488982727,1.004624319829438,1.0149016747620145,False,False
ETTh1,H2,ETTh1__h2_lr5e4,h2_lr5e4,0.4558896897649367,0.4547123973904805,True,0,0,0,1.1031405509267702,1.1031405509267702,1.1524725101687174,1.0818065578956655,1.1173613435525902,False,False
ETTh2,H1,ETTh2__h1_current,h1_conservative_anchor,0.3128610209595804,0.36898052163865147,True,3,3,6,0.9454568889747806,0.9454568889747806,1.0179905435142285,1.010585222216657,1.0133592843991586,False,False
ETTh2,H1,ETTh2__h1_timealign,h1_timealign_source_prior,0.3118510419114264,0.3703209458969029,True,3,3,6,0.9466081345967537,0.9466081345967537,1.0147042628615128,1.0142564538059933,1.0145932120940695,False,False
ETTh2,H2,ETTh2__h2_lookback336,h2_lookback336,0.31439149798429555,0.37039937951870594,True,3,3,6,0.9503409026072944,0.9503409026072944,1.0229704260622277,1.0144712723518805,1.0185940662462787,False,False
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,0.307331952101977,0.36511569091552243,True,3,3,6,0.9329927731755686,0.9329927731755686,1.0,1.0,1.0,True,True
ETTh2,H2,ETTh2__h2_patch48,h2_patch48,0.3191204290643871,0.37318169655345146,True,3,3,6,0.9607013921570764,0.9607013921570764,1.038357472699417,1.022091643384878,1.0296986426670784,False,False
ETTm1,H1,ETTm1__h1_current,h1_conservative_anchor,0.3444679885542986,0.36753220728255637,True,2,2,4,1.0089913686961336,1.0089913686961336,1.0416362244700015,1.0100397198281281,1.0257621807918404,False,False
ETTm1,H1,ETTm1__h1_timealign,h1_timealign_source_prior,0.33141246692088844,0.36459941164906207,True,3,2,5,0.9858993633946226,0.9858993633946226,1.0021576525429379,1.0019799089563957,1.0022863548811152,True,False
