dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ECL,H1,ECL__h1_timealign,h1_timealign_source_prior,0.15119075315822594,0.24550925931300457,True,3,1,4,0.9905924779302127,0.9905924779302127,1.0034638817890278,1.0013850758484184,1.0019509787991758,True,False
ECL,H2,ECL__h2_dropout3,h2_dropout3,0.15139412714262557,0.2460923213026749,True,3,1,4,0.9928685757856149,0.9928685757856149,1.0048136895224873,1.0037632736254967,1.004253175237037,True,False
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,0.1516248331337199,0.24563531864087007,True,3,2,5,0.9920405217867889,0.9920405217867889,1.0063449017463806,1.0018992476150932,1.0034156264638465,True,False
ECL,H2,ECL__h2_lookback336,h2_lookback336,0.1536725462160986,0.2451827612057383,True,2,2,4,0.9968694554762784,0.9968694554762784,1.0199357204671755,1.0000533528298077,1.0082999304985891,True,False
ECL,H3A,ECL__h3a_budget45,h3a_budget45,0.1506688540584791,0.2451696807094894,True,3,1,4,0.9886636161755377,0.9886636161755377,1.0,1.0,1.0,True,True
ETTh1,H1,ETTh1__h1_timealign,h1_timealign_source_prior,0.3955753267365972,0.42032690047191884,True,3,2,5,0.9872728793528817,0.9872728793528817,1.0,1.0,1.0,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,0.307331952101977,0.36511569091552243,True,3,3,6,0.9329927731755686,0.9329927731755686,1.0,1.0,1.0,True,True
ETTm1,H1,ETTm1__h1_timealign,h1_timealign_source_prior,0.33141246692088844,0.36459941164906207,True,3,2,5,0.9858993633946226,0.9858993633946226,1.0021576525429379,1.0019799089563957,1.0022863548811152,True,False
ETTm1,H2,ETTm1__h2_dropout5,h2_dropout5,0.332777228031535,0.3671285027152308,True,3,1,4,0.9913895240302467,0.9913895240302467,1.0062845515809693,1.0089302724382252,1.0078677694711853,True,False
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,0.33069893352601915,0.3638789644283464,True,3,3,6,0.9836503895252207,0.9836503895252207,1.0,1.0,1.0,True,True
ETTm2,H1,ETTm2__h1_timealign,h1_timealign_source_prior,0.25301606023883993,0.31065262125278836,True,0,0,0,1.038836013936461,1.038836013936461,1.008639037049323,1.0008498498119835,1.0041322879251573,True,False
ETTm2,H2,ETTm2__h2_dropout5,h2_dropout5,0.2520095121779422,0.3106399428519262,True,0,0,0,1.037265097177998,1.037265097177998,1.0046264709460906,1.0008090029794425,1.0026138497716337,True,False
ETTm2,H2,ETTm2__h2_hybrid,h2_hybrid,0.2508489667215481,0.3103888373577181,True,0,0,0,1.0345609103786635,1.0345609103786635,1.0,1.0,1.0,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,0.39883606636750457,0.42508120289714263,False,,,,,1.0,1.0,1.0,1.0,True,True
Solar,H3A,Solar__h3a_lr3e4,h3a_lr3e4,0.19334096245908317,0.21914262484076244,True,0,0,0,1.0256329190590756,1.0256329190590756,1.007742622268848,1.0224532743054002,1.0045355454340918,True,False
Solar,H3A,Solar__h3a_patch4,h3a_patch4,0.1989303782154878,0.2143302098471308,True,0,1,1,1.0290933996548377,1.0290933996548377,1.036876088967619,1.0,1.0079248435914845,True,True
Solar,H3B,Solar__h3b_lr2e4,h3b_lr2e4,0.19361573468108706,0.2171240423564863,True,0,0,0,1.0212316287967411,1.0212316287967411,1.0091748054751741,1.013035178341626,1.0002247901608077,True,True
Solar,H3B,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,0.1927227740603572,0.21792296470366088,True,0,0,0,1.0210021175665485,1.0210021175665485,1.0045204659804716,1.0167627086218625,1.0,True,True
Solar,H3B,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,0.19185549780934363,0.22051819461646657,True,1,0,1,1.0241590040832576,1.0241590040832576,1.0,1.0288712672550888,1.0030919490394723,True,True
Weather,H1,Weather__h1_current,h1_conservative_anchor,0.21721319627192756,0.24865119770257765,True,0,0,0,1.0141777859998835,1.0141777859998835,1.0029499089472709,1.0,1.0,True,True
Weather,H1,Weather__h1_timealign,h1_timealign_source_prior,0.21657432174247032,0.2490305498664157,True,1,0,1,1.0148532971146835,1.0148532971146835,1.0,1.001525639801228,1.0006660677487962,True,True
Weather,H2,Weather__h2_lookback336,h2_lookback336,0.21930068627222082,0.24987436875921187,True,0,0,0,1.0224279864393222,1.0224279864393222,1.0125885862544335,1.0049192244716123,1.0081348660494518,True,False
Weather,H2,Weather__h2_table5_ff,h2_table5_ff,0.21682983429176472,0.24958759434291838,True,1,1,2,1.0170335126679912,1.0170335126679912,1.0011797915248615,1.0037659044034077,1.0028158047903724,True,False
