dataset,protocol,finite,prefix_max_abs,encoder_hash_count,common_hash_count,main_hash_count,interaction_hash_count,dense_a6_parameter_relative_gap,context_coordinate_std,main_rms,interaction_rms,attention_target_dispersion,interaction_prediction_std,dense_coefficient_weight_norm,dense_prediction_residual_std,pass
Weather,True,True,3.5762786865234375e-07,1,1,1,1,0.001094900957978703,0.10718017816543579,0.9234138131141663,0.11786498129367828,0.00824178196489811,0.5695399045944214,3.514571189880371,0.5377088189125061,True
ETTm1,True,True,5.960464477539063e-08,1,1,1,1,0.001320872337816294,0.06755255907773972,0.6093733906745911,0.07221488654613495,0.004944200161844492,0.45963066816329956,2.9556925296783447,0.721808135509491,True
ETTh1,True,True,3.5762786865234375e-07,1,1,1,1,0.0010392504365503402,0.032880544662475586,0.484395831823349,0.03859994560480118,0.0034994250163435936,0.08374368399381638,1.6550583839416504,0.6332175731658936,True
ETTh2,True,True,2.384185791015625e-07,1,1,1,1,0.001094900957978703,0.02747470512986183,0.624266505241394,0.031872399151325226,0.006233879365026951,0.0700228288769722,1.4009571075439453,0.4720677435398102,True
ETTm2,True,True,2.9802322387695312e-08,1,1,1,1,0.0009143674962232646,0.052058275789022446,0.6257778406143188,0.05638718605041504,0.001746492343954742,0.3727628290653229,3.853433609008789,0.5025098323822021,True
