comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTm1,720,0.46187417960577504,0.40877454614309705,-12.989955946055831
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh1,96,0.5361332729119247,0.39327628242961,-36.324842576257765
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh1,192,0.5406139825788677,0.4134015232724623,-30.77213124407452
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh1,336,0.5461057623897121,0.4299287161840598,-27.022397395738263
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh1,720,0.5813984967631388,0.47247343605935826,-23.05421900800704
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh2,96,0.34741974372175727,0.32003032202248805,-8.558383320110718
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh2,192,0.37314921834879233,0.3523946608196656,-5.889577748099795
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh2,336,0.39601546023338136,0.38228575798902126,-3.591476260215365
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTh2,720,0.4427253235342772,0.43770682928499244,-1.1465423688916676
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTm2,96,0.25930802172641,0.24593661566010439,-5.436931800665867
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTm2,192,0.29852491197414394,0.28531496226177055,-4.629953370708106
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTm2,336,0.33427349542036827,0.32255349401833605,-3.6335062615585834
effectiveness_fcmi_vs_a6,paper_facing_effectiveness,mae,ETTm2,720,0.3914023432158329,0.37786953028200376,-3.581345371702671
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,Weather,96,0.1538336327509359,0.15535222346715039,0.977514632441423
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,Weather,192,0.19342007852230328,0.19373166915212833,0.1608361870770736
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,Weather,336,0.2431521033024491,0.242666150589224,-0.20025566484866975
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,Weather,720,0.3130578139237586,0.3110648756954381,-0.640682501958767
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm1,96,0.3487971045006524,0.3588469899497288,2.8006046394549178
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm1,192,0.38779916474590553,0.3980522026356581,2.5758023248868445
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm1,336,0.4262716285891783,0.4486800138038984,4.994290925673816
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm1,720,0.5031864526965052,0.5676124043002437,11.350342437136007
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh1,96,0.6926750958472709,0.6925176212945422,-0.022739428988738375
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh1,192,0.6844134228163549,0.6853231951965274,0.13275085194097702
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh1,336,0.6728644461903599,0.6749359981156124,0.30692568347757687
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh1,720,0.7136580576158126,0.7107852063425182,-0.40417994742423247
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh2,96,0.27866008547169546,0.2805736527857778,0.682019603438444
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh2,192,0.31493473078561707,0.3158982676249421,0.30501491716600215
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh2,336,0.34333873598542186,0.34400992832897853,0.19510842225309855
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTh2,720,0.4105088285661169,0.4096882304620695,-0.20029818848394942
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm2,96,0.17304287737859902,0.1750756312789928,1.161071866794805
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm2,192,0.23254646342731775,0.23405476039052425,0.6444205452988405
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm2,336,0.2873642296411532,0.2892659621220254,0.6574338947179403
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mse,ETTm2,720,0.3694881450061676,0.37451123834406636,1.341239680846107
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,Weather,96,0.1916156874860743,0.1929872888760063,0.7107211039237171
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,Weather,192,0.23188150610588884,0.23238888100810928,0.21833011115653944
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,Weather,336,0.27286576569004006,0.2719971546670745,-0.3193456284602325
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,Weather,720,0.3220964248842008,0.31963090971676383,-0.7713631856261172
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm1,96,0.38647517707792295,0.3856208903708989,-0.2215353805657072
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm1,192,0.407210946056066,0.4062627250871019,-0.23340092762900166
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm1,336,0.42721043484146126,0.42903907431893157,0.4262174675752184
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm1,720,0.46187417960577504,0.47965371205014246,3.7067434271224386
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh1,96,0.5361332729119247,0.5460596092013872,1.8178118509771801
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh1,192,0.5406139825788677,0.548820592255149,1.4953173754941762
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh1,336,0.5461057623897121,0.552627877340794,1.1802001343952928
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh1,720,0.5813984967631388,0.5803268852345935,-0.18465653682615546
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh2,96,0.34741974372175727,0.3496260499222335,0.6310474293797608
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh2,192,0.37314921834879233,0.3745008701766842,0.360920877768367
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh2,336,0.39601546023338136,0.3969173050584515,0.2272122715680891
