comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
source_fcmi_vs_standard_query,source_family_context,mse,ETTm1,192,0.38779916474590553,0.4217323565420231,8.046143785208082
source_fcmi_vs_standard_query,source_family_context,mse,ETTm1,336,0.4262716285891783,0.46581602512048487,8.489273532630893
source_fcmi_vs_standard_query,source_family_context,mse,ETTm1,720,0.5031864526965052,0.5799408150722579,13.234861279109921
source_fcmi_vs_standard_query,source_family_context,mse,ETTh1,96,0.6926750958472709,0.6942936301190924,0.2331195623303972
source_fcmi_vs_standard_query,source_family_context,mse,ETTh1,192,0.6844134228163549,0.687282778213281,0.41749269556637936
source_fcmi_vs_standard_query,source_family_context,mse,ETTh1,336,0.6728644461903599,0.6780440810160008,0.7639082724355539
source_fcmi_vs_standard_query,source_family_context,mse,ETTh1,720,0.7136580576158126,0.7185864104067153,0.6858399657340253
source_fcmi_vs_standard_query,source_family_context,mse,ETTh2,96,0.27866008547169546,0.2813368809285692,0.9514555816638071
source_fcmi_vs_standard_query,source_family_context,mse,ETTh2,192,0.31493473078561707,0.3177322895344992,0.8804766909213946
source_fcmi_vs_standard_query,source_family_context,mse,ETTh2,336,0.34333873598542186,0.3449608030555284,0.4702177916270145
source_fcmi_vs_standard_query,source_family_context,mse,ETTh2,720,0.4105088285661169,0.4126310821751078,0.5143222846431761
source_fcmi_vs_standard_query,source_family_context,mse,ETTm2,96,0.17304287737859902,0.1733799555514427,0.19441588375748164
source_fcmi_vs_standard_query,source_family_context,mse,ETTm2,192,0.23254646342731775,0.2345622674601098,0.8593897282029306
source_fcmi_vs_standard_query,source_family_context,mse,ETTm2,336,0.2873642296411532,0.2924427948608801,1.7366012461147662
source_fcmi_vs_standard_query,source_family_context,mse,ETTm2,720,0.3694881450061676,0.3793727411721408,2.6055103841759797
source_fcmi_vs_standard_query,source_family_context,mae,Weather,96,0.1916156874860743,0.19269632109656396,0.5607961814424689
source_fcmi_vs_standard_query,source_family_context,mae,Weather,192,0.23188150610588884,0.2318710285413077,-0.0045187036289418
source_fcmi_vs_standard_query,source_family_context,mae,Weather,336,0.27286576569004006,0.27191031746809774,-0.35138358516109136
source_fcmi_vs_standard_query,source_family_context,mae,Weather,720,0.3220964248842008,0.3196238943407766,-0.773575000869009
source_fcmi_vs_standard_query,source_family_context,mae,ETTm1,96,0.38647517707792295,0.39918115927500336,3.1830114978765867
source_fcmi_vs_standard_query,source_family_context,mae,ETTm1,192,0.407210946056066,0.4192280772548761,2.8664900684846284
source_fcmi_vs_standard_query,source_family_context,mae,ETTm1,336,0.42721043484146126,0.43935215152379636,2.763550068031817
source_fcmi_vs_standard_query,source_family_context,mae,ETTm1,720,0.46187417960577504,0.48446652464501383,4.663344914448531
source_fcmi_vs_standard_query,source_family_context,mae,ETTh1,96,0.5361332729119247,0.5442384655421417,1.4892722847406725
source_fcmi_vs_standard_query,source_family_context,mae,ETTh1,192,0.5406139825788677,0.547649434468186,1.2846634081071118
source_fcmi_vs_standard_query,source_family_context,mae,ETTh1,336,0.5461057623897121,0.554326802552655,1.4830674116938392
source_fcmi_vs_standard_query,source_family_context,mae,ETTh1,720,0.5813984967631388,0.5875717501527686,1.0506382221447508
source_fcmi_vs_standard_query,source_family_context,mae,ETTh2,96,0.34741974372175727,0.34954525110370044,0.6080778884083871
source_fcmi_vs_standard_query,source_family_context,mae,ETTh2,192,0.37314921834879233,0.37478400596478373,0.43619460541893806
source_fcmi_vs_standard_query,source_family_context,mae,ETTh2,336,0.39601546023338136,0.3966307918920687,0.15513965916563732
source_fcmi_vs_standard_query,source_family_context,mae,ETTh2,720,0.4427253235342772,0.4433001760879762,0.12967568810190455
source_fcmi_vs_standard_query,source_family_context,mae,ETTm2,96,0.25930802172641,0.2604146703807262,0.4249563408613932
source_fcmi_vs_standard_query,source_family_context,mae,ETTm2,192,0.29852491197414394,0.3010306290204279,0.8323794340920343
source_fcmi_vs_standard_query,source_family_context,mae,ETTm2,336,0.33427349542036827,0.3381942225793796,1.1593122818918222
source_fcmi_vs_standard_query,source_family_context,mae,ETTm2,720,0.3914023432158329,0.3986539568610487,1.819024625345278
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,Weather,96,0.1538336327509359,0.15825707873941522,2.7951015042827487
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,Weather,192,0.19342007852230328,0.19778211871042484,2.205477530811606
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,Weather,336,0.2431521033024491,0.2471208567561178,1.6059969626867399
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,Weather,720,0.3130578139237586,0.3251454325809355,3.7176037077402357
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm1,96,0.3487971045006524,0.5696994282884214,38.775240559998046
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm1,192,0.38779916474590553,0.609800114956965,36.40552777310096
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm1,336,0.4262716285891783,0.645683858415688,33.981371373427336
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm1,720,0.5031864526965052,0.7102121826012854,29.149842114297396
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh1,96,0.6926750958472709,0.6893173446499267,-0.48711253581608105
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh1,192,0.6844134228163549,0.6843404256821718,-0.01066678679844113
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh1,336,0.6728644461903599,0.6718010026471992,-0.15829740339330378
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh1,720,0.7136580576158126,0.6970905341954846,-2.376667392198728
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh2,96,0.27866008547169546,0.2879482149999727,3.2256249715866825
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh2,192,0.31493473078561707,0.3226399314246543,2.3881732819040824
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh2,336,0.34333873598542186,0.34899296527999313,1.6201556641793458
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTh2,720,0.4105088285661169,0.4188869282187095,2.0000862018349275
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm2,96,0.17304287737859902,0.1888090751454797,8.350338962643944
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm2,192,0.23254646342731775,0.24892350012311368,6.579144471171306
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm2,336,0.2873642296411532,0.30856089954707383,6.869525574055069
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mse,ETTm2,720,0.3694881450061676,0.3994740659816574,7.506349855729222
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,Weather,96,0.1916156874860743,0.19739828420701327,2.929405766706017
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,Weather,192,0.23188150610588884,0.23748613965749973,2.359983433009538
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,Weather,336,0.27286576569004006,0.27646467570044136,1.3017612471767803
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,Weather,720,0.3220964248842008,0.32969642171116265,2.305149927778094
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm1,96,0.38647517707792295,0.4566127735887399,15.360410520181421
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm1,192,0.407210946056066,0.47664838869713216,14.567854269027547
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm1,336,0.42721043484146126,0.49531579289602523,13.749886240526232
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm1,720,0.46187417960577504,0.52650819085636,12.275974500122866
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh1,96,0.5361332729119247,0.5349434924720415,-0.22241235880542387
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh1,192,0.5406139825788677,0.5375358325880208,-0.5726408927990478
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh1,336,0.5461057623897121,0.5406393549157242,-1.0111005468405043
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh1,720,0.5813984967631388,0.5611619221455834,-3.606191692440852
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh2,96,0.34741974372175727,0.35714809260172664,2.7238977559983613
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh2,192,0.37314921834879233,0.38081299514364725,2.0124777496009716
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh2,336,0.39601546023338136,0.4015400661907443,1.3758542229104886
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTh2,720,0.4427253235342772,0.4482223202104134,1.226399585267357
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm2,96,0.25930802172641,0.2746260664455867,5.5777825162171
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm2,192,0.29852491197414394,0.3136311623790171,4.816565512905758
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm2,336,0.33427349542036827,0.3518354305304403,4.991519780595999
target_coordinate_fcmi_vs_target_shuffle,matched_mechanism_attribution,mae,ETTm2,720,0.3914023432158329,0.40857240123975164,4.202451749510927
