job_index,dataset,arm,readout_mode,objective_mode,mode_rank,profile,patch_num,d_model,d_ff,seed,evaluation_split,test_used
1,Weather,pcsd_mcca,pcsd-coupling-field,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
2,Weather,siff_equal,siff-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
3,Weather,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
4,Weather,siff_mcca,siff-coupling-field,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
5,Weather,siff_const_mcca,siff-constant-control,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
6,Weather,siff_permuted_mcca,siff-permuted-scale-control,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
7,Weather,pcsd_q1_wide_mcca,siff-q1-wide-control,mcca_transport_full,430,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
8,Weather,independent_scope_matched_mcca,siff-independent-scope-control,mcca_transport_full,116,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
9,Weather,dense_siff_matched,siff-dense-nonlinear-matched,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
10,Weather,pcsd_pointwise_mcca,pcsd-coupling-field,mcca_pointwise_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
11,Weather,pcsd_uniform_balanced_ot,pcsd-coupling-field,mcca_uniform_balanced,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
12,ETTm1,pcsd_mcca,pcsd-coupling-field,mcca_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
13,ETTm1,siff_equal,siff-coupling-field,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
14,ETTm1,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
15,ETTm1,siff_mcca,siff-coupling-field,mcca_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
16,ETTm1,siff_const_mcca,siff-constant-control,mcca_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
17,ETTm1,siff_permuted_mcca,siff-permuted-scale-control,mcca_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
18,ETTm1,pcsd_q1_wide_mcca,siff-q1-wide-control,mcca_transport_full,430,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
19,ETTm1,independent_scope_matched_mcca,siff-independent-scope-control,mcca_transport_full,116,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
20,ETTm1,dense_siff_matched,siff-dense-nonlinear-matched,measure_only,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
21,ETTm1,pcsd_pointwise_mcca,pcsd-coupling-field,mcca_pointwise_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
22,ETTm1,pcsd_uniform_balanced_ot,pcsd-coupling-field,mcca_uniform_balanced,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,val,False
23,ETTm2,pcsd_mcca,pcsd-coupling-field,mcca_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
24,ETTm2,siff_equal,siff-coupling-field,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
25,ETTm2,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
26,ETTm2,siff_mcca,siff-coupling-field,mcca_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
27,ETTm2,siff_const_mcca,siff-constant-control,mcca_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
28,ETTm2,siff_permuted_mcca,siff-permuted-scale-control,mcca_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
29,ETTm2,pcsd_q1_wide_mcca,siff-q1-wide-control,mcca_transport_full,485,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
30,ETTm2,independent_scope_matched_mcca,siff-independent-scope-control,mcca_transport_full,106,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
31,ETTm2,dense_siff_matched,siff-dense-nonlinear-matched,measure_only,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
32,ETTm2,pcsd_pointwise_mcca,pcsd-coupling-field,mcca_pointwise_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
33,ETTm2,pcsd_uniform_balanced_ot,pcsd-coupling-field,mcca_uniform_balanced,256,r2b_p48_d64_ff128_medium,48,64,128,2021,val,False
34,ETTh1,pcsd_mcca,pcsd-coupling-field,mcca_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
35,ETTh1,siff_equal,siff-coupling-field,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
36,ETTh1,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
37,ETTh1,siff_mcca,siff-coupling-field,mcca_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
38,ETTh1,siff_const_mcca,siff-constant-control,mcca_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
39,ETTh1,siff_permuted_mcca,siff-permuted-scale-control,mcca_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
40,ETTh1,pcsd_q1_wide_mcca,siff-q1-wide-control,mcca_transport_full,463,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
41,ETTh1,independent_scope_matched_mcca,siff-independent-scope-control,mcca_transport_full,109,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
42,ETTh1,dense_siff_matched,siff-dense-nonlinear-matched,measure_only,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
43,ETTh1,pcsd_pointwise_mcca,pcsd-coupling-field,mcca_pointwise_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
44,ETTh1,pcsd_uniform_balanced_ot,pcsd-coupling-field,mcca_uniform_balanced,256,r2b_p24_d64_ff128_medium,24,64,128,2021,val,False
45,ETTh2,pcsd_mcca,pcsd-coupling-field,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
46,ETTh2,siff_equal,siff-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
47,ETTh2,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
48,ETTh2,siff_mcca,siff-coupling-field,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
49,ETTh2,siff_const_mcca,siff-constant-control,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
50,ETTh2,siff_permuted_mcca,siff-permuted-scale-control,mcca_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
51,ETTh2,pcsd_q1_wide_mcca,siff-q1-wide-control,mcca_transport_full,430,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
52,ETTh2,independent_scope_matched_mcca,siff-independent-scope-control,mcca_transport_full,116,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
53,ETTh2,dense_siff_matched,siff-dense-nonlinear-matched,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
54,ETTh2,pcsd_pointwise_mcca,pcsd-coupling-field,mcca_pointwise_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
55,ETTh2,pcsd_uniform_balanced_ot,pcsd-coupling-field,mcca_uniform_balanced,256,r2b_p12_d64_ff128_medium,12,64,128,2021,val,False
