dataset,window_len,stride,rank,left_window,right_window,left_start,left_end,right_start,right_end,center_distance,subspace_overlap,projection_cosine
ETTh2,96,48,16,0,1,0,96,48,144,48.0,0.3343000719958823,0.43819274284029447
ETTh2,96,48,16,0,2,0,96,96,192,96.0,0.06519586531930782,0.09201131227790083
ETTh2,96,48,16,0,3,0,96,144,240,144.0,0.050253930078604625,0.050542860386628745
ETTh2,96,48,16,0,4,0,96,192,288,192.0,0.0394375762659106,0.033854163647867266
ETTh2,96,48,16,0,5,0,96,240,336,240.0,0.04623342606181596,0.05146233575030772
ETTh2,96,48,16,0,6,0,96,288,384,288.0,0.05787517393704991,0.09328896548813914
ETTh2,96,48,16,0,7,0,96,336,432,336.0,0.05993748426090355,0.10780232795019935
ETTh2,96,48,16,0,8,0,96,384,480,384.0,0.05888640894331564,0.09846268672184708
ETTh2,96,48,16,0,9,0,96,432,528,432.0,0.056391615066814005,0.07926755285763944
ETTh2,96,48,16,0,10,0,96,480,576,480.0,0.051144261469244334,0.06874752363849082
ETTh2,96,48,16,0,11,0,96,528,624,528.0,0.05118587677204122,0.06709274573106858
ETTh2,96,48,16,0,12,0,96,576,672,576.0,0.059488850054401174,0.07280230379954926
ETTh2,96,48,16,0,13,0,96,624,720,624.0,0.07030184677649229,0.0785491313662527
ETTh2,96,48,16,1,2,48,144,96,192,48.0,0.439232439301609,0.47470081908806955
ETTh2,96,48,16,1,3,48,144,144,240,96.0,0.05957297490095625,0.14266513092161334
ETTh2,96,48,16,1,4,48,144,192,288,144.0,0.056113177145732406,0.11601383125015263
ETTh2,96,48,16,1,5,48,144,240,336,192.0,0.06600461066283511,0.12836002884491168
ETTh2,96,48,16,1,6,48,144,288,384,240.0,0.06903717768039576,0.15075243636690006
ETTh2,96,48,16,1,7,48,144,336,432,288.0,0.0713817865930702,0.15971445945804338
ETTh2,96,48,16,1,8,48,144,384,480,336.0,0.07277997730333848,0.1628452805642305
ETTh2,96,48,16,1,9,48,144,432,528,384.0,0.06065359488045003,0.13440150791067543
ETTh2,96,48,16,1,10,48,144,480,576,432.0,0.055972902803761944,0.11351348038345425
ETTh2,96,48,16,1,11,48,144,528,624,480.0,0.06672612404299351,0.12028611796857554
ETTh2,96,48,16,1,12,48,144,576,672,528.0,0.07383270977444345,0.12731796551102428
ETTh2,96,48,16,1,13,48,144,624,720,576.0,0.06661439000152382,0.11265888079705681
ETTh2,96,48,16,2,3,96,192,144,240,48.0,0.3688143396781892,0.5308504026676474
ETTh2,96,48,16,2,4,96,192,192,288,96.0,0.07725461455814468,0.21874962164507414
ETTh2,96,48,16,2,5,96,192,240,336,144.0,0.07289450211121477,0.20311894370719646
ETTh2,96,48,16,2,6,96,192,288,384,192.0,0.0738948336136239,0.1826658469172897
ETTh2,96,48,16,2,7,96,192,336,432,240.0,0.06886806091782655,0.1587917757356564
ETTh2,96,48,16,2,8,96,192,384,480,288.0,0.06002116317588887,0.1521220320843167
ETTh2,96,48,16,2,9,96,192,432,528,336.0,0.057899947067791516,0.16041261687128758
ETTh2,96,48,16,2,10,96,192,480,576,384.0,0.06109077963688307,0.16372386685558318
ETTh2,96,48,16,2,11,96,192,528,624,432.0,0.06669568466893092,0.14051580703373165
ETTh2,96,48,16,2,12,96,192,576,672,480.0,0.06841045166094686,0.12619242098178243
ETTh2,96,48,16,2,13,96,192,624,720,528.0,0.06578572050970394,0.12880051327715816
ETTh2,96,48,16,3,4,144,240,192,288,48.0,0.3948344072174359,0.5699520062422786
ETTh2,96,48,16,3,5,144,240,240,336,96.0,0.07544843346085334,0.27079353496624076
ETTh2,96,48,16,3,6,144,240,288,384,144.0,0.07093625173721907,0.24351116697568478
ETTh2,96,48,16,3,7,144,240,336,432,192.0,0.06825017164785072,0.1752381672920688
ETTh2,96,48,16,3,8,144,240,384,480,240.0,0.06604899222414198,0.16399660113094955
