dataset,clusters,cluster,size,start,end,span,runs,locality,max_stage_share,row_norm_mean,row_norm_std,share_early_0_96,share_mid_96_192,share_late_192_336,share_tail_336_720
ETTh2,4,0,259,0,291,291,7,0.8900343642611683,0.37065637065637064,0.8411257499901019,0.04097805384199783,0.37065637065637064,0.37065637065637064,0.25868725868725867,0.0
ETTh2,4,1,170,549,720,171,2,0.9941520467836257,1.0,0.9093549672341109,0.034765592738402316,0.0,0.0,0.0,1.0
ETTh2,4,2,157,386,555,169,5,0.9289940828402367,1.0,0.8863344341698024,0.034270896607827166,0.0,0.0,0.0,1.0
ETTh2,4,3,134,248,398,150,10,0.8933333333333333,0.5746268656716418,0.8649974081899329,0.03269024032140795,0.0,0.0,0.5746268656716418,0.4253731343283582
ETTh2,8,0,97,0,313,313,34,0.30990415335463256,0.7422680412371134,0.8252831804563482,0.04097648584009646,0.7422680412371134,0.23711340206185566,0.020618556701030927,0.0
ETTh2,8,1,154,550,720,170,9,0.9058823529411765,1.0,0.910301819447647,0.034609551374605745,0.0,0.0,0.0,1.0
ETTh2,8,2,104,293,418,125,11,0.832,0.7019230769230769,0.8696572072958125,0.031125559959447893,0.0,0.0,0.2980769230769231,0.7019230769230769
ETTh2,8,3,137,412,573,161,13,0.8509316770186336,1.0,0.8887062736678258,0.035041690212919537,0.0,0.0,0.0,1.0
ETTh2,8,4,106,171,305,134,14,0.7910447761194029,0.9245283018867925,0.8632201241729289,0.03618907261294642,0.0,0.07547169811320754,0.9245283018867925,0.0
ETTh2,8,5,26,7,512,505,26,0.05148514851485148,0.3076923076923077,0.846096911214561,0.04264229490058064,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.3076923076923077
ETTh2,8,6,26,6,607,601,26,0.04326123128119801,0.46153846153846156,0.8595336673174645,0.04132036539046357,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.46153846153846156
ETTh2,8,7,70,16,193,177,31,0.3954802259887006,0.8,0.8460326654960294,0.036018952628609845,0.18571428571428572,0.8,0.014285714285714285,0.0
ETTm1,4,0,144,0,676,676,9,0.21301775147928995,0.5486111111111112,0.9318685241558907,0.04466662702852955,0.1527777777777778,0.125,0.1736111111111111,0.5486111111111112
ETTm1,4,1,171,6,698,692,9,0.24710982658959538,0.49122807017543857,0.9228456227158756,0.04493697388891478,0.11695906432748537,0.14035087719298245,0.25146198830409355,0.49122807017543857
ETTm1,4,2,190,26,720,694,9,0.2737752161383285,0.5210526315789473,0.9202757187275269,0.04613832189016372,0.12631578947368421,0.11578947368421053,0.23684210526315788,0.5210526315789473
ETTm1,4,3,215,50,657,607,8,0.3542009884678748,0.5674418604651162,0.9199005321750641,0.039034561940899215,0.13953488372093023,0.14883720930232558,0.14418604651162792,0.5674418604651162
ETTm1,8,0,122,0,676,676,9,0.1804733727810651,0.5327868852459017,0.9324164614121372,0.04514537294820885,0.14754098360655737,0.13114754098360656,0.1885245901639344,0.5327868852459017
ETTm1,8,1,85,5,686,681,9,0.12481644640234948,0.5058823529411764,0.9173821642092894,0.04416677746940528,0.12941176470588237,0.12941176470588237,0.23529411764705882,0.5058823529411764
ETTm1,8,2,61,32,711,679,9,0.0898379970544919,0.4918032786885246,0.921577432801772,0.04657226252729419,0.09836065573770492,0.13114754098360656,0.2786885245901639,0.4918032786885246
