dataset,clusters,rank,cluster,projection_share_mean,projection_share_std,projection_share_normalized_mean,output_energy_share_mean,output_energy_share_std
ETTh2,4,16,0,0.2950042037828088,0.10726316146835022,0.3736031035114995,0.3609266439383621,0.12421963495072344
ETTh2,4,16,1,0.15066982059059686,0.07331894415570958,0.1886192408945226,0.24813842401322464,0.12253501862244866
ETTh2,4,16,2,0.16360059197728843,0.06618271900341559,0.2041182603368192,0.21080477586902316,0.06677863221162914
ETTh2,4,16,3,0.189185976799054,0.07716991879847675,0.2336593952571587,0.18013015617939013,0.056599451919695884
ETTh2,8,16,0,0.2174247817652534,0.10318996784395369,0.18699759303748098,0.13945499942125802,0.0686276059260849
ETTh2,8,16,1,0.14774017398314018,0.07176028657936215,0.12300648775722385,0.22638797242830586,0.11607732962868109
ETTh2,8,16,2,0.15694421842741804,0.05979946386317212,0.12968573068440453,0.13724249907958647,0.04270130247713039
ETTh2,8,16,3,0.15923243448118307,0.06711993161192195,0.1322935864172095,0.18512817385094194,0.06451656864451001
ETTh2,8,16,4,0.18310831408264114,0.08489692996632088,0.14935295914023033,0.1467549396489065,0.053665641855314326
ETTh2,8,16,5,0.08789479181938945,0.05346669635084724,0.07398250296771047,0.03536925446018703,0.02904492735694301
ETTh2,8,16,6,0.07827231987127134,0.05647716174994746,0.06518002985322018,0.03538730873558203,0.03145264311433936
ETTh2,8,16,7,0.16597810081460238,0.06546853904471533,0.13950111014252015,0.09427485237523216,0.04117469779334998
ETTm1,4,16,0,0.18454483876376981,0.13089996132757373,0.2130335121699048,0.20300269278556743,0.1490138277652301
ETTm1,4,16,1,0.20384051093005356,0.1363106610686478,0.2361180204241424,0.2435388866452839,0.1681767219804725
ETTm1,4,16,2,0.22040230433225722,0.14385212689432328,0.2572439183321584,0.26151182055941796,0.1740632870520978
ETTm1,4,16,3,0.2517469945665805,0.15033595606078817,0.2936045490737944,0.2919466000097307,0.1772469593564767
ETTm1,8,16,0,0.16180761663556972,0.12208728862140425,0.16109855306195062,0.17234287809651808,0.1348751825704441
ETTm1,8,16,1,0.12706635844689657,0.10561131893315738,0.12547242475638307,0.12235520347022061,0.105178163719691
ETTm1,8,16,2,0.09486011964946361,0.08444685468007299,0.09263288863102023,0.08399260159894091,0.07845443085586627
ETTm1,8,16,3,0.14792535564990847,0.11601927035317837,0.14716990848570785,0.14859585121648589,0.1241198576944704
ETTm1,8,16,4,0.121153341840812,0.1022638749765689,0.11953562849484752,0.11982369850332235,0.1054317801395628
ETTm1,8,16,5,0.09551777832446531,0.08496504018853314,0.09213447066205861,0.0831725779691997,0.0767131668180829
ETTm1,8,16,6,0.15977896480873038,0.12271085179333033,0.15892339760497895,0.17676948491667513,0.1413830124502695
ETTm1,8,16,7,0.10596502229382751,0.09264896537060972,0.10303272830305318,0.09294770422863737,0.08510499497509719
Weather,4,16,0,0.079074659162418,0.038612901633128346,0.2578916550792496,0.27092659198751046,0.0322883359468367
Weather,4,16,1,0.07290470615616793,0.030539015830641083,0.23993665737925218,0.2217728484179849,0.015483937133996945
Weather,4,16,2,0.07846241105900946,0.03335945168195476,0.2620499468356697,0.25954659202168884,0.0292882203205163
Weather,4,16,3,0.07149068313785434,0.03171761014467504,0.24012174070582856,0.24775396757281581,0.026731188608035833
Weather,8,16,0,0.059543058879696284,0.022095025889677884,0.12854609320744134,0.14308854131003362,0.019124582623836466
Weather,8,16,1,0.0658457546797216,0.024403907140121844,0.14046190061976133,0.13441681161278168,0.026243622458156597
Weather,8,16,2,0.05921512676340215,0.019712663651273808,0.12679538341974708,0.12187590250261973,0.013070990325584786
Weather,8,16,3,0.058261302719547776,0.026672714060530164,0.12262833899524621,0.12436928634659136,0.02204016686952274
Weather,8,16,4,0.06339056089131624,0.019236635390767885,0.13613585525067662,0.14272247617721864,0.011291472093473332
Weather,8,16,5,0.05611799692950975,0.03331632735460046,0.11227274318649075,0.1202665750640594,0.025825378757047802
Weather,8,16,6,0.05559455479194282,0.02358463790671008,0.11343575822569622,0.11344974683856285,0.01400672288111915
Weather,8,16,7,0.05743521265577302,0.023205410640720264,0.11972392709494045,0.09981066014813267,0.013661082963849948
