dataset,clusters,cluster_stage_nmi,cluster_transitions,mean_cluster_locality,mean_cluster_stage_purity,subspace_rank,coeff_rows,projection_pair_cosine_mean,subspace_pair_overlap_mean,projection_entropy_mean,output_energy_entropy_mean,max_output_cluster_share_mean,max_projection_cluster_share_mean,decision_hint
ETTh2,4,0.5324556487514255,23,0.926628456804591,0.7363208090820031,16,6000,0.2708181766137147,0.07968188066682716,0.9404736277588875,0.9234007109021665,0.42137817005134054,0.39512277960051095,supports_emergent_subspace_utilization
ETTh2,8,0.5456662856561414,163,0.5224986956523244,0.7422437736597189,16,6000,0.15109361000749,0.07104540218005023,0.9364464878198672,0.8815699882560272,0.2762510173976561,0.23745850620966227,auxiliary_resolution
ETTm1,4,0.005719994198921384,34,0.27202594566877214,0.5320834183326533,16,6000,0.04829521713687245,0.05460123991393053,0.8453776309813796,0.8339440919627579,0.4897892787932342,0.47261133931053506,supports_directional_usage_but_basis_clusters_not_temporally_clear
ETTm1,8,0.005315822476587925,70,0.137790553578666,0.5317839046199702,16,6000,0.042752267071784235,0.06356497629268075,0.842772259039436,0.8193185293969598,0.3528332135257159,0.3267626337448812,auxiliary_resolution
Weather,4,0.006801062349156295,527,0.2521522369880194,0.5350938080219849,16,6000,0.014631512875862564,0.06639779809928939,0.9797125840997536,0.9940732173727327,0.2914498470335584,0.31929102176804963,supports_directional_usage_but_basis_clusters_not_temporally_clear
Weather,8,0.020307255420410692,628,0.1267597803541659,0.5330259302167099,16,6000,0.04064842833993608,0.06711518264737845,0.9822334907890552,0.9915907152564908,0.16267383692728757,0.1806484129331841,auxiliary_resolution
