dataset,clusters,rank,left_cluster,right_cluster,subspace_overlap,projection_cosine
ETTh2,4,16,0,1,0.07351990448043423,0.2032790131931243
ETTh2,4,16,0,2,0.06996235481865068,0.2525318324597101
ETTh2,4,16,0,3,0.07236650440623667,0.26463590252528185
ETTh2,4,16,1,2,0.0915148483479232,0.32657096218834575
ETTh2,4,16,1,3,0.08059564695829216,0.2667419302980247
ETTh2,4,16,2,3,0.090132024989426,0.31114941901780174
ETTh2,8,16,0,1,0.06754126905725646,0.10667464468837624
ETTh2,8,16,0,2,0.06136295064020443,0.14299527946104942
ETTh2,8,16,0,3,0.055186410430873356,0.13128682607774966
ETTh2,8,16,0,4,0.05161499017888467,0.11902461052425593
ETTh2,8,16,0,5,0.055021074952845334,0.06307320490788054
ETTh2,8,16,0,6,0.060844818784127216,0.05242037004260601
ETTh2,8,16,0,7,0.06753247124237416,0.12971587850292118
ETTh2,8,16,1,2,0.0748879888098253,0.22691445205751068
ETTh2,8,16,1,3,0.09956856090228618,0.3410569539091115
ETTh2,8,16,1,4,0.06534907913408691,0.18103747442411586
ETTh2,8,16,1,5,0.06872858206925353,0.11786095023636901
ETTh2,8,16,1,6,0.07536620724755341,0.1360196761631387
ETTh2,8,16,1,7,0.06694943655030043,0.13166400392967503
ETTh2,8,16,2,3,0.10071395715777248,0.3113339540917606
ETTh2,8,16,2,4,0.08422961617998834,0.2747938329113531
ETTh2,8,16,2,5,0.07024730606829807,0.11679503632654534
ETTh2,8,16,2,6,0.07714353186162096,0.11012546154057343
ETTh2,8,16,2,7,0.06727706775995687,0.1620161222014404
ETTh2,8,16,3,4,0.06939550264316399,0.2405617317985388
ETTh2,8,16,3,5,0.07849999477455763,0.11782483878669257
ETTh2,8,16,3,6,0.09309886629108144,0.14462955860121424
ETTh2,8,16,3,7,0.06592789951719526,0.16733204554711462
ETTh2,8,16,4,5,0.06580781097391097,0.11358651449466448
ETTh2,8,16,4,6,0.06677315729825659,0.10373765060112997
ETTh2,8,16,4,7,0.0728073732728588,0.20634475218060883
ETTh2,8,16,5,6,0.09012977005405719,0.17202462589211429
ETTh2,8,16,5,7,0.06276640369464125,0.07023431473862121
ETTh2,8,16,6,7,0.054499163494175676,0.039536315572588424
ETTm1,4,16,0,1,0.06251899845547726,0.11143659014835597
ETTm1,4,16,0,2,0.04910686619689906,-0.007902125117822602
ETTm1,4,16,0,3,0.051827232440213616,0.06596683007219878
ETTm1,4,16,1,2,0.06428845241904192,0.0663551675244386
ETTm1,4,16,1,3,0.046230759514393156,0.0020450942842766707
ETTm1,4,16,2,3,0.053635130457558175,0.05186974590978727
ETTm1,8,16,0,1,0.07912678175753216,0.16018294265653224
ETTm1,8,16,0,2,0.04771900419269168,-0.004628884917021439
ETTm1,8,16,0,3,0.058990845870691824,0.11958212950746387
ETTm1,8,16,0,4,0.057798793288423835,0.0002441922491050218
ETTm1,8,16,0,5,0.060578488822728024,0.0010194568643536912
ETTm1,8,16,0,6,0.06341213258165732,0.015619505868835485
ETTm1,8,16,0,7,0.056456247839298444,0.0022932229533018777
ETTm1,8,16,1,2,0.057392099810176775,-0.0007769034824689431
ETTm1,8,16,1,3,0.058527471272185765,8.973150861971842e-05
ETTm1,8,16,1,4,0.05243891825036259,0.004872842981875702
ETTm1,8,16,1,5,0.06209469356636422,-0.004431241854285579
ETTm1,8,16,1,6,0.07891694044426048,0.12513736282852403
ETTm1,8,16,1,7,0.06119085944253962,-0.0019221994043746428
ETTm1,8,16,2,3,0.0593052712243007,0.001173110603773956
ETTm1,8,16,2,4,0.0684934672068571,0.0038267474780165865
ETTm1,8,16,2,5,0.07149294083048675,0.17417699794572547
ETTm1,8,16,2,6,0.08428357117034108,0.13730307057078486
ETTm1,8,16,2,7,0.06189716407916786,0.030867605955402614
ETTm1,8,16,3,4,0.06535325675697631,0.09235842564672252
ETTm1,8,16,3,5,0.07005966579488533,0.018361955083479695
ETTm1,8,16,3,6,0.05008581530630571,-0.005265584226958888
ETTm1,8,16,3,7,0.06297515685452576,0.008268902459058374
ETTm1,8,16,4,5,0.06717186874678084,0.021236666606555106
