dataset,clusters,rank,left_cluster,right_cluster,subspace_overlap,projection_cosine
ETTm1,8,16,4,6,0.05781665679434872,0.0019793623234888695
ETTm1,8,16,4,7,0.065192291603411,0.11970742916938124
ETTm1,8,16,5,6,0.06266567000795256,0.02226686158698933
ETTm1,8,16,5,7,0.07723661148595468,0.15639335258127826
ETTm1,8,16,6,7,0.061146651193853624,-0.002873583534200468
Weather,4,16,0,1,0.07226439323164853,0.01737531215148729
Weather,4,16,0,2,0.06990122618027243,0.017102381278779683
Weather,4,16,0,3,0.05906445343301675,-0.028195634163591974
Weather,4,16,1,2,0.06497116645529705,0.0408112540481709
Weather,4,16,1,3,0.059489765999361524,0.018028784740772408
Weather,4,16,2,3,0.07269578329614008,0.02266697919955708
Weather,8,16,0,1,0.06453991905207708,0.04713486266905858
Weather,8,16,0,2,0.06096057094683048,0.022370440572875367
Weather,8,16,0,3,0.061236289214284034,0.04250082115446833
Weather,8,16,0,4,0.06093959922723568,-0.03505170892849823
Weather,8,16,0,5,0.07132351876418735,0.04735501534694798
Weather,8,16,0,6,0.07151109194961122,0.012585904015403429
Weather,8,16,0,7,0.07307551174018051,0.0785174660957197
Weather,8,16,1,2,0.07221064590794443,-0.01495152091322332
Weather,8,16,1,3,0.07241912670185588,0.06727219905791329
Weather,8,16,1,4,0.06637472251831614,-0.025540661562244372
Weather,8,16,1,5,0.06571808211657065,0.02562257930177798
Weather,8,16,1,6,0.06019211529842449,0.06615975473363775
Weather,8,16,1,7,0.07048644671765063,-0.006242248982527947
Weather,8,16,2,3,0.0754987315687156,0.059239487586197966
Weather,8,16,2,4,0.06804585975811343,0.04491390228993061
Weather,8,16,2,5,0.06381872523966757,0.07397992666130819
Weather,8,16,2,6,0.060861878776262104,0.06885086742742412
Weather,8,16,2,7,0.06954306743031231,0.0374718327952679
Weather,8,16,3,4,0.0741396233914702,0.032811184517533606
Weather,8,16,3,5,0.0700303384589201,0.03469284207941855
Weather,8,16,3,6,0.06505943198592348,0.10684877050909052
Weather,8,16,3,7,0.06539667453539769,0.003858505994056472
Weather,8,16,4,5,0.07115631261960606,0.07047436173693106
Weather,8,16,4,6,0.05926681359297485,0.06755623257502306
Weather,8,16,4,7,0.06305646892184488,0.007629632964920517
Weather,8,16,5,6,0.07354699981889959,0.08905487404567604
Weather,8,16,5,7,0.06233923518186766,0.09630232576404436
Weather,8,16,6,7,0.06647731269145252,0.016738344010078714
