dataset,window_len,stride,rank,windows,adjacent_subspace_overlap_mean,far_subspace_overlap_mean,distance_subspace_overlap_spearman,adjacent_projection_cosine_mean,far_projection_cosine_mean,distance_projection_cosine_spearman,output_energy_entropy_mean,max_output_window_share_mean
ETTh2,96,48,16,14,0.3900285522656806,0.0648838357392175,-0.7016498201656985,0.5584559715517913,0.150364315319787,-0.7805156666919174,0.9666853870121174,0.12763978428563164
ETTm1,96,48,16,14,0.40213887370430135,0.08114138860276851,-0.547152827823575,0.5390512535311288,0.2378528421271546,-0.5355911747896805,0.9956742282301875,0.0938727699222568
Weather,96,48,16,14,0.3810311601416617,0.06998807758581285,-0.27864064212781114,0.40705766740093846,0.0484448063085237,-0.6305264379634243,0.918503193542976,0.17632457729578824
