dataset,segment,control_exposure_share,r3_full_exposure_share,exposure_share_delta,control_effective_pressure,r3_full_effective_pressure,effective_pressure_delta_pct
ETTh2,1-96,0.5666666666666667,0.4797619047619047,0.08690476190476193,0.8195482406247531,0.7217033072706209,13.557501035178543
ETTh2,97-192,0.06666666666666667,0.22976190476190472,-0.16309523809523807,0.042953274348525375,0.15397550519225822,-72.10382632296437
ETTh2,193-336,0.1,0.15714285714285714,-0.057142857142857134,0.04739078861740873,0.0774594948923266,-38.81861909468323
ETTh2,337-720,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.0901076964093128,0.04686169264479433,92.28433998813846
ETTh2,horizon_96,1.0,1.0,0.0,2.611813816744593,2.611813816744593,0.0
ETTh2,horizon_720,1.0,1.0,0.0,0.9999999999999997,0.9999999999999997,0.0
ETTm1,1-96,0.5666666666666667,0.4797619047619047,0.08690476190476193,0.8195482406247531,0.7217033072706209,13.557501035178543
ETTm1,97-192,0.06666666666666667,0.22976190476190472,-0.16309523809523807,0.042953274348525375,0.15397550519225822,-72.10382632296437
ETTm1,193-336,0.1,0.15714285714285714,-0.057142857142857134,0.04739078861740873,0.0774594948923266,-38.81861909468323
ETTm1,337-720,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.0901076964093128,0.04686169264479433,92.28433998813846
ETTm1,horizon_96,1.0,1.0,0.0,2.611813816744593,2.611813816744593,0.0
ETTm1,horizon_720,1.0,1.0,0.0,0.9999999999999997,0.9999999999999997,0.0
Weather,1-96,0.5666666666666667,0.4797619047619047,0.08690476190476193,0.8195482406247531,0.7217033072706209,13.557501035178543
Weather,97-192,0.06666666666666667,0.22976190476190472,-0.16309523809523807,0.042953274348525375,0.15397550519225822,-72.10382632296437
Weather,193-336,0.1,0.15714285714285714,-0.057142857142857134,0.04739078861740873,0.0774594948923266,-38.81861909468323
Weather,337-720,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.0901076964093128,0.04686169264479433,92.28433998813846
Weather,horizon_96,1.0,1.0,0.0,2.611813816744593,2.611813816744593,0.0
Weather,horizon_720,1.0,1.0,0.0,0.9999999999999997,0.9999999999999997,0.0
