dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae
ETTh2,96,720,1.4614345635890168e-14,6.537267438488925e-08
ETTm1,96,720,4.822898536701453e-14,1.2399790705330815e-07
Weather,96,720,1.0225239437718775e-14,5.5824312283903055e-08
