origin,channel,accuracy_eligible,min_gain,visibility96,persistent_fraction96,gain_h96,gain_h192,gain_h336,gain_h720,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,fit_eligible,audited_eligible
56,18,True,0.41616687933656393,0.021867208692168072,0.0,0.7794380177758727,0.6906714952035642,0.7230713075800674,0.41616687933656393,0.9652004261883858,0.9848877465688105,1.0387697167741232,0.0435910591726986,0.9464336914325798,0.9770482747454055,1.0458478005733178,0.05879000762245275,0.9233758644620745,0.9650030277374102,1.0307034946678824,0.0594846847971229,True,False
57,18,True,0.39663287539686864,0.022374784675330623,0.0,0.8623862731894927,0.6884855370522802,0.7216610653658,0.39663287539686864,0.9633914895878819,0.9846648760216579,1.0444674596383434,0.05096154899170627,0.9436814479307087,0.976083922670894,1.0490582451322052,0.06109929972760864,0.9196143746762269,0.9636302461185926,1.0339471361232946,0.06343824980576813,True,False
58,18,True,0.4033073106148912,0.022489621597894693,0.0,0.8775446112794629,0.7061445726157274,0.7356841987667386,0.4033073106148912,0.9636720600821709,0.9845666238566921,1.0450924139040167,0.04512211729896851,0.9439663204338024,0.9759858237099981,1.0490568754944611,0.05694408696426324,0.9210818883391645,0.963933293771893,1.0338984080293658,0.05648353113700221,True,False
59,18,True,0.4081678274612994,0.02421368319032391,0.0,0.8755115115622053,0.7136218319466854,0.7220036104780969,0.4081678274612994,0.9635320561952909,0.9847510832175366,1.0456195502760768,0.04997668877350605,0.9441949914270782,0.9759602497028739,1.0461958890192244,0.05805490972210194,0.9218746088738734,0.9640764157223276,1.0313713484672755,0.055137269654829776,True,False
60,18,True,0.4312031150262018,0.024161155040129993,0.0,0.8964262892235539,0.752989207458217,0.7512753009772907,0.4312031150262018,0.9648638605191859,0.9851232149392932,1.0445102936031285,0.04557480642765163,0.9458166304892685,0.9765633428211566,1.0456489456841942,0.055556381539965505,0.9242598842245502,0.9651932571667509,1.032000355629277,0.053618570016644405,True,False
61,18,True,0.4276212655214022,0.025880076568475536,0.0,0.892424817785786,0.7704647229234514,0.7657009370507802,0.4276212655214022,0.9645199641937455,0.9847733122879995,1.042060756875484,0.04445965692139488,0.9449778313542121,0.9757874691753956,1.041617707540517,0.053382893910904956,0.9236065118431056,0.9643391887377383,1.0284874810101043,0.047207580861473995,True,False
62,18,True,0.41337161772577957,0.028697048684633387,0.0,0.8917281781882462,0.7761011605739863,0.7397089279017833,0.41337161772577957,0.9645355564761618,0.9846177888195436,1.0382028918140649,0.045445245304567644,0.9451649038268479,0.9756450812180515,1.0375774166812222,0.053691773133394,0.9238254789589755,0.9640958767839755,1.02551603086506,0.04339291814966109,True,False
63,18,True,0.37929266420265995,0.02997263569720281,0.0,0.8706898379696493,0.7537523675231992,0.6909121479567248,0.37929266420265995,0.9632443665891794,0.9844971688643068,1.0421089269887918,0.05168359738313327,0.9436820352907817,0.9753832785837019,1.0403626488179183,0.05889130915402116,0.9232484809511747,0.9642099212290947,1.0292039476079122,0.04720241286748487,True,False
64,18,True,0.38947689952404907,0.03168217344929191,0.0,0.8568302522431085,0.7249017813118298,0.6738894067007788,0.38947689952404907,0.9642550480924633,0.9848100064852616,1.0403321425315066,0.050129763513306315,0.945325981096478,0.9760451638228742,1.03859465731875,0.058529835032679715,0.9274990899795467,0.9660905585074459,1.0299467201065982,0.0418839812279728,True,False
65,18,True,0.401798588682569,0.03311982446652717,0.0,0.8490424373311416,0.7725031546639957,0.725018148830421,0.401798588682569,0.965070236644765,0.9845392768034386,1.0294874366469944,0.04719124760537009,0.9454837493699902,0.9754371556601763,1.025555600927531,0.059008785078225406,0.9296869994780437,0.9662698998899547,1.0169570677246142,0.03770054339396782,True,False
