origin,channel,min_gain,visibility96,persistent_fraction96,accuracy_eligible,gain_h96,gain_h192,gain_h336,gain_h720,fit_eligible,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,audited_eligible
947,2,0.07751152202847411,0.12577961785571867,0.6458333333333334,True,0.5703581566551466,0.07751152202847411,0.1309928081528744,0.2645882952879469,True,0.6610564014517717,0.8296533316447678,0.8940243784674744,0.1520678058907945,0.6617658730697618,0.819760405858897,0.8361176873513964,0.0998683597860545,0.4552605484193628,0.7436200341305353,1.056009056438156,0.0111043001861858,True
946,2,0.18330922224846402,0.12191165781521647,0.6770833333333334,True,0.5366913699720717,0.18330922224846402,0.2624100227512679,0.377145573101221,True,0.6683737761987665,0.8288367410959749,0.8834387954616381,0.1249607252334872,0.6625693832630493,0.8188330095774374,0.8375586168040206,0.0869911831428346,0.4544366579300581,0.7482670210853593,1.0708702302105024,0.0373369304584461,True
947,0,0.21836397863864487,0.12133394509347624,0.625,True,0.5763512902521839,0.21836397863864487,0.2277460943805637,0.4156094796092511,True,0.6618279043206174,0.8206352646676813,0.8994421733711666,0.073510573635217,0.6571328971171911,0.8124702011404813,0.8406834124301708,0.0466791745084079,0.4510921321851204,0.7389735549272772,1.046972295608411,0.0112498193573326,True
946,0,0.28721507079739084,0.11835951063508961,0.6770833333333334,True,0.4929167057487631,0.28721507079739084,0.30543201314873814,0.4870501906138064,True,0.6619149537172839,0.8186298862384674,0.9035158968939356,0.032160567789177,0.6565999587181806,0.8117271421473773,0.8556165976389302,0.0193574346756682,0.4325131618091888,0.7429305038222512,1.083831886138745,0.0567346387588675,True
1472,2,0.03761083386478681,0.11584739781714273,0.5625,True,0.038529302158074596,0.03761083386478681,0.0906998694390182,0.21488859441863795,True,0.5202377299894103,0.7734478270504648,1.0363736569548354,0.0940947349684001,0.6295856136448676,0.8070153496080672,0.86691769181705,0.1345357582802476,0.4738954099696928,0.7382997448020453,0.998717327035576,0.0580843013964585,True
928,0,0.2429162368531771,0.11404036590072764,0.5729166666666666,True,0.5181247622788401,0.31614347612351323,0.2429162368531771,0.3250208957620353,True,0.6675731498641999,0.8197533465632002,0.8862498791109008,0.0007813427538566,0.6724840485839485,0.8205060867587248,0.8208442193184863,0.0273143824850603,0.4663185232801698,0.7564186894339403,1.0593446097274852,0.1186869717327839,True
945,2,0.25076388318474885,0.11397870897662744,0.6145833333333334,True,0.5478507101487404,0.3061197593280315,0.25076388318474885,0.4471801586911299,True,0.6371850949220617,0.8264442058756565,0.8863604279381142,0.2055115004985002,0.6363923568918062,0.8174718215644682,0.8392987881361583,0.1771761995596532,0.4421811957803956,0.7474065981179553,1.0775267681915492,0.0863487141794289,True
1471,0,0.04125879432311641,0.11255581507166867,0.5104166666666666,True,0.04125879432311641,0.10386302645419498,0.12406433458944688,0.36325958524296864,True,0.4968732384520724,0.7651118115497184,1.0021469781724055,0.1798254028355671,0.584050603054487,0.7959152173548204,0.8497894657922178,0.2157034898136554,0.4446061096436531,0.7186202064124942,0.979369250163139,0.061796663371149,True
948,2,0.047997017243768925,0.11243266807974699,0.5729166666666666,True,0.456077510807662,0.047997017243768925,0.14931100989192614,0.217000415264329,True,0.6768439370511856,0.8303788746176101,0.8793301690168258,0.101434260172114,0.6728926691184158,0.8222568066156005,0.8206702464904116,0.0566663015754365,0.4732777208339475,0.7441784170410298,1.0221968326939033,0.0568291836437198,True
929,0,0.2898713395249828,0.11237919737877412,0.6354166666666666,True,0.47504245853743376,0.2899824621041841,0.2898713395249828,0.3022703285954933,True,0.6651371734803553,0.8178710880264214,0.8661627565420208,0.0379981302322471,0.6641077187114679,0.8150314398995917,0.8093218828648495,0.0116589138345265,0.4747813519070026,0.7545562372921826,1.0564290640385945,0.0587074084052833,True
945,0,0.32142572790485435,0.11215807415957366,0.59375,True,0.5413949551336139,0.41944905700605484,0.32142572790485435,0.5475441218930388,True,0.6399596156563413,0.8147201591514512,0.9000506144096728,0.1285614074162599,0.6347915940963466,0.8074655483332145,0.854507904696884,0.1224582963970429,0.4148387102474459,0.739985928450947,1.0955183712778744,0.0796061942029747,True
928,2,0.14693511946122606,0.11150719352063718,0.5520833333333334,True,0.4969777195561179,0.23899865913306828,0.14693511946122606,0.22032680708144448,True,0.673729341232946,0.8282851016139193,0.8542706650413563,0.1079426644844071,0.6783695665656808,0.826569016442432,0.7888850244746526,0.0585379289546618,0.5104128831433645,0.7624404507473793,1.012815047787863,0.0906372933693283,True
1378,2,0.09015216237969659,0.11136936950703442,0.6354166666666666,True,0.2539218656357751,0.13343614215458277,0.1579850134917279,0.09015216237969659,True,0.6591264826930242,0.818662049101373,0.8605910213892,0.0965558347730543,0.6687842394308667,0.8368456824942949,0.7770221108095405,0.1671753485097448,0.678499349736558,0.8707718248778578,0.6591884820548022,0.1870206146508405,True
