short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,4.727005597929615e-14,1.238198734654361e-07,0.0
192,720,4.452307392124183e-14,1.2031989626848372e-07,0.0
336,720,2.921460680793339e-14,9.095040098827667e-08,0.0
