epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.481947169413395,0.47272737036374485,0.3838595226971489,0.1195296748950513,0.34731165704204503,0.6102251708507538,273,257,272,254,0.3744652569293976,0.40903326869010925,0.49645230174064636,0.47062060236930847,0.6389647126197815,0.5333904027938843,0.9310184121131897,0.6375640034675598
2,0.3828378507698124,0.3790843306730191,0.15538023530759595,0.05717327359668685,0.07418209854090078,0.6306657046079636,265,233,261,297,0.3979405164718628,0.42333677411079407,0.5183688998222351,0.48336657881736755,0.6577246785163879,0.5456148386001587,0.9486287236213684,0.6487374305725098
3,0.3310818535727308,0.3285135156757226,0.10854643961471139,0.036556821429368225,0.03184120206578606,0.6712500229477882,245,286,251,274,0.4337015450000763,0.4389478266239166,0.560971736907959,0.5002784729003906,0.7051602602005005,0.5632494688034058,0.9851665496826172,0.6621965765953064
4,0.29013197409045516,0.28824508422985673,0.0815821039970174,0.023810092015826904,0.017146351718110964,0.7347281128168106,245,296,270,245,0.48777657747268677,0.4624164402484894,0.6253348588943481,0.5264143943786621,0.7770206928253174,0.5898038148880005,1.0487803220748901,0.6861749887466431
5,0.25815683692185715,0.25671594307729695,0.06354244397670934,0.01590551627415345,0.01098911796615346,0.7359658181667328,267,257,267,265,0.5122573375701904,0.4716063141822815,0.6321240663528442,0.5302928686141968,0.7646486759185791,0.5873317122459412,1.0348331928253174,0.6817958950996399
6,0.23423998258217718,0.23309420825292668,0.05131501997962142,0.011211502234800719,0.007358965583879388,0.7498711943626404,234,303,268,251,0.5052856802940369,0.47255852818489075,0.6433988213539124,0.5371252298355103,0.7881970405578613,0.5966317057609558,1.062603235244751,0.6925578117370605
7,0.21779544679730228,0.2168506832765133,0.04284603210786978,0.00825045249340209,0.0053386525420743665,0.769552931189537,265,256,263,272,0.5240594148635864,0.4810660481452942,0.6640478372573853,0.546455979347229,0.80402010679245,0.6043768525123596,1.0860843658447266,0.701224148273468
8,0.20420835600375678,0.20340203598254558,0.03692280732546792,0.006394819472916424,0.0039158406853499455,0.7619860470294952,263,268,257,268,0.5099037885665894,0.47618696093559265,0.6560428142547607,0.5437711477279663,0.7963484525680542,0.6010133624076843,1.0856491327285767,0.699362576007843
9,0.19308284035121853,0.1923810302167002,0.032402914356101646,0.0050766646024633455,0.002985100299018527,0.7730143666267395,264,273,257,262,0.5108156204223633,0.47640883922576904,0.6666946411132812,0.5469308495521545,0.8103766441345215,0.6046275496482849,1.104170560836792,0.7035239338874817
10,0.18391473211743165,0.18328932733416106,0.02906900424171578,0.004167777802429169,0.0023470278643027555,0.768867701292038,267,276,268,245,0.5066722631454468,0.47544050216674805,0.6630662679672241,0.5470143556594849,0.8049260377883911,0.6050979495048523,1.1008062362670898,0.7034387588500977
11,0.17608388566948247,0.1755170033905994,0.02649578040070606,0.0035071098719719994,0.0018955839045013295,0.7569455355405807,286,267,254,249,0.49683624505996704,0.4732086956501007,0.6453571319580078,0.5412257313728333,0.796083927154541,0.6011925935745239,1.0895048379898071,0.698558509349823
