dataset,block_size,rank,mean_energy_capture,min_energy_capture,max_energy_capture
ETTh2,90,1,0.13899842632987994,0.11337397029489804,0.18175461466340406
ETTh2,90,2,0.16688476682145958,0.14258566867556693,0.20848970545032888
ETTh2,90,4,0.21780893936832282,0.19466421099694797,0.25550576796965113
ETTh2,90,8,0.3090637188379582,0.28780158316460847,0.34166651746355065
ETTh2,90,16,0.45953124641548576,0.44334652832086197,0.4820890657160087
ETTh2,30,1,0.1604254452106613,0.13002305914937665,0.20736364780463828
ETTh2,30,2,0.2151645120149459,0.18641723336761457,0.2586605429829797
ETTh2,30,4,0.3130112364995931,0.2891256048002736,0.34903836736453697
ETTh2,30,8,0.47842814277041734,0.4604688296995422,0.5068758965529916
ETTh2,30,16,0.7312223648677084,0.7201062377533298,0.749965049158367
ETTh2,10,1,0.2313732696492733,0.18373094204044577,0.2770395123929412
ETTh2,10,2,0.3510684367312591,0.30822387243045085,0.3903679182811801
ETTh2,10,4,0.5554656246632903,0.5279783416418318,0.5807710169290617
ETTh2,10,8,0.8774582420622667,0.8643555953985268,0.8877245884854594
ETTm1,90,1,0.13549645318533624,0.08126905160332291,0.30576874784047553
ETTm1,90,2,0.19962583239348144,0.14331427762678756,0.39146274294753663
ETTm1,90,4,0.284450295747676,0.23025147356482967,0.4671779428788618
ETTm1,90,8,0.3839147678259332,0.33700615487841984,0.5437713845867173
ETTm1,90,16,0.5311665899583324,0.4929032380005247,0.6554515901240159
ETTm1,30,1,0.23032501049252763,0.16659103623256644,0.5545032145731776
ETTm1,30,2,0.3209070766399163,0.2529180191673733,0.6229210319772643
ETTm1,30,4,0.4318896995028334,0.3698378576282895,0.6915767553321245
ETTm1,30,8,0.5810578550279063,0.5352001467068185,0.7757032740907112
ETTm1,30,16,0.788037223371023,0.7641226920928312,0.8864040117159963
ETTm1,10,1,0.36455095523478986,0.2845510977777173,0.7312476954492543
ETTm1,10,2,0.4876190124373773,0.41441969461120665,0.791580963096791
ETTm1,10,4,0.6537535409048192,0.5977546018543599,0.8588719180669464
ETTm1,10,8,0.9057256314628825,0.8912301602334184,0.9630074203239071
Weather,90,1,0.49418370798430916,0.4472319473722849,0.5556426493664756
Weather,90,2,0.6109784901845399,0.5571902106290088,0.7376419430040827
Weather,90,4,0.6971246753675698,0.6504298961493612,0.8031377435632693
Weather,90,8,0.745140837950271,0.7031110332916016,0.8353075804066392
Weather,90,16,0.8024607777203802,0.7698361358397843,0.8729340166464055
Weather,30,1,0.6431954682203266,0.5818124900962096,0.7846184484397827
Weather,30,2,0.7159418498717182,0.6606993111810429,0.8563457180427867
Weather,30,4,0.7566776026082725,0.7082032248147729,0.877050137020191
Weather,30,8,0.816589944141179,0.7793034356108117,0.9079428238844509
Weather,30,16,0.9061219721276944,0.8861086837935211,0.9522940830366571
Weather,10,1,0.725983891685259,0.665002864289382,0.8862884922743863
Weather,10,2,0.7708673796737417,0.7170996152149731,0.9067905820027026
Weather,10,4,0.8442705619912307,0.8049333047022109,0.9369325289244631
Weather,10,8,0.9572147689609606,0.9447929525464317,0.9832368322613094
