dataset,block_size,boundary_count,boundary_jump_mean,all_jump_mean,boundary_to_all_jump_ratio,boundary_top10_fraction
ETTh2,90,7,0.7469720197020457,0.7472070079487616,0.9996855111846971,0.2857142857142857
ETTh2,30,23,0.7541288472440195,0.7472070079487616,1.0092636166706463,0.17391304347826086
ETTh2,10,71,0.7546063010922212,0.7472070079487616,1.0099026013738444,0.14084507042253522
ETTh2,5,143,0.7526005918351055,0.7472070079487616,1.0072183261518792,0.13286713286713286
ETTm1,90,7,0.6178830408021161,0.6247963494736349,0.9889351007294729,0.14285714285714285
ETTm1,30,23,0.6188690066104331,0.6247963494736349,0.9905131602190131,0.08695652173913043
ETTm1,10,71,0.6281445739288364,0.6247963494736349,1.0053589052785314,0.1267605633802817
ETTm1,5,143,0.6240850511536215,0.6247963494736349,0.998861551735037,0.09090909090909091
Weather,90,7,0.4680627650216394,0.46755566532873283,1.0010845760847535,0.2857142857142857
Weather,30,23,0.47004882895873007,0.46755566532873283,1.0053323354091845,0.17391304347826086
Weather,10,71,0.4735533934274843,0.46755566532873283,1.0128278375036577,0.16901408450704225
Weather,5,143,0.4716311150062379,0.46755566532873283,1.0087165015413504,0.13986013986013987
