arm,dataset,target_horizon,mse,mae,mse_vs_current_pct,mae_vs_current_pct,better_than_current_mse
align_no_recon,ETTh2,96,0.2421322763,0.3143968880,0.027972,-0.005498,0
align_no_recon,ETTh2,192,0.2829070091,0.3456513584,0.035808,-0.007759,0
align_no_recon,ETTh2,336,0.3128988445,0.3713724315,0.016004,-0.015919,0
align_no_recon,ETTh2,720,0.3939634264,0.4299709797,-0.053190,-0.013126,1
align_no_recon,ETTm1,96,0.2722000182,0.3304992616,-0.323089,-0.057543,1
align_no_recon,ETTm1,192,0.3090743124,0.3525480628,-0.091616,0.025223,1
align_no_recon,ETTm1,336,0.3467049599,0.3734204769,-0.136316,0.017330,1
align_no_recon,ETTm1,720,0.4080606103,0.4050413072,0.038284,0.061115,0
align_no_recon,Weather,96,0.1413487196,0.1812718809,-0.007115,-0.002869,1
align_no_recon,Weather,192,0.1824269444,0.2228938341,-0.005619,-0.002821,1
align_no_recon,Weather,336,0.2317559272,0.2633306682,-0.002977,-0.001573,1
align_no_recon,Weather,720,0.3033961654,0.3143891394,-0.001130,0.000114,1
current_align_recon,ETTh2,96,0.2420645654,0.3144141734,0.000000,0.000000,0
current_align_recon,ETTh2,192,0.2828057408,0.3456781805,0.000000,0.000000,0
current_align_recon,ETTh2,336,0.3128487766,0.3714315593,0.000000,0.000000,0
current_align_recon,ETTh2,720,0.3941730857,0.4300274253,0.000000,0.000000,0
current_align_recon,ETTm1,96,0.2730823159,0.3306895494,0.000000,0.000000,0
current_align_recon,ETTm1,192,0.3093577325,0.3524591625,0.000000,0.000000,0
current_align_recon,ETTm1,336,0.3471782207,0.3733557761,0.000000,0.000000,0
current_align_recon,ETTm1,720,0.4079044461,0.4047939181,0.000000,0.000000,0
current_align_recon,Weather,96,0.1413587779,0.1812770814,0.000000,0.000000,0
current_align_recon,Weather,192,0.1824371964,0.2229001224,0.000000,0.000000,0
current_align_recon,Weather,336,0.2317628264,0.2633348107,0.000000,0.000000,0
current_align_recon,Weather,720,0.3033995926,0.3143887818,0.000000,0.000000,0
no_align_no_recon,ETTh2,96,0.2427061051,0.3154756725,0.265028,0.337612,0
no_align_no_recon,ETTh2,192,0.2847109735,0.3471916914,0.673690,0.437838,0
no_align_no_recon,ETTh2,336,0.3148356378,0.3726283014,0.635087,0.322197,0
no_align_no_recon,ETTh2,720,0.3944635987,0.4296327233,0.073702,-0.091785,0
no_align_no_recon,ETTm1,96,0.2721613944,0.3304478228,-0.337232,-0.073098,1
no_align_no_recon,ETTm1,192,0.3087413907,0.3525063097,-0.199233,0.013377,1
no_align_no_recon,ETTm1,336,0.3465811014,0.3734548092,-0.171992,0.026525,1
no_align_no_recon,ETTm1,720,0.4081415236,0.4052428305,0.058121,0.110899,0
no_align_no_recon,Weather,96,0.1412543654,0.1812417209,-0.073863,-0.019506,1
no_align_no_recon,Weather,192,0.1822972447,0.2228070498,-0.076712,-0.041755,1
no_align_no_recon,Weather,336,0.2316827327,0.2632923722,-0.034558,-0.016116,1
no_align_no_recon,Weather,720,0.3033148646,0.3143812418,-0.027926,-0.002398,1
no_align_recon,ETTh2,96,0.2427061051,0.3154756725,0.265028,0.337612,0
no_align_recon,ETTh2,192,0.2847109735,0.3471916914,0.673690,0.437838,0
no_align_recon,ETTh2,336,0.3148356378,0.3726283014,0.635087,0.322197,0
no_align_recon,ETTh2,720,0.3944635987,0.4296327233,0.073702,-0.091785,0
no_align_recon,ETTm1,96,0.2721613944,0.3304478228,-0.337232,-0.073098,1
no_align_recon,ETTm1,192,0.3087413907,0.3525063097,-0.199233,0.013377,1
no_align_recon,ETTm1,336,0.3465811014,0.3734548092,-0.171992,0.026525,1
no_align_recon,ETTm1,720,0.4081415236,0.4052428305,0.058121,0.110899,0
no_align_recon,Weather,96,0.1412543654,0.1812417209,-0.073863,-0.019506,1
no_align_recon,Weather,192,0.1822972447,0.2228070498,-0.076712,-0.041755,1
no_align_recon,Weather,336,0.2316827327,0.2632923722,-0.034558,-0.016116,1
no_align_recon,Weather,720,0.3033148646,0.3143812418,-0.027926,-0.002398,1
