arm,dataset,epoch_selector,epoch,train_loss,prediction_share,weighted_recon_share,weighted_align_share,val_mean_mse
align_no_recon,ETTh2,best_val,3,0.4994852189,0.813587,0.000000,0.186413,0.4174114466
align_no_recon,ETTh2,last,10,0.4731666576,0.803748,0.000000,0.196252,0.4585581720
align_no_recon,ETTm1,best_val,9,0.4131619242,0.906407,0.000000,0.093593,0.6002130657
align_no_recon,ETTm1,last,10,0.4129268349,0.906377,0.000000,0.093623,0.6006928310
align_no_recon,Weather,best_val,5,0.3817646860,0.877811,0.000000,0.122189,0.4887879118
align_no_recon,Weather,last,10,0.3770238342,0.876443,0.000000,0.123557,0.4903351888
current_align_recon,ETTh2,best_val,3,0.5965590296,0.681347,0.164875,0.153778,0.4175242931
current_align_recon,ETTh2,last,10,0.4873364941,0.780405,0.034074,0.185522,0.4586698934
current_align_recon,ETTm1,best_val,9,0.4976344644,0.752510,0.164081,0.083410,0.6014749184
current_align_recon,ETTm1,last,10,0.4971904068,0.752730,0.163812,0.083457,0.6019416898
current_align_recon,Weather,best_val,5,0.3868812389,0.866208,0.012590,0.121202,0.4887669683
current_align_recon,Weather,last,10,0.3777995299,0.874649,0.002483,0.122868,0.4903529063
no_align_no_recon,ETTh2,best_val,3,0.4049620864,1.000000,0.000000,0.000000,0.4227890745
no_align_no_recon,ETTh2,last,10,0.3791432818,1.000000,0.000000,0.000000,0.4671764299
no_align_no_recon,ETTm1,best_val,9,0.3739729178,1.000000,0.000000,0.000000,0.6002560630
no_align_no_recon,ETTm1,last,10,0.3737326225,1.000000,0.000000,0.000000,0.6007168144
no_align_no_recon,Weather,best_val,5,0.3352138943,1.000000,0.000000,0.000000,0.4888115451
no_align_no_recon,Weather,last,10,0.3305637180,1.000000,0.000000,0.000000,0.4903300330
no_align_recon,ETTh2,best_val,3,0.5033194663,0.804583,0.195417,0.000000,0.4227890745
no_align_recon,ETTh2,last,10,0.3957486120,0.958041,0.041959,0.000000,0.4671764299
no_align_recon,ETTm1,best_val,9,0.4556252532,0.820791,0.179209,0.000000,0.6002560630
no_align_recon,ETTm1,last,10,0.4551786230,0.821068,0.178932,0.000000,0.6007168144
no_align_recon,Weather,best_val,5,0.3400846448,0.985678,0.014322,0.000000,0.4888115451
no_align_recon,Weather,last,10,0.3315018787,0.997170,0.002830,0.000000,0.4903300330
