segment_a,segment_b,cosine
0,1,0.9021626114845276
0,2,0.7903009057044983
0,3,0.7249113917350769
0,4,0.6843804717063904
0,5,0.634178638458252
0,6,0.6195425391197205
0,7,0.5959760546684265
0,8,0.6030725240707397
0,9,0.6106796860694885
0,10,0.6398565173149109
0,11,0.6760210990905762
0,12,0.6774628162384033
0,13,0.6803268790245056
0,14,0.6755681037902832
1,2,0.9710308909416199
1,3,0.9392043352127075
1,4,0.9150254130363464
1,5,0.8821151256561279
1,6,0.8687891960144043
1,7,0.8493441939353943
1,8,0.8491631746292114
1,9,0.8499497771263123
1,10,0.8641451001167297
1,11,0.8814523816108704
1,12,0.8885822892189026
1,13,0.8955119252204895
1,14,0.8977298140525818
2,3,0.9911611676216125
2,4,0.9792149662971497
2,5,0.9599865078926086
2,6,0.9480063319206238
2,7,0.933013916015625
2,8,0.9264558553695679
2,9,0.9219197034835815
2,10,0.9235097169876099
2,11,0.9282742142677307
2,12,0.9388613700866699
2,13,0.9465644359588623
2,14,0.9543664455413818
3,4,0.9955518245697021
3,5,0.9850366115570068
3,6,0.9759294390678406
3,7,0.9638550877571106
3,8,0.9558537006378174
3,9,0.9491766691207886
3,10,0.9453118443489075
3,11,0.9426945447921753
3,12,0.9521225690841675
3,13,0.9592416882514954
3,14,0.9677236080169678
4,5,0.9941980838775635
4,6,0.98805171251297
4,7,0.9784936904907227
4,8,0.9696424007415771
4,9,0.9625411033630371
4,10,0.9553052186965942
4,11,0.9497465491294861
4,12,0.9569517970085144
4,13,0.9626790881156921
4,14,0.970443069934845
5,6,0.9972528219223022
5,7,0.9924729466438293
5,8,0.9858088493347168
5,9,0.9790505766868591
5,10,0.9691855311393738
5,11,0.9594799876213074
5,12,0.9646692276000977
5,13,0.9678773283958435
5,14,0.972734272480011
6,7,0.9972418546676636
6,8,0.9930386543273926
6,9,0.9877303242683411
6,10,0.9788907170295715
6,11,0.9686383008956909
6,12,0.9712103009223938
6,13,0.971743643283844
6,14,0.9740615487098694
7,8,0.9967542886734009
7,9,0.9923698306083679
7,10,0.9829508662223816
7,11,0.9712240695953369
7,12,0.9716615676879883
7,13,0.969774603843689
7,14,0.9699757099151611
8,9,0.9975876212120056
8,10,0.9914160370826721
8,11,0.9816042184829712
8,12,0.9800602197647095
8,13,0.9761307239532471
8,14,0.9723720550537109
9,10,0.9960114359855652
9,11,0.9884538650512695
9,12,0.9861896634101868
9,13,0.9816074371337891
9,14,0.9754015207290649
10,11,0.9962577223777771
10,12,0.9934369325637817
10,13,0.9883960485458374
10,14,0.9793180227279663
11,12,0.9966225028038025
11,13,0.9916162490844727
11,14,0.9809918999671936
12,13,0.9973337054252625
12,14,0.9911824464797974
13,14,0.995796263217926
