dataset,block_index,block_range,future_region,train_windows,selected_count,selected_rate,best_baseline_mode,selected_best_baseline_mode,mean_novelty_mse,selected_mean_novelty_mse,nonselected_mean_novelty_mse,mean_best_baseline_mse,selected_mean_best_baseline_mse,nonselected_mean_best_baseline_mse,mean_best_gain_over_persistence,selected_mean_best_gain_over_persistence,nonselected_mean_best_gain_over_persistence,mean_local_variation,selected_mean_local_variation,nonselected_mean_local_variation,mean_residual_smoothness,selected_mean_residual_smoothness,nonselected_mean_residual_smoothness,mean_residual_bias_share,selected_mean_residual_bias_share,nonselected_mean_residual_bias_share
ETTh2,0,1-48,early_1_96,7585,628,0.08279499011206329,seasonal_24,seasonal_24,0.4381921512000712,1.1788811070302578,0.37133105241304265,0.29431771818244007,0.9056016015578863,0.2391378592260248,1.9124916766860636,2.360613959982474,1.8720402185992235,0.08669264042149138,0.10885721553484597,0.08469187095603406,0.7768202975269584,0.5095779878167209,0.8009439385357306,0.07357461752937526,0.1349032493529035,0.06803855589574356
ETTh2,1,49-96,early_1_96,7585,1207,0.15912986156888595,seasonal_24,seasonal_168,0.7425336157756581,1.6571598643884715,0.5694458324461401,0.4612185710211719,1.1302352000762093,0.3346110026189408,1.9993457418428293,2.337719608773074,1.9353104239712702,0.0868286791797806,0.10010616534852268,0.08431599090670569,0.6327296070497408,0.42388250659261195,0.6722527256216684,0.1075946637944611,0.16348139512803372,0.09701841971800733
ETTh2,2,97-144,middle_97_336,7585,1346,0.17745550428477258,seasonal_24,seasonal_96,0.8366044021343411,1.875175302359281,0.6125434257434501,0.5089044110973908,1.2203860315071922,0.3554095784204247,1.9911588945166045,2.2285951360843184,1.9399344705463937,0.08661858424931332,0.10410124385605278,0.08284688047776796,0.5521815423047516,0.40354522062601245,0.584248298031564,0.1257836240054816,0.16767787820126892,0.11674537009499436
ETTh2,3,145-192,middle_97_336,7585,1580,0.2083058668424522,seasonal_168,seasonal_168,0.9324509537970469,1.8358011022328315,0.694766818155325,0.6560964292132337,1.339423627027925,0.4763034279564125,1.694420599798307,1.839038543871724,1.6563695837057184,0.08670496344051137,0.09602934031998386,0.08425158867455525,0.4987921972981559,0.3436637601399619,0.539608672020878,0.14160206223008817,0.19409923631782608,0.1277893170080022
ETTh2,4,193-240,middle_97_336,7585,1617,0.21318391562294,seasonal_168,seasonal_168,0.980768827249519,1.9198842406016277,0.7263201638127962,0.5990017781355249,1.2162031959817874,0.43177411515673714,2.358273340622986,2.570687250123215,2.300720845371331,0.08686970133939337,0.10713114592831954,0.08137996342044337,0.5347466886216262,0.35901977942000957,0.5823590231020239,0.13795888136466586,0.16985726724997288,0.12931617191819447
ETTh2,5,241-288,middle_97_336,7585,1769,0.23322346736980884,seasonal_168,seasonal_168,1.0471995110898633,1.8092867092183793,0.8154023560882565,0.6761351955753893,1.238781726595701,0.5050001004283929,2.0829132553584633,2.366811983129841,1.9965623527746312,0.08665168402968224,0.10498455054230385,0.08107554220354266,0.4991018760393585,0.3265764292998631,0.5515773772914505,0.15022035413442947,0.19745746462322813,0.13585267042488944
ETTh2,6,289-336,middle_97_336,7585,1785,0.23533289386947923,seasonal_96,seasonal_96,1.1006356091373282,2.292609748545484,0.7337952920953357,0.7107015460740586,1.331671735267824,0.5195926171583911,1.9650117869774866,2.479527504137711,1.806665139541107,0.08646819364029931,0.10455857798038017,0.0809007219080503,0.4792936767861676,0.32531825307347245,0.5266809408080919,0.156825368662572,0.1983132208417441,0.14405712450053373
ETTh2,7,337-384,late_337_720,7585,1766,0.23282794990112063,seasonal_168,seasonal_168,1.1283497451262183,2.415034848362105,0.73785552063497,0.7468871641906064,1.5890432884470846,0.4913024047066847,2.15638380025012,1.994832996773296,2.205412622889761,0.0864846752628335,0.1057570785327487,0.08063572111698881,0.47533540570382976,0.2815682790364919,0.5341415142610597,0.14618124452700718,0.20992429811447472,0.12683595622395383
ETTh2,8,385-432,late_337_720,7585,1899,0.25036255767963084,persistence,seasonal_168,1.1716643213223468,2.299969059873612,0.7948351446588134,0.7760620205149358,1.4372007444700057,0.5552561047937473,2.0965901134749365,1.8930453014848552,2.164569641784674,0.08476564344327198,0.0981528841524301,0.08029459699468046,0.44973760513597727,0.26923080038326297,0.5100229414401288,0.15612642314077002,0.21649605722053542,0.13596428189605064
ETTh2,9,433-480,late_337_720,7585,2017,0.2659195781147001,seasonal_168,persistence,1.197083422068929,2.052678968859375,0.8871451645480363,0.8769100623560839,1.4714852418168818,0.661526057871093,1.7791196150126454,1.685709734885958,1.8129572098789406,0.08484805941620403,0.09743476885865063,0.08028854200503037,0.406877017605984,0.23804737515003155,0.46803531301432716,0.16628489835903823,0.22804704368289366,0.1439116499541861
