dataset,future_region,bucket,selected_units,region_bucket_share,mean_best_gain_over_persistence,mean_residual_smoothness,mean_local_variation,best_baseline_mode
ETTh2,early_1_96,ambiguous_conflict,1115,0.6076294277929155,2.2457536468754924,0.36672670707745436,0.0915213619322402,seasonal_24
ETTh2,early_1_96,learnable_conflict,111,0.060490463215258854,2.0247853013597106,0.12063757898660764,0.11435058793141954,seasonal_48
ETTh2,early_1_96,noisy_conflict,609,0.33188010899182563,2.586743267554995,0.6721676718346605,0.1222516241653773,seasonal_168
ETTh2,late_337_720,ambiguous_conflict,14040,0.6879655037240298,1.527216673632517,0.18038451926438873,0.09365353610388889,persistence
ETTh2,late_337_720,learnable_conflict,1947,0.09540376323010584,2.3163411957455367,0.10681896588176468,0.06751035762818537,seasonal_168
ETTh2,late_337_720,noisy_conflict,4421,0.21663073304586436,2.5622756467462224,0.4790435092906435,0.11226665585260556,seasonal_168
ETTh2,middle_97_336,ambiguous_conflict,4932,0.6091144868469803,1.952859108697035,0.2707729542959816,0.09041519410078312,persistence
ETTh2,middle_97_336,learnable_conflict,620,0.0765715697171792,2.2261858500366554,0.10123295453576438,0.11767582398146967,seasonal_96
ETTh2,middle_97_336,noisy_conflict,2545,0.31431394343584046,3.0111127221461915,0.5606623709522826,0.12516529600497242,seasonal_168
Weather,early_1_96,ambiguous_conflict,4083,0.3510144429160935,2.9839719397711186,0.18676868558310156,0.08195965683150859,seasonal_168
Weather,early_1_96,learnable_conflict,1956,0.16815680880330125,2.3726840475797206,0.07867410518237232,0.03845672167180245,seasonal_168
Weather,early_1_96,noisy_conflict,5593,0.48082874828060523,1.7158347710127826,0.4475283282277731,1.9312254313436832,seasonal_168
Weather,late_337_720,ambiguous_conflict,48070,0.509680429204572,1.816618168039828,0.10955891072274035,0.06832883873011043,persistence
Weather,late_337_720,learnable_conflict,15304,0.1622664715736794,2.839274030419509,0.078103838910812,0.040282956907305836,seasonal_48
Weather,late_337_720,noisy_conflict,30940,0.32805309922174863,1.7376484766691795,0.39641539554806265,1.4776230389533032,seasonal_48
Weather,middle_97_336,ambiguous_conflict,15846,0.42389385265635865,2.604755950744837,0.1558063478613427,0.07225921722421465,persistence
Weather,middle_97_336,learnable_conflict,4619,0.12356214220747953,2.9405639363877314,0.08724791608075887,0.03873511037110159,seasonal_96
Weather,middle_97_336,noisy_conflict,16917,0.4525440051361618,2.0852703006384767,0.4347493459924435,1.6518170605786842,seasonal_96
