dataset,future_region,blocks,selected_units,selected_share,mean_selected_gain_over_persistence,mean_selected_residual_smoothness,mean_selected_local_variation
ETTh2,early_1_96,2,1835,0.06048121292023731,2.345554841775528,0.45321044240118985,0.10310107516705731
ETTh2,middle_97_336,5,8097,0.2668754119973632,2.306412032725523,0.3489072960940489,0.10342502488652937
ETTh2,late_337_720,8,20408,0.6726433750823995,1.8267277067905796,0.2380648045677062,0.09519155226994541
Weather,early_1_96,2,11632,0.08115650814914044,2.271422911057935,0.2939725784689184,0.9638244896783283
Weather,middle_97_336,5,37382,0.2608143558830096,2.4111589881113566,0.27356910274308566,0.7829363395417213
Weather,late_337_720,8,94314,0.65802913596785,1.9566546744635909,0.1985589660855255,0.5261012625430055
