epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,mse,mae
1,431.8046797412937,0.8149934784840729,0.8904923473374319,8618.903040999074,0.6398227214813232,0.5616758465766907
2,430.1191401077529,0.7503222035149396,0.8243400343393875,8586.551840572034,0.6447592973709106,0.5625550746917725
3,428.6060694031796,0.7238590707213192,0.7905455625663369,8556.853408037607,0.6309433579444885,0.5550636649131775
4,429.4181831489175,0.7047421689760887,0.7451056282399064,8573.523574053232,0.6735084652900696,0.5693725347518921
5,427.5001815537275,0.6873873406547611,0.696729544865883,8535.558999271716,0.6852099299430847,0.5722024440765381
6,425.99589318744205,0.6719375424465891,0.6613749073723615,8505.817684884798,0.6707304120063782,0.565554678440094
7,426.3088032350702,0.6578390850859174,0.6334775322574681,8512.385647014036,0.70005863904953,0.5730203986167908
8,426.46130940065547,0.6463120877742767,0.6088208657200054,8515.69099245233,0.7021828293800354,0.5743201971054077
9,425.16905238264695,0.6314400757773447,0.5875454635943397,8490.164530091366,0.7182646989822388,0.5808921456336975
10,423.99519567974545,0.6168420713836864,0.5662275997258849,8467.000693111097,0.7384969592094421,0.5875368118286133
11,421.632883880098,0.6049852497496847,0.5493088132244045,8420.00860078456,0.7567510008811951,0.5921295881271362
12,422.5433401334084,0.5930566823078414,0.5317680219472465,8438.473748675848,0.7689148783683777,0.5975221991539001
13,419.0903506521451,0.5793089957560523,0.5153259261179779,8369.705305713718,0.8039444088935852,0.6063158512115479
