short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.0644292047713895e-14,5.737773989267225e-08,0.0
192,720,1.8320462910669053e-15,1.653122438938226e-08,0.0
336,720,1.5159086076796564e-15,1.4039929219222813e-08,0.0
