dataset,checkpoint_seed,structure_seed,tt_mse,tr_mse,rt_mse,rr_mse,tt_mae,tr_mae,rt_mae,rr_mae,mse_basis_true_group_log_effect,mse_basis_random_group_log_effect,mse_basis_main_log_effect,mse_group_true_basis_log_effect,mse_group_random_basis_log_effect,mse_group_main_log_effect,mse_interaction_log_effect,mse_basis_true_group_reduction,mse_basis_random_group_reduction,mse_basis_main_reduction,mse_group_main_reduction,mae_basis_true_group_log_effect,mae_basis_random_group_log_effect,mae_basis_main_log_effect,mae_group_true_basis_log_effect,mae_group_random_basis_log_effect,mae_group_main_log_effect,mae_interaction_log_effect,mae_basis_true_group_reduction,mae_basis_random_group_reduction,mae_basis_main_reduction,mae_group_main_reduction
ETTh1,2021,3101,1.6354688371930803,1.6241753472222222,1.7219504704551092,1.6964039636036707,0.9077045985630581,0.9096670241582961,0.935292464967758,0.9283295646546379,0.05152812896903528,0.043510486756618866,0.04751930786282707,-0.0069293054825754425,-0.01494694769499189,-0.010938126588783667,0.008017642212416416,0.0502230666595026,0.04257748621856161,0.046407938869830634,-0.010998166604166526,0.029940283444587563,0.020308179035000904,0.025124231239794233,0.002159631341695634,-0.00747247306789087,-0.002656420863097618,0.009632104409586659,0.029496513056641582,0.0201033568324247,0.024811244405359423,-0.0026599522752785987
ETTh1,2021,3102,1.6354688371930803,1.6094136555989584,1.7055050320095486,1.7144151960100447,0.9077045985630581,0.9046400282118056,0.9313375806051587,0.9318116687593005,0.04193175951128637,0.06320210529176648,0.05256693240152643,-0.016059590226478324,0.005210755554001803,-0.00542441733623826,-0.021270345780480107,0.04106478345241038,0.06124627258056048,0.05120918591724488,-0.005439156125687683,0.025702817868759633,0.0295936164286947,0.027648217148727165,-0.0033818879994573204,0.0005089105604778265,-0.001436488719489747,-0.003890798559935068,0.025375312383233206,0.02916001318557626,0.02726950347237811,-0.0014375209636201536
ETTh1,2021,3103,1.6354688371930803,1.6548795185391865,1.715125771174355,1.6994665236700148,0.9077045985630581,0.9144530765593998,0.934613279312376,0.9293631175207713,0.04755690006974084,0.026586184494418,0.037071542282079414,0.011798693892405634,-0.009172021682917118,0.0013133361047442584,0.02097071557532284,0.046443785826116635,0.02623588314910852,0.036392805774722814,0.0013124740563099646,0.029213845026686138,0.016173375653694505,0.022693610340190323,0.0074071623368779,-0.005633307036113786,0.0008869276503820568,0.013040469372991633,0.028791245903456053,0.01604328887200357,0.022438047232015923,0.0008865344463100389
ETTh1,2022,3101,1.601011197529142,1.5929656013609872,1.677522447374132,1.6839018322172619,0.897843521360367,0.8977870880611359,0.9198802887447297,0.9221639481801835,0.046682543144725024,0.05551618263985935,0.05109936289229219,-0.005037991001241213,0.0037956484938931525,-0.0006211712536740304,-0.008833639495134327,0.04560967274372685,0.05400328517757791,0.04981574721387283,-0.0006213642204901948,0.024247739911157286,0.02679008124141931,0.025518910576288297,-6.285624554805014e-05,0.0024794850847138926,0.0012083144195829212,-0.0025423413302620226,0.023956125219765423,0.02643441024467874,0.025196055312921906,0.00120758470165383
ETTh1,2022,3102,1.601011197529142,1.5994733537946428,1.6871162535652282,1.64608885749938,0.897843521360367,0.8989300440228175,0.9227119566902282,0.9142465500604539,0.05238528453483351,0.02872766351342819,0.040556474024130845,-0.0009610068901705795,-0.02461862791157605,-0.012789817400873316,0.02365762102140532,0.05103682443585511,0.02831894735959284,0.03974506648018117,-0.012871956925069705,0.02732131213714267,0.016895067384746804,0.022108189760944738,0.001209415383017841,-0.009216829369377986,-0.004003706993180072,0.010426244752395866,0.0269514610161381,0.01675314611427703,0.021865594801010246,-0.004011732535088575
ETTh1,2022,3103,1.601011197529142,1.5721786256820436,1.6465119861421131,1.6478898305741567,0.897843521360367,0.8879276578388516,0.9154304141090029,0.9149288601345487,0.028023674503745377,0.04703326175254006,0.037528468128142714,-0.018173110954135666,0.0008364762946592276,-0.00866831732973822,-0.01900958724879468,0.027634653738283887,0.04594433650078045,0.036833002230989065,-0.00870599598389088,0.01939855187060898,0.02995604049020569,0.024677296180407336,-0.011105527459911283,-0.0005480388403145049,-0.005826783150112894,-0.010557488619596708,0.01921161071074251,0.029511805203878083,0.024375300949013634,-0.005843791870379977
ETTh1,2023,3101,1.6062200637090773,1.5887246752542163,1.6337142702132936,1.6428399948846726,0.8970650324745784,0.8941081940181672,0.9091566782149058,0.9113399687267485,0.016972483808409634,0.03349484501319969,0.02523366441080466,-0.010952028758222158,0.005570332446567857,-0.0026908481558271503,-0.016522361204790052,0.016829262622910623,0.0329401036004453,0.024917956564186383,-0.002694471737166193,0.013389083194900848,0.01908921931972105,0.01623915125731095,-0.0033015691598782307,0.002398566964942033,-0.0004515010974680989,-0.005700136124820201,0.01329984812306384,0.018908174007397194,0.01610800709014726,-0.0004516030394303705
ETTh1,2023,3102,1.6062200637090773,1.5997464618985615,1.6361950102306548,1.6413103376116072,0.8970650324745784,0.8981404137989831,0.9100050426664806,0.9112085735987103,0.01848979837620909,0.025649753788956255,0.022069776082582673,-0.004038476732135861,0.003121478680611161,-0.00045849902576234973,-0.007159955412747165,0.01831991072833783,0.025323593448834503,0.021828020338891974,-0.0004586041525069806,0.014321781484819718,0.01444540233419395,0.014383591909506834,0.001198059481454674,0.0013216803308288216,0.0012598699061417478,-0.00012362084937423204,0.01421971262267474,0.014341568087003487,0.01428064223782366,0.0012590766032393175
ETTh1,2023,3103,1.6062200637090773,1.601442609514509,1.6450169638981895,1.6485566638764881,0.8970650324745784,0.8950670514787946,0.9127984183175223,0.9127780490451389,0.023867064456125887,0.028995301963131163,0.026431183209628527,-0.0029787781408719405,0.002149459366133279,-0.0004146593873693308,-0.005128237507005275,0.023584498543513632,0.028578971772309725,0.026084936761775035,-0.0004147453704572701,0.017386706362926097,0.019594117001881326,0.01849041168240371,-0.0022297260804044696,-2.231544144915312e-05,-0.0011260207609268113,-0.002207410638955229,0.017236429782540474,0.019403399966587465,0.018320512798633115,-0.0011266549603221598
ETTh2,2021,3101,0.7490493047805059,0.7397591242714534,0.7792450919983879,0.7738376193576388,0.6060756380595859,0.603775145515563,0.6228791736421131,0.6196673438662574,0.03952081143373432,0.04503743200049416,0.042279121717114246,-0.012480183360204978,-0.006963562793445123,-0.00972187307682505,-0.00551662056675984,0.03875005120718089,0.044038302395370654,0.04139782345837206,-0.009769284001329037,0.027347763628192544,0.025980938911140165,0.026664351269666355,-0.003802940573827737,-0.005169765290880093,-0.004486352932353915,0.0013668247170523784,0.02697719926044917,0.025646338326527074,0.02631199617518165,-0.0044964316803075555
