dataset,checkpoint_count,mean_mse_basis_main_log_effect,std_mse_basis_main_log_effect,mean_mse_basis_main_reduction,positive_checkpoints_mse_basis_main_log_effect,mean_mse_basis_true_group_log_effect,std_mse_basis_true_group_log_effect,mean_mse_basis_true_group_reduction,positive_checkpoints_mse_basis_true_group_log_effect,mean_mse_basis_random_group_log_effect,std_mse_basis_random_group_log_effect,mean_mse_basis_random_group_reduction,positive_checkpoints_mse_basis_random_group_log_effect,mean_mse_group_main_log_effect,std_mse_group_main_log_effect,mean_mse_group_main_reduction,positive_checkpoints_mse_group_main_log_effect,mean_mse_interaction_log_effect,std_mse_interaction_log_effect,mean_mse_interaction_reduction,positive_checkpoints_mse_interaction_log_effect,mean_mae_basis_main_log_effect,std_mae_basis_main_log_effect,mean_mae_basis_main_reduction,positive_checkpoints_mae_basis_main_log_effect,interaction_not_dominant
ETTh1,3,0.0377863012548905,0.011515481191622896,0.03708130657768549,3,0.03638195970823455,0.014566871019325819,0.03572808988364673,3,0.039190642801546445,0.008502973167873096,0.03843262422706495,3,-0.004521391152613563,0.0031155180308152356,-0.004531628064136539,0,-0.0028086830933118923,0.006209938781985331,-0.0028126311390757053,1,0.02187595667728595,0.004796421005487429,0.02163841325334348,3,True
ETTh2,3,0.05504631964040044,0.03205408586663634,0.05355869188288309,3,0.05211815897554064,0.03336130558525371,0.0507832982566806,3,0.05797448030526023,0.030799660083009647,0.05632597059732081,3,-0.007525215326310511,0.006624811114143463,-0.007553600917051373,0,-0.005856321329719596,0.0036515558575015666,-0.00587350310376622,0,0.033695011025592546,0.020912297260162572,0.03313365675162516,3,True
ETTm1,3,0.005851368324255354,0.0031079591630424883,0.005834282410191349,3,0.0057750033869029644,0.0032658674714163734,0.005758360108585658,3,0.0059277332616077425,0.0033106071235369226,0.0059101989142165134,3,-0.0011308654113790595,0.001213488927619232,-0.0011315050807723104,0,-0.0001527298747047781,0.0021481105879304577,-0.0001527415385058628,1,0.008769385809641234,0.001973774009036109,0.008731046897323846,3,True
ETTm2,3,0.03918801022750367,0.0119779945092415,0.03843009282641907,3,0.05071318159190189,0.011331430238121137,0.049448732961062114,3,0.027662838863105443,0.01460871080830107,0.02728372635588372,3,0.0074082248300818415,0.0013385587194112993,0.00738085156998014,3,0.02305034272879645,0.010475785201610374,0.02278671304854496,3,0.033669626204901645,0.008825053271319432,0.03310911271134798,3,True
Weather,3,0.010170687944363606,0.0013305516196037174,0.010119141400351417,3,0.013308762162256278,0.0009214870426123914,0.013220592165036904,3,0.007032613726470933,0.0017476645061119532,0.007007942766213637,3,0.0016636972595913443,0.002023428237182588,0.0016623140824745253,2,0.006276148435785344,0.0008517445283251532,0.006256494554578884,3,0.018834664495658144,0.003332057386909123,0.01865840056107304,3,True
