dataset,checkpoint_seed,structure_seed_count,mse_basis_true_group_log_effect,mse_basis_true_group_reduction,mse_basis_random_group_log_effect,mse_basis_random_group_reduction,mse_basis_main_log_effect,mse_basis_main_reduction,mse_group_true_basis_log_effect,mse_group_true_basis_reduction,mse_group_random_basis_log_effect,mse_group_random_basis_reduction,mse_group_main_log_effect,mse_group_main_reduction,mse_interaction_log_effect,mse_interaction_reduction,mae_basis_true_group_log_effect,mae_basis_true_group_reduction,mae_basis_random_group_log_effect,mae_basis_random_group_reduction,mae_basis_main_log_effect,mae_basis_main_reduction,mae_group_true_basis_log_effect,mae_group_true_basis_reduction,mae_group_random_basis_log_effect,mae_group_random_basis_reduction,mae_group_main_log_effect,mae_group_main_reduction,mae_interaction_log_effect,mae_interaction_reduction
ETTh1,2021,3,0.04700559618335417,0.04591794164270202,0.04443292551426778,0.04346024264575399,0.04571926084881097,0.044689882500384304,-0.0037300672722160436,-0.0037370326308698854,-0.0063027379413024024,-0.006322641988773414,-0.005016402606759223,-0.005029005819766619,0.0025726706690863826,0.0025693641880040197,0.02828564878001111,0.027889355082079903,0.022025057039130037,0.02178427644554415,0.025155352909570574,0.024841593435521947,0.0020616352263720713,0.002059511516158019,-0.0041989565145089435,-0.004207784484176358,-0.001068660644068436,-0.001069231865316933,0.006260591740881075,0.0062410350698026695
ETTh1,2022,3,0.0423638340611013,0.04147902545624371,0.043759035968609195,0.04281542325914689,0.043061435014855244,0.0421474574257813,-0.008057369615182485,-0.008089917575996308,-0.006662167707674558,-0.006684409311955797,-0.007359768661428521,-0.00738691832300975,-0.0013952019075078963,-0.0013961756544944581,0.023655867972969646,0.023378261245977416,0.0245470630387906,0.02424823400543341,0.02410146550588012,0.02381334454013262,-0.0033196561074804974,-0.0033251722680462947,-0.002428461041659533,-0.002431412141568501,-0.002874058574570015,-0.002878192640482169,-0.0008911950658209549,-0.0008915922981387325
ETTh1,2023,3,0.019776448880248203,0.019582177687657576,0.029379966921762368,0.02895257154196973,0.02457820790100529,0.02427862318650509,-0.005989761210409987,-0.00600773569980162,0.0036137568311040993,0.0036072350702713862,-0.0011880021896529434,-0.0011887081437849112,-0.009603518041514164,-0.009649779794167035,0.015032523680882223,0.014920099342279225,0.01770957955193211,0.017553686570883853,0.016371051616407162,0.016237774238968994,-0.001444411919609342,-0.0014454555849399142,0.001232643951440567,0.001231884557937657,-0.00010588398408438745,-0.0001058895899912482,-0.0026770558710498874,-0.0026806423848366734
ETTh2,2021,3,0.037873238228269664,0.037165016175719545,0.047547011115887994,0.04643435610609359,0.04271012467207883,0.04181089480521705,-0.011245810877948246,-0.011309282716720492,-0.0015720379903299015,-0.0015732742898031393,-0.006408924434139075,-0.006429505534420343,-0.009673772887618321,-0.009720715075810071,0.026312434338740216,0.025969278580671107,0.029650891186936118,0.02921561621877178,0.027981662762838172,0.02759380211917184,-0.004664760630701127,-0.004675657563844915,-0.0013263037825051924,-0.0013271837123420838,-0.00299553220660316,-0.003000023296485299,-0.003338456848195899,-0.0033440357017859856
ETTh2,2022,3,0.028244032681759717,0.027848898788159104,0.033742162941195454,0.03317924527703975,0.030993097811477587,0.030517735397707746,-0.004278530626698101,-0.004287696606506186,0.0012195996327376297,0.0012188562233568234,-0.001529465496980236,-0.0015306357258657588,-0.005498130259435744,-0.0055132727166247175,0.015618575416472205,0.015497237994681501,0.016847747001796285,0.016706617395746526,0.016233161209134244,0.016102113512057592,-0.0002223958182430021,-0.00022242055002630323,0.001006775767081035,0.0010062691383931899,0.00039218997441901643,0.0003921130779840354,-0.0012291715853240803,-0.0012299273263305377
ETTh2,2023,3,0.09023720601659253,0.0862855789947593,0.09263426685869725,0.08847318509427726,0.0914357364376449,0.08738003752255474,-0.015835786468864552,-0.015961837026331915,-0.013438725626759893,-0.013529431166839245,-0.014637256047812222,-0.014744905268568198,-0.002397060842104721,-0.0023999360893669497,0.057378304159350836,0.05576320691500358,0.0563621140502596,0.054803195130602944,0.05687020910480522,0.05528332296711058,-0.007085972257765125,-0.007111137163342995,-0.008102162366856383,-0.008135073708665619,-0.007594067312310754,-0.007622975371733398,0.0010161901090912407,0.0010156739627713574
ETTm1,2021,3,0.002495261219528642,0.0024921506430233276,0.004477002038136766,0.004466995203621371,0.0034861316288327046,0.003480062127041772,-0.003464420432526786,-0.0034704284731161827,-0.0014826796139187374,-0.0014837793267776789,-0.0024735500232227615,-0.002476611772023851,-0.0019817408186081236,-0.0019837057647345002,0.011033401567839808,0.010972756836906794,0.004349808047357737,0.004340361334426168,0.007691604807598773,0.00766210010996049,0.006721109664015051,0.0066985735240125965,3.751614353295144e-05,3.7515439811230955e-05,0.0033793129037740007,0.0033736094523143523,0.006683593520482071,0.006661307986100207
ETTm1,2022,3,0.005802931907247479,0.0057861274187009926,0.0035901503405813408,0.0035837134562788364,0.00469654112391441,0.0046855296200550844,0.0009939323725555252,0.0009934385853854755,-0.0012188491941106697,-0.0012195922926674374,-0.00011245841077757214,-0.00011246473446169247,0.0022127815666661394,0.002210335170314881,0.011452409516992957,0.011387080305245934,0.003685882089126964,0.0036790975639524603,0.007569145803059961,0.007540571957617481,0.007958947189620846,0.007927358628885828,0.0001924197617548949,0.0001924012502598771,0.00407568347568787,0.004067389149965739,0.007766527427865992,0.007736445880486054
ETTm1,2023,3,0.009026817033932773,0.008986197634230808,0.009716047406105122,0.00966899911527408,0.009371432220018948,0.00932765720069173,-0.0011512029862230406,-0.0011518658747293742,-0.00046197261405064903,-0.0004620793398328882,-0.0008065878001368449,-0.0008069131795529483,-0.0006892303721723501,-0.0006894679460032194,0.015958550144126418,0.015831887163715752,0.006136263492403512,0.006117475077444423,0.011047406818264965,0.010986608314127677,0.009005645703357152,0.00896521633131564,-0.0008166409483657809,-0.0008169744903736564,0.004094502377495685,0.004086131331622389,0.009822286651722903,0.009774205545095227
ETTm2,2021,3,0.05960771080771791,0.05786594989362137,0.04452428847578191,0.04354763095870351,0.052065999641749905,0.05073378645465454,0.01622886495258596,0.016097886425239682,0.0011454426206498325,0.001144786851657087,0.008687153786617897,0.008649529494325403,0.015083422331935997,0.014970237304414713,0.051641992476091574,0.05033120543540692,0.03587992927331137,0.03524387450196742,0.043760960874701466,0.04281726574779676,0.015732586765767023,0.01560947608463259,-2.9476437013204626e-05,-2.9476871447720043e-05,0.00785155516437691,0.007820812217724904,0.015762063202780206,0.015638491982262415
ETTm2,2022,3,0.03795527177660159,0.037243997706288945,0.018804248189991112,0.01862855132107122,0.028379759983296348,0.027980837279782178,0.015592610659866368,0.015471675288225017,-0.0035584129267440326,-0.0035647515943248997,0.006017098866561168,0.0059990323812811885,0.01915102358661047,0.01896880779472121,0.03440354835388141,0.03381847500898394,0.020390565255228223,0.020184083487641002,0.027397056804554818,0.027025161462856162,0.011512848291603135,0.01144682905308736,-0.002500134807049995,-0.0025032627502934446,0.0045063567422765705,0.004496218351518033,0.014012983098653195,0.013915258255728591
ETTm2,2023,3,0.05457656219138619,0.05311398958540969,0.019659979923543312,0.01946798279680717,0.037118271057464756,0.0364378329068219,0.024978712970987874,0.024669326300297834,-0.00993786929685495,-0.009987413906545006,0.0075204218370664615,0.007492214220114812,0.034916582267842874,0.03431403176876591,0.04319024837403635,0.042270833682964803,0.016511473496860954,0.016375906282022235,0.029850860935448652,0.02940972431933553,0.022137455430936367,0.021894220140848297,-0.00454131944623902,-0.004551646864846326,0.008798067992348673,0.008759478246810337,0.0266787748771754,0.026326040167502396
Weather,2021,3,0.013921722923249677,0.013825263882845551,0.008447979952146424,0.008412396044061632,0.011184851437698052,0.011122533542052504,0.005784832541607884,0.005768132615450394,0.0003110895705047134,0.00031104118716163143,0.003047961056056299,0.0030433207384563676,0.005473742971103254,0.005458789336604597,0.02671025860370611,0.026356694569623862,0.012785928179512874,0.012704535462914501,0.019748093391609493,0.019554377067087625,0.01165395087097775,0.011586306614803643,-0.0022703795532153796,-0.0022729588164727144,0.0046917856588811835,0.004680796425639899,0.013924330424193235,0.013827835331048033
Weather,2022,3,0.013755506647795164,0.01366133196756214,0.007570677402244892,0.007542092006504464,0.010663092025020027,0.010606442790047188,0.0024339118452590676,0.0024309522834149444,-0.003750917400291181,-0.0037579608947315712,-0.0006585027775160568,-0.0006587196380685167,0.00618482924555027,0.00616574255872393,0.027664482708060253,0.027285325349308387,0.015565007478957532,0.015444498799691009,0.021614745093508896,0.021382820493321186,0.006921378907636157,0.006897481331157862,-0.005178096321466495,-0.005191525831984345,0.000871641293084831,0.0008712615241617261,0.012099475229102721,0.012026570909594914
