model,strategy,dataset,horizon,mse,mae
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,96,0.30893898010253906,0.364199161529541
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,192,0.36851921677589417,0.403163880109787
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,336,0.383066326379776,0.4179953932762146
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,720,0.4101856052875519,0.44332125782966614
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,96,0.1509237140417099,0.1995583176612854
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,192,0.1951702982187271,0.2407691329717636
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,336,0.24785242974758148,0.280915766954422
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,720,0.3234710395336151,0.3341345191001892
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,96,0.30031517148017883,0.35893383622169495
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,192,0.3604849576950073,0.3980604410171509
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,336,0.3780958354473114,0.41389650106430054
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,720,0.4029088020324707,0.43718889355659485
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,96,0.14891685545444489,0.19556677341461182
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,192,0.1931014060974121,0.23863273859024048
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,336,0.2458879053592682,0.2796083986759186
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,720,0.3233675956726074,0.33409297466278076
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,ETTh2,96,0.32232803106307983,0.3740232586860657
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,ETTh2,192,0.36917319893836975,0.40350258350372314
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,ETTh2,336,0.38372471928596497,0.41696587204933167
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,ETTh2,720,0.40575093030929565,0.44078773260116577
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,Weather,96,0.162042036652565,0.21602913737297058
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,Weather,192,0.20275060832500458,0.25190311670303345
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,Weather,336,0.25203120708465576,0.2882923483848572
PatchEncoderDynamicResidualStabilityRouting,dynamic_residual_stability_routing,Weather,720,0.3245224058628082,0.3383672833442688
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,ETTh2,96,0.3128853738307953,0.3684113323688507
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,ETTh2,192,0.3698497712612152,0.4055882692337036
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,ETTh2,336,0.38494953513145447,0.4207557439804077
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,ETTh2,720,0.41092371940612793,0.44510725140571594
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,Weather,96,0.1516415923833847,0.20121590793132782
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,Weather,192,0.19708290696144104,0.24384449422359467
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,Weather,336,0.2511489689350128,0.28441959619522095
PatchEncoderSCCConditionDeltaDetached,scc_condition_delta_detached,Weather,720,0.3292681872844696,0.3383145332336426
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,ETTh2,96,0.311850368976593,0.3674696683883667
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,ETTh2,192,0.37128910422325134,0.4065646827220917
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,ETTh2,336,0.3866555392742157,0.4216865599155426
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,ETTh2,720,0.4118462800979614,0.44558823108673096
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,Weather,96,0.15174628794193268,0.20360201597213745
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,Weather,192,0.19518491625785828,0.24406445026397705
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,Weather,336,0.24684594571590424,0.28340527415275574
PatchEncoderSCCConditionDeltaStateOpen,scc_condition_delta_state_open,Weather,720,0.3212929964065552,0.33502429723739624
