strategy,dataset,epochs_ran,best_epoch,best_val_mean_mse,last_val_mean_mse,post_best_val_drift_pct,last_condition_delta_grad_norm
single_720_prefix_risk,ETTh2,14,4,0.36506346613168716,0.3994816280901432,9.427994075430313,0.0
single_720_prefix_risk,Weather,14,4,0.5247254446148872,0.5667786672711372,8.014328843365725,0.0
r3_prefix_risk,ETTh2,11,1,0.36564091593027115,0.43578990548849106,19.185213279467206,0.0
r3_prefix_risk,Weather,13,3,0.5188502818346024,0.5883053094148636,13.386333208623347,0.0
dynamic_residual_stability_routing,ETTh2,13,3,0.3822137303650379,0.4316985420882702,12.9468953603449,0.0
dynamic_residual_stability_routing,Weather,12,2,0.5414100512862206,0.5732660368084908,5.883892522237133,0.0
scc_condition_delta_detached,ETTh2,14,4,0.3612278737127781,0.39490655064582825,9.323388194519278,0.06244451193151811
scc_condition_delta_detached,Weather,17,7,0.532699927687645,0.5804135799407959,8.956947386921454,0.060230959422317765
scc_condition_delta_state_open,ETTh2,14,4,0.36085719987750053,0.38781949505209923,7.471735407732338,0.05756786113117777
scc_condition_delta_state_open,Weather,12,2,0.5327802374958992,0.5602937936782837,5.164147287388121,0.05485954741339309
