strategy,dataset,selector,horizons,best_epoch,best_selector_mse,official_best_epoch,official_gap_to_selector_best_pct
single_720_prefix_risk,ETTh2,val_mean,all,4,0.36506346613168716,4,0.0
single_720_prefix_risk,ETTh2,short_mean,"96,192",4,0.2441490739583969,4,0.0
single_720_prefix_risk,ETTh2,long_mean,"336,720",4,0.4859778583049774,4,0.0
single_720_prefix_risk,ETTh2,h720,720,4,0.609728991985321,4,0.0
single_720_prefix_risk,Weather,val_mean,all,4,0.5247254446148872,4,0.0
single_720_prefix_risk,Weather,short_mean,"96,192",5,0.4432738125324249,4,0.018330889326811928
single_720_prefix_risk,Weather,long_mean,"336,720",4,0.6060958206653595,4,0.0
single_720_prefix_risk,Weather,h720,720,4,0.6595245599746704,4,0.0
r3_prefix_risk,ETTh2,val_mean,all,1,0.36564091593027115,1,0.0
r3_prefix_risk,ETTh2,short_mean,"96,192",1,0.24421754479408264,1,0.0
r3_prefix_risk,ETTh2,long_mean,"336,720",3,0.48606522381305695,1,0.2055409859535562
r3_prefix_risk,ETTh2,h720,720,3,0.608985960483551,1,0.4921362630784465
r3_prefix_risk,Weather,val_mean,all,3,0.5188502818346024,3,0.0
r3_prefix_risk,Weather,short_mean,"96,192",3,0.43651020526885986,3,0.0
r3_prefix_risk,Weather,long_mean,"336,720",3,0.6011903584003448,3,0.0
r3_prefix_risk,Weather,h720,720,3,0.6562829613685608,3,0.0
dynamic_residual_stability_routing,ETTh2,val_mean,all,3,0.3822137303650379,3,0.0
dynamic_residual_stability_routing,ETTh2,short_mean,"96,192",10,0.2623731419444084,3,2.285409903533786
dynamic_residual_stability_routing,ETTh2,long_mean,"336,720",3,0.49605801701545715,3,0.0
dynamic_residual_stability_routing,ETTh2,h720,720,3,0.6193642616271973,3,0.0
dynamic_residual_stability_routing,Weather,val_mean,all,2,0.5414100512862206,2,0.0
dynamic_residual_stability_routing,Weather,short_mean,"96,192",5,0.46075311303138733,2,0.8509629400033303
dynamic_residual_stability_routing,Weather,long_mean,"336,720",2,0.618146151304245,2,0.0
dynamic_residual_stability_routing,Weather,h720,720,2,0.6717212200164795,2,0.0
scc_condition_delta_detached,ETTh2,val_mean,all,4,0.3612278737127781,4,0.0
scc_condition_delta_detached,ETTh2,short_mean,"96,192",4,0.24380528181791306,4,0.0
scc_condition_delta_detached,ETTh2,long_mean,"336,720",3,0.4764542877674103,4,0.460941982603158
scc_condition_delta_detached,ETTh2,h720,720,3,0.5975216031074524,4,0.2247836828632721
scc_condition_delta_detached,Weather,val_mean,all,7,0.532699927687645,7,0.0
scc_condition_delta_detached,Weather,short_mean,"96,192",4,0.4485425651073456,7,0.2648932523646508
scc_condition_delta_detached,Weather,long_mean,"336,720",7,0.6156691312789917,7,0.0
scc_condition_delta_detached,Weather,h720,720,7,0.6692709922790527,7,0.0
scc_condition_delta_state_open,ETTh2,val_mean,all,4,0.36085719987750053,4,0.0
scc_condition_delta_state_open,ETTh2,short_mean,"96,192",4,0.24202468246221542,4,0.0
scc_condition_delta_state_open,ETTh2,long_mean,"336,720",3,0.47728724777698517,4,0.503359251056934
scc_condition_delta_state_open,ETTh2,h720,720,3,0.5978322625160217,4,0.5153360018050002
scc_condition_delta_state_open,Weather,val_mean,all,2,0.5327802374958992,2,0.0
scc_condition_delta_state_open,Weather,short_mean,"96,192",4,0.44861072301864624,2,0.027094486516143768
scc_condition_delta_state_open,Weather,long_mean,"336,720",7,0.6164257824420929,2,0.0652829214259576
scc_condition_delta_state_open,Weather,h720,720,7,0.6694514155387878,2,0.5929467674531619
