reference,dataset,pcc_gain_fraction,pcc_gain_percent,dataset_wins
a6,ETTh1,-0.006412518776516274,-0.6412518776516274,
a6,ETTh2,0.01544019111391759,1.544019111391759,
a6,ETTm1,0.030282070314758935,3.0282070314758935,
a6,ETTm2,-0.003027183822163604,-0.3027183822163604,
a6,Weather,0.011854844982380652,1.1854844982380652,
a6,macro,0.00962748076247546,0.962748076247546,3
pcsd_direct,ETTh1,0.0013776659351121268,0.13776659351121268,
pcsd_direct,ETTh2,0.04115363110828074,4.115363110828074,
pcsd_direct,ETTm1,0.05246186322944235,5.246186322944235,
pcsd_direct,ETTm2,0.015716486416041064,1.5716486416041064,
pcsd_direct,Weather,0.013923882807156174,1.3923882807156174,
pcsd_direct,macro,0.02492670589920649,2.492670589920649,5
dense_matched,ETTh1,0.03154565189070102,3.154565189070102,
dense_matched,ETTh2,0.09667963562183957,9.667963562183957,
dense_matched,ETTm1,0.05289780726723725,5.289780726723725,
dense_matched,ETTm2,0.02766760500368992,2.766760500368992,
dense_matched,Weather,0.03043178143225589,3.043178143225589,
dense_matched,macro,0.04784449624314473,4.7844496243144725,5
measure_only,ETTh1,-0.0001443377611451968,-0.01443377611451968,
measure_only,ETTh2,0.023633992364842538,2.3633992364842538,
measure_only,ETTm1,0.001021097297586926,0.10210972975869259,
measure_only,ETTm2,0.005684231898806957,0.5684231898806957,
measure_only,Weather,0.0033475242238479863,0.33475242238479863,
measure_only,macro,0.006708501604787842,0.6708501604787842,4
equal_skill,ETTh1,-0.001430112860499655,-0.1430112860499655,
equal_skill,ETTh2,0.0052949773618455875,0.5294977361845588,
equal_skill,ETTm1,0.0007977038461904895,0.07977038461904895,
equal_skill,ETTm2,-0.0018402944048321324,-0.18402944048321324,
equal_skill,Weather,0.002633948202478531,0.2633948202478531,
equal_skill,macro,0.0010912444290365642,0.10912444290365642,3
pointwise_route_only,ETTh1,0.009507900682505732,0.9507900682505732,
pointwise_route_only,ETTh2,0.022368101220751502,2.23681012207515,
pointwise_route_only,ETTm1,0.0069949082231730575,0.6994908223173057,
pointwise_route_only,ETTm2,0.01055856325018023,1.055856325018023,
pointwise_route_only,Weather,0.005189880371421651,0.5189880371421651,
pointwise_route_only,macro,0.010923870749606435,1.0923870749606435,5
pointwise_capability_skill_only,ETTh1,-0.0006693696969430896,-0.06693696969430896,
pointwise_capability_skill_only,ETTh2,0.013986500454442274,1.3986500454442274,
pointwise_capability_skill_only,ETTm1,0.003964052593074863,0.39640525930748627,
pointwise_capability_skill_only,ETTm2,1.591775552700625e-06,0.0001591775552700625,
pointwise_capability_skill_only,Weather,0.006223496562800412,0.6223496562800412,
pointwise_capability_skill_only,macro,0.004701254337785432,0.47012543377854316,4
pointwise_prior_composed,ETTh1,0.002384165739421684,0.23841657394216842,
pointwise_prior_composed,ETTh2,0.0026213080767013563,0.26213080767013563,
pointwise_prior_composed,ETTm1,-0.0003836990652361649,-0.03836990652361649,
pointwise_prior_composed,ETTm2,-7.338533095491151e-05,-0.007338533095491151,
pointwise_prior_composed,Weather,0.0006996463082452609,0.06996463082452609,
pointwise_prior_composed,macro,0.001049607145635445,0.1049607145635445,3
pointwise_pcc_v0,ETTh1,0.005195669520091539,0.5195669520091539,
pointwise_pcc_v0,ETTh2,0.01161948302934368,1.161948302934368,
pointwise_pcc_v0,ETTm1,0.007159473158940943,0.7159473158940943,
pointwise_pcc_v0,ETTm2,0.003334891657290062,0.3334891657290062,
pointwise_pcc_v0,Weather,-0.001415795742311321,-0.1415795742311321,
pointwise_pcc_v0,macro,0.005178744324670981,0.5178744324670981,4
transport_skill_only,ETTh1,-0.0011005502477761109,-0.11005502477761109,
transport_skill_only,ETTh2,0.0093087794247656,0.9308779424765601,
transport_skill_only,ETTm1,0.0009813924681060238,0.09813924681060238,
transport_skill_only,ETTm2,-0.0017697649477521615,-0.17697649477521615,
transport_skill_only,Weather,0.004120173302843311,0.4120173302843311,
transport_skill_only,macro,0.0023080060000373326,0.23080060000373326,3
transport_route_only,ETTh1,0.0019360230137951406,0.19360230137951406,
transport_route_only,ETTh2,0.021843427043951036,2.1843427043951036,
transport_route_only,ETTm1,0.0003422852835354151,0.03422852835354151,
transport_route_only,ETTm2,0.006992762514422823,0.6992762514422823,
transport_route_only,Weather,0.004917373616609044,0.4917373616609044,
transport_route_only,macro,0.007206374294462692,0.7206374294462692,5
