dataset,reference,horizon_bin,start_horizon,end_horizon,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,h1_48,1,48,4.938419653938897,2.361164504025537
ETTh1,a6,h49_96,49,96,-0.3359322594572278,-1.5493359006899965
ETTh1,a6,h97_144,97,144,-1.3215115455061488,-1.8957714791181468
ETTh1,a6,h145_192,145,192,-1.4117911805026973,-1.844203292711688
ETTh1,a6,h193_288,193,288,-1.35686070090546,-1.7052495353996333
ETTh1,a6,h289_336,289,336,-1.093450474405433,-1.43164836727816
ETTh1,a6,h337_512,337,512,-0.7416565145008436,-1.205829854598317
ETTh1,a6,h513_720,513,720,-0.5258777966466122,-1.0903518363504228
ETTh1,pcsd_direct,h1_48,1,48,1.4880355417162372,0.7505266671264832
ETTh1,pcsd_direct,h49_96,49,96,-1.477335392800394,-1.792177015305807
ETTh1,pcsd_direct,h97_144,97,144,-0.9898580118321787,-1.418058237463482
ETTh1,pcsd_direct,h145_192,145,192,-0.4344260037645986,-0.9304649453460101
ETTh1,pcsd_direct,h193_288,193,288,0.2203489756321675,-0.22377964417132912
ETTh1,pcsd_direct,h289_336,289,336,0.5628983785924246,0.21265814622253298
ETTh1,pcsd_direct,h337_512,337,512,0.48882490870899575,0.23763299153930495
ETTh1,pcsd_direct,h513_720,513,720,0.07239897970507947,-0.096367738793246
ETTh1,equal_skill,h1_48,1,48,0.5056608311049038,0.44427556436653637
ETTh1,equal_skill,h49_96,49,96,-0.19417251592195317,-0.15251844247772262
ETTh1,equal_skill,h97_144,97,144,-0.19583736276111985,-0.12949705430436165
ETTh1,equal_skill,h145_192,145,192,-0.22376550271494544,-0.12626525151020473
ETTh1,equal_skill,h193_288,193,288,-0.22586415707215313,-0.1248053065862953
ETTh1,equal_skill,h289_336,289,336,-0.20430664399666565,-0.1176723626190812
ETTh1,equal_skill,h337_512,337,512,-0.18980145613531896,-0.1078905207313019
ETTh1,equal_skill,h513_720,513,720,-0.09073748715362484,-0.05423252290781555
ETTh1,pointwise_prior_composed,h1_48,1,48,0.1651664479525694,0.23768406976001355
ETTh1,pointwise_prior_composed,h49_96,49,96,0.30138568301180113,0.10235564124114749
ETTh1,pointwise_prior_composed,h97_144,97,144,0.41565999200611214,0.2004117556112628
ETTh1,pointwise_prior_composed,h145_192,145,192,0.3815171230131531,0.20896676031043615
ETTh1,pointwise_prior_composed,h193_288,193,288,0.2932851075125309,0.17089770213869482
ETTh1,pointwise_prior_composed,h289_336,289,336,0.24565925541107925,0.14536716572105535
ETTh1,pointwise_prior_composed,h337_512,337,512,0.18961808464603713,0.10167144270415429
ETTh1,pointwise_prior_composed,h513_720,513,720,0.2031868367133649,0.08867385424059515
ETTh1,pointwise_pcc_v0,h1_48,1,48,1.1567310778691775,0.5461974152564109
ETTh1,pointwise_pcc_v0,h49_96,49,96,0.8464284920403964,0.36473821855327326
ETTh1,pointwise_pcc_v0,h97_144,97,144,0.6962143495723883,0.32643254953304
ETTh1,pointwise_pcc_v0,h145_192,145,192,0.5511376836611181,0.2801047948625124
ETTh1,pointwise_pcc_v0,h193_288,193,288,0.564330021044146,0.34203673832642334
ETTh1,pointwise_pcc_v0,h289_336,289,336,0.5743078446190819,0.3797920819085365
ETTh1,pointwise_pcc_v0,h337_512,337,512,0.5088278651648404,0.3583635289046927
ETTh1,pointwise_pcc_v0,h513_720,513,720,0.3700402623285415,0.281478069726826
ETTh2,a6,h1_48,1,48,19.60534703431288,9.232630521520102
ETTh2,a6,h49_96,49,96,10.90268620070881,4.84519529707772
ETTh2,a6,h97_144,97,144,6.9884737934061025,2.8236168314235366
ETTh2,a6,h145_192,145,192,4.4206494792007,1.4208176251903293
ETTh2,a6,h193_288,193,288,1.8292479423685504,0.18112044962237395
ETTh2,a6,h289_336,289,336,0.5802728356589459,-0.3634944035989296
ETTh2,a6,h337_512,337,512,-0.20631793021499423,-0.536341144938568
ETTh2,a6,h513_720,513,720,-0.1180682439582803,-0.34698078149439926
ETTh2,pcsd_direct,h1_48,1,48,27.862797588558397,14.445101191827547
ETTh2,pcsd_direct,h49_96,49,96,17.15629628871349,8.69451520942911
ETTh2,pcsd_direct,h97_144,97,144,11.567430575879134,5.849435776982981
ETTh2,pcsd_direct,h145_192,145,192,8.280443247848945,4.134854709002589
ETTh2,pcsd_direct,h193_288,193,288,5.495478478460248,2.830348848189246
ETTh2,pcsd_direct,h289_336,289,336,3.7160856129224706,2.056574553769208
ETTh2,pcsd_direct,h337_512,337,512,1.9499612898206342,1.2208199402157671
ETTh2,pcsd_direct,h513_720,513,720,0.9924863865717004,0.6735737160694422
ETTh2,equal_skill,h1_48,1,48,1.1354165146462036,0.8229234658270301
ETTh2,equal_skill,h49_96,49,96,0.8544469873877358,0.6499723873175767
ETTh2,equal_skill,h97_144,97,144,0.75706716364774,0.5726117607986358
ETTh2,equal_skill,h145_192,145,192,0.699720241388857,0.49819047904807734
