dataset,epochs_ran,best_epoch,stop_triggered,last_credit_argmax_accuracy,last_credit_normalized_entropy,last_credit_policy_kl,last_policy_normalized_entropy,last_policy_usage_max
ETTh1,8,3,1,0.35927286836425815,0.8406287489739139,0.1421541697222047,0.9801253866305394,0.24398294664853443
ETTh2,9,4,1,0.40669720178156826,0.8301470282330977,0.1445743476526927,0.967653361041989,0.2491754446409445
ETTm1,9,4,1,0.30832320559611653,0.8368111057746365,0.15648607309893292,0.9864113350402435,0.21820028152129825
ETTm2,6,1,1,0.41413901708876305,0.8357715495649912,0.14651297029956428,0.9702440066457255,0.2639556276291954
Weather,14,9,1,0.34713983837017515,0.8293130782429492,0.1463569354010403,0.9643244106954616,0.23403404361235536
