dataset,scope,fixed_scope_mse,plain_arm_mse,pcc_arm_mse,plain_degradation_fraction,pcc_degradation_fraction,relative_degradation_reduction,arm_pair_improved
ETTh1,1,1.3322757682786166,3.9610464463179187,1.4030559856073332,1.9731430538857864,0.05312730218021544,0.9730747843773467,True
ETTh1,48,1.3323664941526974,3.8880465996179767,1.4002377351483357,1.9181509867452302,0.05094036910527411,0.9734429826133181,True
ETTh1,144,1.3242193623313174,3.5416718752159064,1.3779348455802796,1.6745356365887258,0.04056388599725258,0.9757760389740722,True
ETTh1,360,1.3261242324085636,1.8883536361514244,1.3074020185304578,0.4239643541704352,-0.014117993940961138,1.0332999550601032,True
ETTh1,720,1.3013458870992618,1.5328853824156732,1.3025543595525724,0.17792310070039852,0.000928632783405714,0.9947807070596785,True
ETTh2,1,0.5239320250028998,0.6774487843305468,0.5283272126805011,0.2930089248253098,0.00838885097275166,0.9713699813828093,True
ETTh2,48,0.5234418136815644,0.6702302098278983,0.527566556825294,0.28042925175181455,0.00788004136451903,0.9719000734934278,True
ETTh2,144,0.5213461734678342,0.6489021821392764,0.5244812365751477,0.24466662490870306,0.006013400053288986,0.9754220664320976,True
ETTh2,360,0.5127605293885563,0.5623214967404754,0.5039153945747215,0.0966551918709857,-0.0172500305832477,1.178469777456682,True
ETTh2,720,0.5157512067781154,0.5970176474033275,0.547847656753368,0.15756907508347195,0.06223242825888531,0.6050466868202546,True
ETTm1,1,0.7971444304842771,2.122638543658081,0.7857270256977411,1.6628029532471884,-0.014322880960981887,1.0086136970908137,True
ETTm1,48,0.7972114542931541,2.0857476491998024,0.7846021671890682,1.6163041661877853,-0.01581674101166286,1.0097857453705439,True
ETTm1,144,0.7966161680990712,1.8489127198657056,0.7853570881396796,1.3209580647574373,-0.014133632243817695,1.0106995313635585,True
ETTm1,360,0.777916052312798,1.1148436102918593,0.7885483563019345,0.43311557458848227,0.013667675268463686,0.9684433530670196,True
ETTm1,720,0.7806207035981838,1.0125896092210125,0.834273738000861,0.29715956104365926,0.06873124701326727,0.7687059209137507,True
ETTm2,1,0.23972923205832247,1.1807630520254275,0.2403756309919671,3.9254028884477714,0.002696370935219905,0.99931309702167,True
ETTm2,48,0.24013099382268469,1.1546224148648143,0.2400006279847981,3.8083023206800197,-0.0005428946751573349,1.000142555561361,True
ETTm2,144,0.2402290523399983,1.0235034121428657,0.23801811357150798,3.2605313644341907,-0.00920346122566873,1.002822687530646,True
ETTm2,360,0.238565081665149,0.45315329502479523,0.23005742479910576,0.8994954830013353,-0.03566178590203162,1.0396464313339733,True
ETTm2,720,0.23373299661867716,0.2851360001291551,0.22770274726133835,0.21992189487194724,-0.025799734930780138,1.117313171322948,True
Weather,1,0.5432811412824069,2.6179028698141744,0.5852957482504455,3.8186890191598666,0.07733492620204663,0.9797483047679382,True
Weather,48,0.542873195064134,2.57483347677946,0.5833857155371163,3.742974050275726,0.07462612050351125,0.9800623462783521,True
Weather,144,0.5432830105486565,2.2805582748196493,0.5617615106940881,3.1977353065330254,0.03401265967579281,0.9893635162340346,True
Weather,360,0.5412118587544982,1.0080735105693603,0.5740821193457566,0.8626227313075887,0.060734553501661015,0.9295931450709654,True
Weather,720,0.5399113325192262,0.6859061473173741,0.5785330091286802,0.27040516841336926,0.07153336906125918,0.7354585732181499,True
