arm,macro_absolute_dense_mse_auc,macro_absolute_dense_mae_auc,macro_gain_over_a6_percent,wins_over_a6,macro_gain_over_plain_percent,wins_over_plain
a6,0.5914363235910254,0.4662539082363997,0.0,0,1.550212262905113,5
pcsd_direct,0.5996307687777702,0.4713553236764176,-1.5833402741805491,0,0.0,0
measure_only,0.5892101138224662,0.4646544326987995,0.2881228552889592,2,1.8332067696844057,5
equal_skill,0.5869202725224743,0.46436405413930487,0.855847436259991,3,2.3880598011651566,5
pointwise_route_only,0.5925482023074563,0.4668548912955333,-0.13478898748424673,2,1.4157365349228113,4
pointwise_capability_skill_only,0.5886855626397413,0.4651270768517637,0.4959119367233078,3,2.035050258212139,5
pointwise_prior_composed,0.5873177941536153,0.4642728104108258,0.857966015135625,3,2.3894438002409846,4
pointwise_pcc_v0,0.5896628712263741,0.4655858316491821,0.44709322081283087,3,1.9882699092758838,4
transport_skill_only,0.5875148499616389,0.46444786761401463,0.7344766176602513,3,2.269004751524011,5
transport_route_only,0.589662330417993,0.46498176370058103,0.2384063924665103,2,1.7831116182725149,4
pcc_transport_full,0.5865167383745561,0.4637409432904369,0.962748076247546,3,2.492670589920649,5
