dataset,same_run_oracle_headroom,minimum_pairwise_probe_nrmse,mean_pairwise_probe_nrmse,policy_normalized_entropy,policy_usage_max,shared_gradient_cosine_mean,shared_gradient_cosine_min,shared_gradient_cosine_max
ETTh1,0.10927596788337213,0.04253268307412406,0.22159040600333726,0.9732493614010711,0.27394726961457583,0.6451929241418839,0.3770827353000641,0.9941067099571228
ETTh2,0.15441128658149206,0.03264572270210875,0.20801812993556293,0.9725290645734176,0.28659089695256657,0.6117182582616806,0.35792142152786255,0.9898830056190491
ETTm1,0.17872632755267126,0.025350754518519075,0.12399407070384078,0.9845838735779306,0.23111808823852922,0.6730083435773849,0.4168500304222107,0.9933690428733826
ETTm2,0.06533171187162934,0.02157678447095394,0.09944458992625853,0.9313488576804724,0.3587609354282997,0.6250325262546539,0.32411453127861023,0.9859384894371033
Weather,0.18349467193026514,0.04616840083750081,0.37119734802385174,0.9682372938129685,0.24698986539670603,0.24558071717619895,-0.17540840804576874,0.9955765008926392
