dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,1,0.24790187180042267,0.36219751834869385,31.556165008904557,21.128021582764877
ETTh1,a6,2,0.2781013771891594,0.39852139353752136,30.216700609078906,19.827053081677747
ETTh1,a6,3,0.29894885917504627,0.4193097452322642,28.70452867498885,18.11965339840548
ETTh1,a6,4,0.32221565023064613,0.43540093302726746,25.995645441010794,16.05449098076772
ETTh1,a6,5,0.34771067202091216,0.4514400243759155,22.977438143284257,14.06895035825042
ETTh1,a6,6,0.3719387377301852,0.46592146158218384,20.171366120987543,12.488948944356315
ETTh1,a6,7,0.3901765112365995,0.47371853249413626,17.635371117462206,10.853047858906207
ETTh1,a6,8,0.406986141577363,0.4834538698196411,15.816964764560758,9.78900767208315
ETTh1,a6,9,0.42189497583442265,0.491480741235945,14.158391074802324,8.647301287299825
ETTh1,a6,10,0.4305244579911232,0.49744133949279784,13.452215605945527,8.177683716956363
ETTh1,a6,11,0.45351209017363464,0.5043899416923523,10.087007553721229,5.829928357454794
ETTh1,a6,12,0.46320803090929985,0.5137234032154083,9.83318493763987,5.652718687947522
ETTh1,a6,13,0.48222428216384006,0.5184876872942998,6.994072572812371,3.7702379847464607
ETTh1,a6,14,0.5008509595479284,0.5231120075498309,4.255503158141893,1.8988512562001847
ETTh1,a6,15,0.5143555293480555,0.5271921197573344,2.4348980055292846,0.5562465021860641
ETTh1,a6,16,0.5163881005719304,0.532454114407301,3.017351805658286,0.8177151736731836
ETTh1,a6,17,0.5268432822297601,0.5359243154525757,1.6944618784738075,-0.1015257402736447
ETTh1,a6,18,0.537322091559569,0.5415731999609206,0.7849554596974784,-0.8114937683378454
ETTh1,a6,19,0.5452025007260474,0.5453005464453446,0.017980124893768323,-1.3479438058618731
ETTh1,a6,20,0.5534974344074726,0.5487223744392395,-0.870214190393237,-1.9628160388764249
ETTh1,a6,21,0.5567822066091356,0.5526300129436311,-0.7513514590688608,-1.9333546236010912
ETTh1,a6,22,0.5606426332484592,0.5560275478796526,-0.8300102011862043,-2.0152417088963315
ETTh1,a6,23,0.5623847330393998,0.5602220633755559,-0.38603793124694086,-1.7473879005936777
ETTh1,a6,24,0.5646645780652761,0.5631631885965666,-0.26659936215844837,-1.619788149609569
ETTh1,a6,25,0.5673967581987381,0.567778000831604,0.06714642559371153,-1.3831931954261245
ETTh1,a6,26,0.569725924386428,0.5723263048208677,0.45435277262916296,-1.1360354692636632
ETTh1,a6,27,0.5732381018223586,0.5788749235647696,0.9737546943127007,-0.8593710431643586
ETTh1,a6,28,0.5765209586492607,0.5839891710451671,1.2788272053984473,-0.655334200152069
ETTh1,a6,29,0.5807265027843672,0.5891974732793611,1.4377133099105266,-0.5157050243496775
ETTh1,a6,30,0.584104004005591,0.5949065665404002,1.8158418720489178,-0.2884034877028485
ETTh1,a6,31,0.5883707581989227,0.5997962759387109,1.9048997464858664,-0.2167689638169712
