scope,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
all,0.7379698157310486,0.41601237654685974,8.30357837677002,1.8223748207092285,11.2289457321167
segment_0,0.7137435078620911,0.4083792567253113,11.116683959960938,1.925135612487793,11.2289457321167
segment_1,0.701804518699646,0.41612139344215393,9.368854522705078,1.8305214643478394,11.2289457321167
segment_2,0.7561487555503845,0.42366379499435425,9.528864860534668,1.2605897188186646,11.2289457321167
segment_3,0.6856271624565125,0.40224090218544006,7.581816673278809,1.1743532419204712,11.2289457321167
segment_4,0.7391745448112488,0.4076301157474518,8.5076322555542,1.7624998092651367,11.2289457321167
segment_5,0.7891684770584106,0.43873924016952515,9.119074821472168,1.2101613283157349,11.2289457321167
segment_6,0.6921702027320862,0.40148499608039856,7.079927921295166,1.1810940504074097,11.2289457321167
segment_7,0.7512681484222412,0.4093044698238373,7.949134349822998,1.488512635231018,11.2289457321167
segment_8,0.7904166579246521,0.4415985941886902,8.573471069335938,1.2670278549194336,11.2289457321167
segment_9,0.6942533254623413,0.39910638332366943,6.632662773132324,1.0868865251541138,11.2289457321167
segment_10,0.7442059516906738,0.4073861539363861,7.717016220092773,1.5581666231155396,11.2289457321167
segment_11,0.7837538719177246,0.43816375732421875,8.110078811645508,1.3643430471420288,11.2289457321167
segment_12,0.6994174718856812,0.3975982964038849,6.837051868438721,0.9325261116027832,11.2289457321167
segment_13,0.7442851066589355,0.4088384807109833,7.768441677093506,1.6702659130096436,11.2289457321167
segment_14,0.7841105461120605,0.4399300515651703,8.662962913513184,1.288748025894165,11.2289457321167
