epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,mse,mae
1,0.4395695951851932,0.36065922451741766,0.8098095779617628,0.7683978309911309,0.6637671589851379,0.548469066619873
2,0.37230726579825085,0.3326761026048299,0.48573564805767755,0.306887606045965,0.6697678565979004,0.5536823272705078
3,0.35249402407895436,0.3237911047357501,0.37149560609550186,0.20256278133302025,0.6815266609191895,0.5570616126060486
4,0.3376538064895254,0.3146702168565808,0.31441511394399585,0.1452567061748017,0.6785714030265808,0.5525957345962524
5,0.32393183062473935,0.3050010025952802,0.27138032673886325,0.10723621279678562,0.7071472406387329,0.5593758821487427
6,0.3108187288497434,0.29461301693862135,0.24233277074315332,0.08178147675017967,0.7263997197151184,0.5666269063949585
7,0.29995924505320465,0.2856666568779584,0.22118674467007318,0.06466499907952367,0.7714601755142212,0.5793457627296448
8,0.2903898666528138,0.2775167798002561,0.2050286621758432,0.05243307408509833,0.8068751096725464,0.5889485478401184
9,0.28253601835758396,0.27076549884496315,0.19212062747189493,0.04328976177864454,0.8012282848358154,0.588791012763977
10,0.27487978694791143,0.26399446346543054,0.18136548454111273,0.0363409774392053,0.8330702781677246,0.5979322791099548
11,0.2683689756826921,0.25819420108966756,0.17251368657206045,0.030981820337756566,0.7947946190834045,0.5882464647293091
