dataset,arm,target_horizon,mse,mae,source_path
ETTm1,a5q_ettm1_patch48_dropout00,96,0.3378020524978637,0.3779033720493316,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout00,192,0.4013431072235107,0.4110220670700073,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout00,336,0.5295313000679016,0.460966944694519,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout00,720,0.6356752514839172,0.5011364221572876,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout01,96,0.3461331129074096,0.3832845389842987,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout01,192,0.5278356075286865,0.4497797191143036,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout01,336,0.604607105255127,0.4795584678649902,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_ettm1_patch48_dropout01,720,0.6672914028167725,0.5084264874458313,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_dropout00,96,0.3045162856578827,0.3613638877868652,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_dropout00,192,0.3418727219104767,0.3869105279445648,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
