dataset,arm,target_horizon,mse,mae,source_path,old_a5q_seg48_mse,official_unified_mse,best_stage_control_mse,best_stage_control_name,relative_mse_vs_old_a5q_pct,relative_mse_vs_official_unified_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTm1,a5q_ettm1_patch48_dropout00,96,0.3378020524978637,0.3779033720493316,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.5976341366767883,0.2811818420886993,0.2705991566181183,a3c_warm,-43.476780898720094,20.13651023429297,24.834850455422952,False
ETTm1,a5q_ettm1_patch48_dropout00,192,0.4013431072235107,0.4110220670700073,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6100609302520752,0.3133629560470581,0.3081844747066498,a3c_warm,-34.21261921203887,28.076117319764027,30.228204261598645,False
ETTm1,a5q_ettm1_patch48_dropout00,336,0.5295313000679016,0.460966944694519,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6192857623100281,0.3499610722064972,0.3466947674751282,a3c_warm,-14.49322230618204,51.311486368817505,52.73703261353377,False
ETTm1,a5q_ettm1_patch48_dropout00,720,0.6356752514839172,0.5011364221572876,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6387221813201904,0.4067089557647705,0.4067089557647705,official_unified,-0.47703523149539295,56.29733313558374,56.29733313558374,False
ETTm1,a5q_ettm1_patch48_dropout01,96,0.3461331129074096,0.3832845389842987,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.5976341366767883,0.2811818420886993,0.2705991566181183,a3c_warm,-42.08277411459097,23.09938306692696,27.913596344237046,False
ETTm1,a5q_ettm1_patch48_dropout01,192,0.5278356075286865,0.4497797191143036,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6100609302520752,0.3133629560470581,0.3081844747066498,a3c_warm,-13.478214821823364,68.4422479884383,71.27261456993092,False
ETTm1,a5q_ettm1_patch48_dropout01,336,0.604607105255127,0.4795584678649902,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6192857623100281,0.3499610722064972,0.3466947674751282,a3c_warm,-2.3702558573521104,72.76410243090521,74.39175954638581,False
ETTm1,a5q_ettm1_patch48_dropout01,720,0.6672914028167725,0.5084264874458313,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_ettm1_patch48_dropout01_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6387221813201904,0.4067089557647705,0.4067089557647705,official_unified,4.472871356609476,64.07098819892126,64.07098819892126,False
ETTh2,a5q_seg48_dropout00,96,0.3045162856578827,0.3613638877868652,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3081503808498382,0.2491090446710586,0.2404634952545166,a3e_best,-1.1793252313799352,22.24216349108792,26.637220063515233,False
ETTh2,a5q_seg48_dropout00,192,0.3418727219104767,0.3869105279445648,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.340194433927536,0.2959613502025604,0.2772313058376312,h1_target_set,0.493331993579349,15.512624089765037,23.316780865543606,False
ETTh2,a5q_seg48_dropout00,336,0.3743388056755066,0.4110685288906097,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3647035956382751,0.3267449736595154,0.3026000261306762,a3d_w03,2.6419289945218916,14.566048708552248,23.707459798384267,False
ETTh2,a5q_seg48_dropout00,720,0.4521838128566742,0.4616996049880981,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.4295999407768249,0.4032520949840545,0.3843011856079101,a3d_w03,5.256954188357654,12.134274931554812,17.663913042938795,False
ETTm1,a5q_seg48_dropout00,96,0.2801527380943298,0.3399067223072052,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.5976341366767883,0.2811818420886993,0.2705991566181183,a3c_warm,-53.123036168557825,-0.3659923367472895,3.5305289179795585,False
ETTm1,a5q_seg48_dropout00,192,0.3269190788269043,0.3715868592262268,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6100609302520752,0.3133629560470581,0.3081844747066498,a3c_warm,-46.412061055635476,4.326013180004096,6.0790226821410664,False
ETTm1,a5q_seg48_dropout00,336,0.4161846935749054,0.4166159629821777,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6192857623100281,0.3499610722064972,0.3466947674751282,a3c_warm,-32.7960177830547,18.92313935114831,20.04354625997129,False
ETTm1,a5q_seg48_dropout00,720,0.5433996319770813,0.4761212170124054,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6387221813201904,0.4067089557647705,0.4067089557647705,official_unified,-14.92394536010706,33.60896638119988,33.60896638119988,False
Weather,a5q_seg48_dropout00,96,0.1612230837345123,0.2061329483985901,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.1788337975740432,0.1431701928377151,0.1412940472364425,a2_nested,-9.847531103419904,12.609392038229883,14.104654009040019,False
Weather,a5q_seg48_dropout00,192,0.2056857049465179,0.2475956529378891,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2210877835750579,0.184864267706871,0.1822764873504638,a3d_w03,-6.966499179413543,11.263094538454709,12.842697342002785,False
Weather,a5q_seg48_dropout00,336,0.2579100728034973,0.288362592458725,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2659114897251129,0.234520137310028,0.2316667139530182,a2_nested,-3.009052722726313,9.973529677133254,11.328066256338087,False
Weather,a5q_seg48_dropout00,720,0.3284074664115906,0.3347646296024322,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout00_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3293209373950958,0.3067764937877655,0.3033372759819031,a2_nested,-0.2773801722814051,7.051052822446646,8.264790520233722,False
ETTh2,a5q_seg48_dropout01,96,0.3081503808498382,0.3624735176563263,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout01_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3081503808498382,0.2491090446710586,0.2404634952545166,a3e_best,0.0,23.70100060266458,28.1485077490365,False
ETTh2,a5q_seg48_dropout01,192,0.340194433927536,0.3860052525997162,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout01_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.340194433927536,0.2959613502025604,0.2772313058376312,h1_target_set,0.0,14.945560862829478,22.711406238796506,False
ETTh2,a5q_seg48_dropout01,336,0.3647035956382751,0.4078707098960876,analysis/phase5_timealign_hss_a5q_diagnostic_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5QDiag_a5q_seg48_dropout01_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3647035956382751,0.3267449736595154,0.3026000261306762,a3d_w03,0.0,11.617201499269125,20.523319281135755,False
