dataset,unit_size,unit_count,role,batches,mean_pairwise_cosine,min_pairwise_cosine,adjacent_cosine,far_cosine,adjacent_minus_far_cosine,first_last_cosine,negative_pair_rate,max_min_grad_norm_ratio,shared_alignment_efficiency,bootstrap_mean_pairwise_p95,bootstrap_first_last_p95,basis_adjacent_overlap,basis_far_overlap,basis_distance_overlap_spearman,gradient_basis_pair_spearman,robust_support
ETTh2,120,6,main,8,0.12178386071706579,0.007171651290263981,0.23708872362039984,0.04585071365969876,0.1912380099607011,0.02340882841963321,0.03333333333333333,2.9984498107362016,0.27806636126413714,0.13364621906470955,0.029306262877071273,0.14260998846692072,0.13475817334996595,-0.45922516819316517,0.6642857142857143,True
ETTh2,144,5,main,8,0.12255439314176328,0.006840390793513507,0.20757282024715096,0.03526077594142407,0.17231204430572689,0.02999801014084369,0.05,2.7460455431810367,0.30393326168381785,0.135229525094328,0.04027013523154892,0.14530252023253187,0.13157057941637215,-0.40045428748314876,0.7333333333333333,True
ETTh2,180,4,main,8,0.1343947354048396,0.018126635936823732,0.20570677611976862,0.06308269468991057,0.14262408142985805,0.03414513435564004,0.041666666666666664,2.5927176798503906,0.3540401202766226,0.14993505112860625,0.04768203211860964,0.14196313822001924,0.13162656665698014,-0.6172133998483675,0.7714285714285715,True
ETTh2,240,3,main,8,0.15020795247983187,0.05651686165947467,0.19594932324253023,0.05872521095443517,0.13722411228809506,0.05872521095443517,0.0,2.443744476386404,0.43125978369033746,0.17076839242751402,0.07783284739125519,0.142068256634768,0.14059943660457486,0.0,0.4999999999999999,True
ETTh2,360,2,coarse_control,8,0.1684024129062891,0.1684024129062891,0.1684024129062891,nan,nan,0.1684024129062891,0.0,2.1950841780867956,0.5637482148775775,0.20328291887417432,0.20169639396481215,0.15834676006791454,nan,nan,nan,False
ETTm1,120,6,main,8,0.15196272030395147,0.029226781567558646,0.19340905798599123,0.1111927128416331,0.08221634514435815,0.060436463449150324,0.025,1.4521663039669996,0.29568033912224156,0.1612440566928126,0.09742929078638553,0.15068989130628774,0.15109683606420074,-0.1180337781701308,0.65,True
ETTm1,144,5,main,8,0.16598979614209386,0.044968002126552165,0.20444059511646628,0.11221469985321164,0.09222589526325464,0.11287780094426125,0.025,1.3876967672996239,0.3350912393323213,0.17340038127615115,0.16306963872048072,0.14736685576363764,0.14972358285876478,0.09534625892455922,0.18787878787878787,True
ETTm1,180,4,main,8,0.20350797947806618,0.09698876971378922,0.25284123234450817,0.15417472661162415,0.098666505732884,0.13694122666493058,0.0,1.4124280143446801,0.4038771663482021,0.2149724413951238,0.1810924867168069,0.1606159062344974,0.15710199676450862,-0.2777460299317654,0.6,True
ETTm1,240,3,main,8,0.2300050538033247,0.15790316462516785,0.2513934997841716,0.18722816184163094,0.06416533794254065,0.18722816184163094,0.0,1.2998725606796424,0.4856057036354395,0.24818380211169522,0.22247279165312647,0.16691665568396954,0.16813055072341984,0.0,-0.4999999999999999,True
ETTm1,360,2,coarse_control,8,0.32679619640111923,0.32679619640111923,0.32679619640111923,nan,nan,0.32679619640111923,0.0,1.1861041766369635,0.6607956990101971,0.36641866303980347,0.3618964836001396,0.1859502789781175,nan,nan,nan,False
Weather,120,6,main,8,0.06446106784205767,0.006064287812478142,0.13425359274260698,0.018293458452414292,0.1159601342901927,0.02552114796708338,0.0,1.7670271392345454,0.2231315006714861,0.07253221056501691,0.03770822344231419,0.13967100342527242,0.14137465569558408,0.1198780559540391,-0.14642857142857144,True
Weather,144,5,main,8,0.06859008896935848,0.007202141285233665,0.13435267872409895,0.019432121230541576,0.11492055749355738,0.026159248023759574,0.0125,1.6856070947052604,0.2581888764591198,0.0770074952739742,0.03498895787633956,0.14100077019625037,0.14319203319083698,0.19069251784911845,0.006060606060606061,True
Weather,180,4,main,8,0.07734483124901695,0.009837853751378134,0.13327679317444563,0.021412869323588286,0.11186392385085733,0.02780114352935925,0.041666666666666664,1.6387943617009384,0.3115373788683399,0.08635529106104513,0.03773882577661425,0.13910385403391168,0.14111645683179255,0.6172133998483675,-0.2,True
Weather,240,3,main,8,0.08386624720878899,0.03358475700952113,0.10900699230842292,0.03358475700952113,0.0754222352989018,0.03358475700952113,0.0,1.5645549454569594,0.39010616256420405,0.09833372780121863,0.04370304743060842,0.14079111925257162,0.14831955328824709,0.8660254037844387,-0.4999999999999999,True
Weather,360,2,coarse_control,8,0.10010877717286348,0.10010877717286348,0.10010877717286348,nan,nan,0.10010877717286348,0.0,1.3999336410735554,0.5466904800894612,0.119286355888471,0.12064294964075088,0.15142703737804003,nan,nan,nan,False
