dataset,unit_size,unit_count,subspace_rank,left_unit,right_unit,unit_distance,pair_kind,basis_subspace_overlap
ETTh2,120,6,32,0,1,1,adjacent,0.11637416890924404
ETTh2,120,6,32,0,2,2,middle,0.12348326075626778
ETTh2,120,6,32,0,3,3,far,0.13809451303730763
ETTh2,120,6,32,0,4,4,far,0.13144377070943244
ETTh2,120,6,32,0,5,5,far,0.12973589142022032
ETTh2,120,6,32,1,2,1,adjacent,0.14540965233579434
ETTh2,120,6,32,1,3,2,middle,0.13576701384879286
ETTh2,120,6,32,1,4,3,far,0.14125168663549348
ETTh2,120,6,32,1,5,4,far,0.1296248406019941
ETTh2,120,6,32,2,3,1,adjacent,0.15572113693868314
ETTh2,120,6,32,2,4,2,middle,0.13678098135289765
ETTh2,120,6,32,2,5,3,far,0.1383983376953477
ETTh2,120,6,32,3,4,1,adjacent,0.15009986267557934
ETTh2,120,6,32,3,5,2,middle,0.1353491446886246
ETTh2,120,6,32,4,5,1,adjacent,0.14544512147530264
ETTh2,144,5,32,0,1,1,adjacent,0.11979274803776768
ETTh2,144,5,32,0,2,2,middle,0.13192292434397948
ETTh2,144,5,32,0,3,3,far,0.12214792634333277
ETTh2,144,5,32,0,4,4,far,0.1390940035229243
ETTh2,144,5,32,1,2,1,adjacent,0.15329424476249898
ETTh2,144,5,32,1,3,2,middle,0.1405285123634133
ETTh2,144,5,32,1,4,3,far,0.13346980838285943
ETTh2,144,5,32,2,3,1,adjacent,0.15739141401383677
ETTh2,144,5,32,2,4,2,middle,0.1342332197227797
ETTh2,144,5,32,3,4,1,adjacent,0.1507316741160241
ETTh2,180,4,32,0,1,1,adjacent,0.12814154787699522
ETTh2,180,4,32,0,2,2,far,0.13323364863036236
ETTh2,180,4,32,0,3,3,far,0.12351474242843694
ETTh2,180,4,32,1,2,1,adjacent,0.15237136782966548
ETTh2,180,4,32,1,3,2,far,0.13813130891214112
ETTh2,180,4,32,2,3,1,adjacent,0.145376498953397
ETTh2,240,3,32,0,1,1,adjacent,0.1388919538113761
ETTh2,240,3,32,0,2,2,far,0.14059943660457486
ETTh2,240,3,32,1,2,1,adjacent,0.1452445594581599
ETTh2,360,2,32,0,1,1,adjacent,0.15834676006791454
ETTm1,120,6,32,0,1,1,adjacent,0.13202370994736584
ETTm1,120,6,32,0,2,2,middle,0.14731635018166211
ETTm1,120,6,32,0,3,3,far,0.15514177160606055
ETTm1,120,6,32,0,4,4,far,0.15322536183547827
ETTm1,120,6,32,0,5,5,far,0.1436226649358578
ETTm1,120,6,32,1,2,1,adjacent,0.1470073143317924
ETTm1,120,6,32,1,3,2,middle,0.15753406105164602
ETTm1,120,6,32,1,4,3,far,0.14552296306010873
ETTm1,120,6,32,1,5,4,far,0.16003015560125833
ETTm1,120,6,32,2,3,1,adjacent,0.16167908070056958
ETTm1,120,6,32,2,4,2,middle,0.15714704761192894
ETTm1,120,6,32,2,5,3,far,0.14903809934644088
ETTm1,120,6,32,3,4,1,adjacent,0.15816488646481586
ETTm1,120,6,32,3,5,2,middle,0.14855152237737781
ETTm1,120,6,32,4,5,1,adjacent,0.15457446508689493
ETTm1,144,5,32,0,1,1,adjacent,0.13703536782719689
ETTm1,144,5,32,0,2,2,middle,0.1631839963922643
ETTm1,144,5,32,0,3,3,far,0.14529834435350386
ETTm1,144,5,32,0,4,4,far,0.15084660655474247
ETTm1,144,5,32,1,2,1,adjacent,0.15521694326812494
ETTm1,144,5,32,1,3,2,middle,0.17793918833733435
ETTm1,144,5,32,1,4,3,far,0.15302579766804797
ETTm1,144,5,32,2,3,1,adjacent,0.15187027625836425
ETTm1,144,5,32,2,4,2,middle,0.16169125185928618
ETTm1,144,5,32,3,4,1,adjacent,0.14534483570086457
ETTm1,180,4,32,0,1,1,adjacent,0.1519621539913919
ETTm1,180,4,32,0,2,2,far,0.1579551661831702
ETTm1,180,4,32,0,3,3,far,0.15724634918836353
ETTm1,180,4,32,1,2,1,adjacent,0.17150553726447348
ETTm1,180,4,32,1,3,2,far,0.1561044749219921
ETTm1,180,4,32,2,3,1,adjacent,0.1583800274476268
ETTm1,240,3,32,0,1,1,adjacent,0.17079414311711927
ETTm1,240,3,32,0,2,2,far,0.16813055072341984
ETTm1,240,3,32,1,2,1,adjacent,0.16303916825081982
ETTm1,360,2,32,0,1,1,adjacent,0.1859502789781175
Weather,120,6,32,0,1,1,adjacent,0.1359230539746787
Weather,120,6,32,0,2,2,middle,0.13861135285544612
Weather,120,6,32,0,3,3,far,0.14641989161869834
Weather,120,6,32,0,4,4,far,0.13669912598096806
Weather,120,6,32,0,5,5,far,0.13997820129229105
Weather,120,6,32,1,2,1,adjacent,0.14052746915792047
Weather,120,6,32,1,3,2,middle,0.13753939300324863
Weather,120,6,32,1,4,3,far,0.14867987627119394
Weather,120,6,32,1,5,4,far,0.14776648291193262
Weather,120,6,32,2,3,1,adjacent,0.1439740148936078
Weather,120,6,32,2,4,2,middle,0.13775730542845294
Weather,120,6,32,2,5,3,far,0.1287043560984205
Weather,120,6,32,3,4,1,adjacent,0.14040237142189668
Weather,120,6,32,3,5,2,middle,0.13478229091507923
Weather,120,6,32,4,5,1,adjacent,0.1375281076782584
Weather,144,5,32,0,1,1,adjacent,0.1324144066284853
Weather,144,5,32,0,2,2,middle,0.14572229293799058
Weather,144,5,32,0,3,3,far,0.13813906629857295
Weather,144,5,32,0,4,4,far,0.14753700154842292
Weather,144,5,32,1,2,1,adjacent,0.148573489482045
Weather,144,5,32,1,3,2,middle,0.14274455970450928
Weather,144,5,32,1,4,3,far,0.1439000317255151
Weather,144,5,32,2,3,1,adjacent,0.14627797952445526
Weather,144,5,32,2,4,2,middle,0.13730803318358226
Weather,144,5,32,3,4,1,adjacent,0.13673720515001592
Weather,180,4,32,0,1,1,adjacent,0.13726484259995986
Weather,180,4,32,0,2,2,far,0.14204889488056757
Weather,180,4,32,0,3,3,far,0.14356188332644715
Weather,180,4,32,1,2,1,adjacent,0.13986449566661238
Weather,180,4,32,1,3,2,far,0.1377385922883629
Weather,180,4,32,2,3,1,adjacent,0.1401822238351628
Weather,240,3,32,0,1,1,adjacent,0.140745731302247
Weather,240,3,32,0,2,2,far,0.14831955328824709
Weather,240,3,32,1,2,1,adjacent,0.14083650720289626
Weather,360,2,32,0,1,1,adjacent,0.15142703737804003
