dataset,unit_size,metric,batches,bootstrap_iterations,mean,p05,p50,p95
ETTh2,120,mean_pairwise_cosine,8,1000,0.12178386071706579,0.11005173183625933,0.12127325747181505,0.13364621906470955
ETTh2,120,first_last_cosine,8,1000,0.02340882841963321,0.017819990654243157,0.023472969187423587,0.029306262877071273
ETTh2,120,adjacent_minus_far_cosine,8,1000,0.1912380099607011,0.17290410853575544,0.19066055192888598,0.2098533625158598
ETTh2,120,shared_alignment_efficiency,8,1000,0.27806636126413714,0.26678125797168595,0.27810573579840653,0.2901889530250056
ETTh2,144,mean_pairwise_cosine,8,1000,0.12255439314176328,0.11109110801364296,0.12205803841643502,0.135229525094328
ETTh2,144,first_last_cosine,8,1000,0.02999801014084369,0.019597998115932568,0.02994773827958852,0.04027013523154892
ETTh2,144,adjacent_minus_far_cosine,8,1000,0.17231204430572689,0.1469410060303441,0.17281078365825428,0.1936239627713803
ETTh2,144,shared_alignment_efficiency,8,1000,0.30393326168381785,0.2925387461402941,0.303933821327211,0.315690827510518
ETTh2,180,mean_pairwise_cosine,8,1000,0.1343947354048396,0.12060154523220869,0.13357959679600145,0.14993505112860625
ETTh2,180,first_last_cosine,8,1000,0.03414513435564004,0.02141707972623408,0.03428636341413949,0.04768203211860964
ETTh2,180,adjacent_minus_far_cosine,8,1000,0.14262408142985805,0.12541476398782836,0.14297656433442776,0.15859904210880507
ETTh2,180,shared_alignment_efficiency,8,1000,0.3540401202766226,0.34395850812265194,0.3537887274891889,0.3644604440305796
ETTh2,240,mean_pairwise_cosine,8,1000,0.15020795247983187,0.13353176515859863,0.1492787143215537,0.17076839242751402
ETTh2,240,first_last_cosine,8,1000,0.05872521095443517,0.042956570972455664,0.05822270683711395,0.07783284739125519
ETTh2,240,adjacent_minus_far_cosine,8,1000,0.13722411228809506,0.12156578750582411,0.13762701826635748,0.1528350228909403
ETTh2,240,shared_alignment_efficiency,8,1000,0.43125978369033746,0.421507174087562,0.4306163374556147,0.4441227609152528
ETTh2,360,mean_pairwise_cosine,8,1000,0.1684024129062891,0.13771569449454546,0.1677194582298398,0.20328291887417432
ETTh2,360,first_last_cosine,8,1000,0.1684024129062891,0.1387683215085417,0.1658562868833542,0.20169639396481215
ETTh2,360,adjacent_minus_far_cosine,8,1000,nan,nan,nan,nan
ETTh2,360,shared_alignment_efficiency,8,1000,0.5637482148775775,0.5526229347768583,0.5631683384361824,0.5810862088184104
ETTm1,120,mean_pairwise_cosine,8,1000,0.15196272030395147,0.14226066352935354,0.15224322311502572,0.1612440566928126
ETTm1,120,first_last_cosine,8,1000,0.060436463449150324,0.020526494830846786,0.06092182546854019,0.09742929078638553
ETTm1,120,adjacent_minus_far_cosine,8,1000,0.08221634514435815,0.06311959971004398,0.08216040184294494,0.10354325121734291
ETTm1,120,shared_alignment_efficiency,8,1000,0.29568033912224156,0.287254154907625,0.29593773500829557,0.30385365544221626
ETTm1,144,mean_pairwise_cosine,8,1000,0.16598979614209386,0.1577151480980683,0.16645733012119307,0.17340038127615115
ETTm1,144,first_last_cosine,8,1000,0.11287780094426125,0.05311008918215521,0.11248057545162737,0.16306963872048072
ETTm1,144,adjacent_minus_far_cosine,8,1000,0.09222589526325464,0.05717184316987793,0.09197796396135041,0.13052792721039927
ETTm1,144,shared_alignment_efficiency,8,1000,0.3350912393323213,0.3275223016322136,0.33498522833524613,0.342019860770565
ETTm1,180,mean_pairwise_cosine,8,1000,0.20350797947806618,0.1908962926788566,0.20350797947806618,0.2149724413951238
ETTm1,180,first_last_cosine,8,1000,0.13694122666493058,0.09738632931839675,0.1381530868820846,0.1810924867168069
ETTm1,180,adjacent_minus_far_cosine,8,1000,0.098666505732884,0.06594352268924317,0.09691324830055235,0.1324718053607891
ETTm1,180,shared_alignment_efficiency,8,1000,0.4038771663482021,0.39586289350053877,0.4043441352114783,0.4116223964905732
ETTm1,240,mean_pairwise_cosine,8,1000,0.2300050538033247,0.21201516329310835,0.2295422532285253,0.24818380211169522
