dataset,unit_size,unit_count,batch_idx,left_unit,right_unit,unit_distance,pair_kind,gradient_cosine
ETTh2,120,6,0,0,1,1,adjacent,0.05742315575480461
ETTh2,120,6,0,0,2,2,middle,0.07174060493707657
ETTh2,120,6,0,0,3,3,far,0.08265522867441177
ETTh2,120,6,0,0,4,4,far,0.04771384596824646
ETTh2,120,6,0,0,5,5,far,0.03407136723399162
ETTh2,120,6,0,1,2,1,adjacent,0.2297627031803131
ETTh2,120,6,0,1,3,2,middle,0.16120269894599915
ETTh2,120,6,0,1,4,3,far,0.13652369379997253
ETTh2,120,6,0,1,5,4,far,0.08269224315881729
ETTh2,120,6,0,2,3,1,adjacent,0.34681981801986694
ETTh2,120,6,0,2,4,2,middle,0.15194688737392426
ETTh2,120,6,0,2,5,3,far,0.13171474635601044
ETTh2,120,6,0,3,4,1,adjacent,0.35714730620384216
ETTh2,120,6,0,3,5,2,middle,0.18828760087490082
ETTh2,120,6,0,4,5,1,adjacent,0.3621304929256439
ETTh2,144,5,0,0,1,1,adjacent,0.062403060495853424
ETTh2,144,5,0,0,2,2,middle,0.1237717792391777
ETTh2,144,5,0,0,3,3,far,0.05143922194838524
ETTh2,144,5,0,0,4,4,far,0.04619429633021355
ETTh2,144,5,0,1,2,1,adjacent,0.2604336738586426
ETTh2,144,5,0,1,3,2,middle,0.1837499588727951
ETTh2,144,5,0,1,4,3,far,0.10043730586767197
ETTh2,144,5,0,2,3,1,adjacent,0.33421215415000916
ETTh2,144,5,0,2,4,2,middle,0.184764102101326
ETTh2,144,5,0,3,4,1,adjacent,0.28561386466026306
ETTh2,180,4,0,0,1,1,adjacent,0.15697051584720612
ETTh2,180,4,0,0,2,2,far,0.14039474725723267
ETTh2,180,4,0,0,3,3,far,0.07240574061870575
ETTh2,180,4,0,1,2,1,adjacent,0.32976698875427246
ETTh2,180,4,0,1,3,2,far,0.15466611087322235
ETTh2,180,4,0,2,3,1,adjacent,0.2814815938472748
ETTh2,240,3,0,0,1,1,adjacent,0.2267059087753296
ETTh2,240,3,0,0,2,2,far,0.12357241660356522
ETTh2,240,3,0,1,2,1,adjacent,0.3088827133178711
ETTh2,360,2,0,0,1,1,adjacent,0.30302420258522034
ETTh2,120,6,1,0,1,1,adjacent,0.023088015615940094
ETTh2,120,6,1,0,2,2,middle,0.023664424195885658
ETTh2,120,6,1,0,3,3,far,0.051251139491796494
ETTh2,120,6,1,0,4,4,far,0.054050102829933167
ETTh2,120,6,1,0,5,5,far,0.04231380671262741
ETTh2,120,6,1,1,2,1,adjacent,0.1157526895403862
ETTh2,120,6,1,1,3,2,middle,0.02647448144853115
ETTh2,120,6,1,1,4,3,far,-0.00011767621617764235
ETTh2,120,6,1,1,5,4,far,0.016654733568429947
ETTh2,120,6,1,2,3,1,adjacent,0.19484280049800873
ETTh2,120,6,1,2,4,2,middle,0.07948790490627289
ETTh2,120,6,1,2,5,3,far,0.08477059006690979
ETTh2,120,6,1,3,4,1,adjacent,0.33686110377311707
ETTh2,120,6,1,3,5,2,middle,0.11934543401002884
ETTh2,120,6,1,4,5,1,adjacent,0.3023809790611267
ETTh2,144,5,1,0,1,1,adjacent,0.06546680629253387
ETTh2,144,5,1,0,2,2,middle,0.058841776102781296
ETTh2,144,5,1,0,3,3,far,0.044484179466962814
ETTh2,144,5,1,0,4,4,far,0.05495359003543854
ETTh2,144,5,1,1,2,1,adjacent,0.11996639519929886
ETTh2,144,5,1,1,3,2,middle,0.009362470358610153
ETTh2,144,5,1,1,4,3,far,0.022789428010582924
ETTh2,144,5,1,2,3,1,adjacent,0.12102942168712616
ETTh2,144,5,1,2,4,2,middle,0.12934017181396484
ETTh2,144,5,1,3,4,1,adjacent,0.2464410662651062
ETTh2,180,4,1,0,1,1,adjacent,0.09230776876211166
ETTh2,180,4,1,0,2,2,far,0.02793811820447445
ETTh2,180,4,1,0,3,3,far,0.03741231560707092
ETTh2,180,4,1,1,2,1,adjacent,0.1344594955444336
ETTh2,180,4,1,1,3,2,far,0.10136397182941437
ETTh2,180,4,1,2,3,1,adjacent,0.24773140251636505
ETTh2,240,3,1,0,1,1,adjacent,0.09405660629272461
ETTh2,240,3,1,0,2,2,far,0.03922690451145172
ETTh2,240,3,1,1,2,1,adjacent,0.2625655233860016
ETTh2,360,2,1,0,1,1,adjacent,0.13449245691299438
ETTh2,120,6,2,0,1,1,adjacent,0.04840392246842384
ETTh2,120,6,2,0,2,2,middle,0.020779822021722794
ETTh2,120,6,2,0,3,3,far,0.0168068315833807
ETTh2,120,6,2,0,4,4,far,0.0368264839053154
ETTh2,120,6,2,0,5,5,far,0.024678504094481468
ETTh2,120,6,2,1,2,1,adjacent,0.10589374601840973
ETTh2,120,6,2,1,3,2,middle,0.0017070194007828832
ETTh2,120,6,2,1,4,3,far,0.01916414685547352
ETTh2,120,6,2,1,5,4,far,0.017898306250572205
ETTh2,120,6,2,2,3,1,adjacent,0.234470397233963
ETTh2,120,6,2,2,4,2,middle,0.1152530387043953
ETTh2,120,6,2,2,5,3,far,0.13078905642032623
ETTh2,120,6,2,3,4,1,adjacent,0.3046301305294037
ETTh2,120,6,2,3,5,2,middle,0.1518007218837738
ETTh2,120,6,2,4,5,1,adjacent,0.4065569043159485
ETTh2,144,5,2,0,1,1,adjacent,0.1319802701473236
ETTh2,144,5,2,0,2,2,middle,0.027556175366044044
ETTh2,144,5,2,0,3,3,far,-0.02013150230050087
ETTh2,144,5,2,0,4,4,far,0.00812753289937973
ETTh2,144,5,2,1,2,1,adjacent,0.13138028979301453
ETTh2,144,5,2,1,3,2,middle,0.054703738540410995
ETTh2,144,5,2,1,4,3,far,0.05582904443144798
ETTh2,144,5,2,2,3,1,adjacent,0.23503069579601288
ETTh2,144,5,2,2,4,2,middle,0.172188401222229
ETTh2,144,5,2,3,4,1,adjacent,0.3376736342906952
ETTh2,180,4,2,0,1,1,adjacent,0.03431597352027893
ETTh2,180,4,2,0,2,2,far,-0.027820196002721786
ETTh2,180,4,2,0,3,3,far,0.0023608438204973936
ETTh2,180,4,2,1,2,1,adjacent,0.21717846393585205
ETTh2,180,4,2,1,3,2,far,0.14761187136173248
ETTh2,180,4,2,2,3,1,adjacent,0.33396396040916443
ETTh2,240,3,2,0,1,1,adjacent,0.05562064051628113
ETTh2,240,3,2,0,2,2,far,0.03476324304938316
ETTh2,240,3,2,1,2,1,adjacent,0.26948243379592896
ETTh2,360,2,2,0,1,1,adjacent,0.13410572707653046
ETTh2,120,6,3,0,1,1,adjacent,0.10067413747310638
ETTh2,120,6,3,0,2,2,middle,0.024238087236881256
ETTh2,120,6,3,0,3,3,far,-0.0007108546560630202
ETTh2,120,6,3,0,4,4,far,0.033260785043239594
ETTh2,120,6,3,0,5,5,far,0.009572894312441349
ETTh2,120,6,3,1,2,1,adjacent,0.10471967607736588
ETTh2,120,6,3,1,3,2,middle,0.0009118073503486812
ETTh2,120,6,3,1,4,3,far,-0.00669472198933363
ETTh2,120,6,3,1,5,4,far,0.007369321770966053
ETTh2,120,6,3,2,3,1,adjacent,0.29365384578704834
ETTh2,120,6,3,2,4,2,middle,0.1528913974761963
ETTh2,120,6,3,2,5,3,far,0.13941140472888947
ETTh2,120,6,3,3,4,1,adjacent,0.39920201897621155
ETTh2,120,6,3,3,5,2,middle,0.20185312628746033
ETTh2,120,6,3,4,5,1,adjacent,0.4363652467727661
ETTh2,144,5,3,0,1,1,adjacent,0.0278013963252306
ETTh2,144,5,3,0,2,2,middle,0.018803568556904793
ETTh2,144,5,3,0,3,3,far,-0.01338028535246849
ETTh2,144,5,3,0,4,4,far,0.0117362504824996
ETTh2,144,5,3,1,2,1,adjacent,0.1369316726922989
ETTh2,144,5,3,1,3,2,middle,0.031557582318782806
ETTh2,144,5,3,1,4,3,far,0.04190060496330261
ETTh2,144,5,3,2,3,1,adjacent,0.3487876355648041
ETTh2,144,5,3,2,4,2,middle,0.20576225221157074
ETTh2,144,5,3,3,4,1,adjacent,0.3800540268421173
ETTh2,180,4,3,0,1,1,adjacent,0.09360898286104202
ETTh2,180,4,3,0,2,2,far,-0.02276640385389328
ETTh2,180,4,3,0,3,3,far,0.006776660680770874
ETTh2,180,4,3,1,2,1,adjacent,0.21420782804489136
ETTh2,180,4,3,1,3,2,far,0.1397884041070938
ETTh2,180,4,3,2,3,1,adjacent,0.39040327072143555
ETTh2,240,3,3,0,1,1,adjacent,0.046175822615623474
ETTh2,240,3,3,0,2,2,far,0.015239511616528034
ETTh2,240,3,3,1,2,1,adjacent,0.34599047899246216
ETTh2,360,2,3,0,1,1,adjacent,0.12023090571165085
ETTh2,120,6,4,0,1,1,adjacent,0.01998559571802616
ETTh2,120,6,4,0,2,2,middle,0.008910001255571842
ETTh2,120,6,4,0,3,3,far,-0.01531624048948288
ETTh2,120,6,4,0,4,4,far,0.024256372824311256
ETTh2,120,6,4,0,5,5,far,0.023116765543818474
ETTh2,120,6,4,1,2,1,adjacent,0.03378180041909218
ETTh2,120,6,4,1,3,2,middle,0.057987362146377563
ETTh2,120,6,4,1,4,3,far,0.024822944775223732
