arm,dataset,objective,epochs,best_epoch,best_val_mean_mse,minimum_scope_gradient_norm,all_scope_gradients_nonzero,final_credit_argmax_accuracy,final_credit_policy_kl,final_credit_entropy,final_policy_entropy,final_positive_contributor_count
iscf_fused,Weather,measure_only,9,4,0.48704530360834997,0.03525974255035016,True,0.532626249030609,0.12036454450971168,0.7810258177858828,0.8859049583169958,3.1343550221584335
iscf_fused,ETTm1,measure_only,7,2,0.6356801168286308,0.03848796684661715,True,0.7884485722738803,0.13274260910235086,0.7205082145897118,0.9314834401299135,2.9371432680420893
iscf_fused,ETTh1,measure_only,6,1,1.168162085655855,0.054376590057416296,True,0.7256948496915597,0.11780514152704087,0.7514364977853488,0.9471123176338399,2.9816098540230134
iscf_fused,ETTh2,measure_only,6,1,0.4299552284389002,0.04272438915429917,True,0.5582409535361602,0.12990376208208304,0.7643460198841264,0.938974898209614,2.8430738206458304
iscf_fused,ETTm2,measure_only,6,1,0.1871082877710698,0.04984064366574971,True,0.9089059551825395,0.06437906942916423,0.7287881484248003,0.8567384605126952,3.039331761796502
iscf_armerr,Weather,pointwise_route_only,9,4,0.4862237512132167,0.045951939631751086,True,0.3195446091922612,0.1799348912702786,0.8026408968419374,0.9760950321755254,3.209608183440749
iscf_armerr,ETTm1,pointwise_route_only,9,4,0.6345388740542278,0.03806957301169519,True,0.27062655739399916,0.19324544421666837,0.7999845979066429,0.987133141362529,2.9889838186930504
iscf_armerr,ETTh1,pointwise_route_only,6,1,1.1687682382304163,0.05431789339445861,True,0.27239867636060294,0.1911759681142537,0.8018057538872272,0.9800030860753186,2.9804493357649946
iscf_armerr,ETTh2,pointwise_route_only,7,2,0.4285448604923976,0.04178618776521324,True,0.24008154097647794,0.19964594657705947,0.7974250182113817,0.9812177419662476,2.8966373679912194
iscf_armerr,ETTm2,pointwise_route_only,6,1,0.1874434287189081,0.061119853357090456,True,0.3337962616191868,0.1667955226218148,0.8087998059035268,0.9661257514392086,3.0862022265504225
iscf_scc,Weather,scope_coalition_credit,9,4,0.48691496621218644,0.030013476158845295,True,0.35737697737096447,0.39179050957360423,0.4938808148356982,0.8921315210067838,3.0845702503562404
iscf_scc,ETTm1,scope_coalition_credit,9,4,0.6372987344229986,0.02172703593951366,True,0.33075322049695094,0.44526058236949695,0.4935816512029604,0.9528036401768909,2.945884428199194
iscf_scc,ETTh1,scope_coalition_credit,6,1,1.1703900440366908,0.043326301434266884,True,0.2716229383924366,0.47274936366397724,0.513391369739465,0.9866029910281696,2.966933490955724
iscf_scc,ETTh2,scope_coalition_credit,6,1,0.4291075543932883,0.04092666376546948,True,0.271529381056275,0.4908482457420467,0.4995309823909692,0.9829137385946459,2.8494358337031
iscf_scc,ETTm2,scope_coalition_credit,6,1,0.18751103058415797,0.03685060732289573,True,0.3714378615661478,0.40179963263190394,0.5019364617621116,0.9251762768936894,3.0865637770490757
iscf_scc_shuffled,Weather,scope_coalition_credit_shuffled,9,4,0.4861474222052724,0.045828759397921366,True,0.19994813213225737,0.4209003286294989,0.5852490767890366,0.9938111183660555,3.228592402668206
iscf_scc_shuffled,ETTm1,scope_coalition_credit_shuffled,7,2,0.6358597769948011,0.0359924485651654,True,0.19995072571754915,0.4765045976259073,0.5289021638369468,0.994628785142107,2.960120537796536
iscf_scc_shuffled,ETTh1,scope_coalition_credit_shuffled,6,1,1.1693755663192225,0.053144317334600254,True,0.20012244476681262,0.4834863854720529,0.5245997088145365,0.9918788378745054,2.9883094118759694
iscf_scc_shuffled,ETTh2,scope_coalition_credit_shuffled,7,2,0.4282553224964807,0.0411565895315952,True,0.19993483519132157,0.4942168491867791,0.5149458971171252,0.9909476387289773,2.893623172709372
iscf_scc_shuffled,ETTm2,scope_coalition_credit_shuffled,6,1,0.18759802425800387,0.059904077151452254,True,0.2000736909627224,0.4516265483493971,0.5532029227975713,0.99530481601774,3.118583074637822
