dataset,a6_m0_output_max_abs,a6_m0_operator_hash_equal,paired_encoder_hash_count,paired_pcsd_hash_count,mode_weight_max_abs,mode_weight_bound,mode_weight_std,mode_weight_expected_std,pass
Weather,0.0,True,1,1,0.036084335297346115,0.03608439182435161,0.020831367000937462,0.020833333333333332,True
ETTm1,0.0,True,1,1,0.036084335297346115,0.03608439182435161,0.020835833624005318,0.020833333333333332,True
ETTm2,0.0,True,1,1,0.01804219000041485,0.018042195912175804,0.010418395511806011,0.010416666666666666,True
ETTh1,0.0,True,1,1,0.025515509769320488,0.02551551815399144,0.014739993028342724,0.014731391274719742,True
ETTh2,0.0,True,1,1,0.036084335297346115,0.03608439182435161,0.020831367000937462,0.020833333333333332,True
